@relation S_TCAed_data_dim10_LC_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.35922,-0.10262,0.10147,0.063298,0.058094,0.024475,0.038386,-0.024918,0.029833,0.021249,-1
-0.24833,-0.061912,0.060706,0.030334,0.022122,0.010411,0.003358,-0.005223,0.021699,0.020555,-1
-2.3046,-0.20391,-0.10235,0.078261,0.040568,0.058543,-0.008756,0.058599,0.096909,0.060685,-1
-1.4963,-0.37944,-0.092477,0.14597,-0.010119,0.006901,0.043824,0.097557,0.04349,0.097013,-1
-0.72536,-0.11407,0.10738,0.054819,0.059362,0.031031,-0.01291,-0.017543,0.051967,0.030691,-1
-0.73607,-0.15125,0.15854,0.065584,0.083461,0.045086,0.003334,-0.03332,0.10016,0.035848,-1
-0.71589,-0.1588,0.15171,0.057194,0.084906,0.019827,0.03599,-0.035086,0.077905,0.042446,1
-0.49415,-0.074224,0.053169,0.030198,0.027022,0.021969,0.009004,-0.008792,0.027234,0.019513,-1
-0.29128,-0.089544,0.058257,0.076753,0.064536,0.004646,0.003408,-0.044338,0.056159,-0.005997,-1
-0.32892,-0.10708,0.071881,0.06531,0.033368,-0.004355,0.021878,-0.053024,0.039544,0.029731,-1
-2.4477,-0.24209,0.21173,0.16098,0.16338,0.030117,0.026473,-0.028353,0.041544,0.038,-1
-0.30225,-0.085237,0.045235,0.037179,0.025428,0.000843,-0.003964,-0.032816,0.025058,0.017928,-1
-0.52747,-0.16871,0.148,0.11123,0.01503,-0.012149,-0.00874,-0.018321,0.006749,0.000596,-1
-0.60223,-0.082844,0.039614,0.033871,0.026194,0.022653,0.001317,0.004022,0.024383,0.015692,-1
-0.98919,-0.14937,0.19078,0.075562,0.073516,0.05198,-0.011178,-0.019308,0.067093,0.025879,-1
-1.4778,-0.25394,0.20195,0.088539,0.12095,0.047169,0.003167,-0.036631,0.07298,0.042872,1
-0.66051,-0.20027,0.19292,0.10252,0.068418,0.008788,0.001025,-0.012272,0.061132,0.038943,-1
-0.95145,-0.17192,0.14575,0.065764,0.080095,0.049806,0.000363,-0.030855,0.055172,0.048549,-1
-0.30129,-0.10251,0.082107,0.033132,0.043677,0.006248,-0.000323,-0.044098,0.053974,0.017643,-1
-0.49335,-0.18625,0.17193,0.094657,0.066042,0.00552,0.013884,-0.059925,0.15869,0.023956,-1
-1.8658,-0.038381,0.13107,0.002786,0.086401,0.11484,-0.026087,-0.01431,0.068162,0.039311,-1
-0.62929,-0.10546,0.02941,0.18452,0.13296,0.01839,-0.000972,-0.043535,0.063743,0.004687,-1
-0.57823,-0.062157,0.05811,0.025928,0.030711,0.028342,0.018473,-0.019509,0.014923,0.025912,-1
-0.35945,-0.13577,0.045545,0.044157,0.025296,-0.013641,0.005613,-0.070148,0.069962,-0.022987,-1
