@relation S_TCAed_data_dim10_ML_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.0529,-0.12534,0.11227,-0.21688,-0.010472,0.051836,-0.004587,0.0144,0.049563,0.010867,-1
-0.3959,-0.18924,0.13968,-0.12481,-0.009314,-0.17518,-0.03663,0.036579,0.024537,0.023489,1
-0.28612,-0.049913,0.045674,-0.082672,-0.008881,0.006929,0.005834,0.001279,0.037846,0.007991,1
-1.747,-0.20076,0.17839,-0.13705,0.12678,-0.019898,0.000302,0.044429,0.016297,0.041527,-1
-1.8482,-0.21345,0.18494,-0.17313,0.058995,-0.025761,0.02451,0.011249,-0.011301,-0.013875,-1
-0.48432,-0.12551,0.094172,-0.11281,0.088104,-0.1148,0.035369,-0.013708,0.037318,-0.001049,-1
-0.42258,-0.19172,0.15175,-0.20068,0.016747,-0.1556,-0.056628,0.029959,0.059999,0.007707,-1
-0.40216,-0.068417,0.053656,-0.15908,-0.034311,0.044816,0.00427,0.019454,-0.003276,0.016133,-1
-0.46658,-0.12818,0.11207,-0.094411,0.070974,-0.12837,-0.016321,-0.005255,0.033083,0.035505,-1
-0.5847,-0.089522,0.080606,-0.026961,0.010595,0.004609,0.003958,0.016582,0.065163,0.005166,-1
-0.59209,-0.21292,0.16608,-0.41426,0.013212,-0.082023,0.041805,0.004659,0.098456,0.036194,-1
-0.3135,-0.041523,0.038099,-0.06768,0.01858,-0.006272,0.0027,0.012203,0.069756,0.008156,-1
-1.0034,-0.17647,0.14247,-0.2172,0.094588,-0.074195,0.062454,-0.007544,0.069706,0.000636,-1
-0.37097,0.075128,-0.05457,-0.45445,-0.10685,0.044777,0.017305,-0.020684,0.007734,-0.019085,-1
-0.3395,-0.12505,0.11015,-0.1842,-0.082973,-0.06442,0.010009,0.034465,0.16849,-0.035886,1
-0.82499,-0.084138,0.11771,-0.10029,0.041682,0.013444,0.009649,0.014079,0.055491,0.018622,-1
-0.50784,-0.12873,0.097221,-0.10061,0.07416,-0.11191,0.028991,-0.005145,0.038579,-0.01059,-1
-1.5111,-0.21925,0.17406,-0.15649,0.092683,-0.06236,0.017175,-0.007796,0.026585,0.008461,-1
-0.1657,-0.027123,0.048278,-0.063973,0.003678,-0.00879,0.012424,0.001427,0.056699,0.009413,-1
-0.79649,-0.13021,0.12861,-0.10358,-0.045727,-0.027454,0.011518,0.010096,0.1091,-0.052694,-1
-2.09,-0.13556,0.13967,-0.070952,0.090557,0.076145,0.013612,-0.015762,0.061536,0.018613,-1
-0.61137,-0.12437,0.10173,-0.3174,-0.057839,0.014566,0.017112,0.004756,0.088559,0.006771,-1
-1.69,-0.14638,0.11385,-0.35987,-0.093518,0.19682,-0.008823,-0.031852,-0.17413,0.053035,-1
-0.56477,-0.067286,0.062394,-0.079134,-0.000084,0.016773,0.00961,0.008729,0.0432,-0.001163,-1
-0.65913,-0.18481,0.14009,-0.24699,0.066515,-0.090258,0.057406,-0.011521,0.071533,0.004412,-1
-1.2145,-0.23266,0.21313,-0.098922,0.022979,-0.070664,0.020865,0.057205,0.036505,0.004238,-1
-0.98992,-0.25113,0.22065,-0.03539,-0.018282,-0.12661,-0.081318,0.019332,0.012962,0.08399,-1
-0.60197,-0.12153,0.10017,-0.19184,-0.008817,0.019386,0.012348,0.025734,0.082187,0.018909,-1
-2.4135,-0.11452,0.13426,-0.075883,0.12331,0.1287,-0.010276,-0.015736,0.036866,0.029178,1
-2.2805,-0.31212,0.28215,-0.034133,-0.17442,-0.073231,-0.016165,0.009352,0.06778,0.039324,-1
-1.0579,-0.19273,0.16307,-0.075156,0.050367,-0.11085,-0.030312,0.009167,0.047289,0.004322,-1
-1.0401,-0.15469,0.12648,-0.12732,0.082198,-0.071966,0.049062,-0.006857,0.024332,-0.005082,-1
-0.64072,-0.16603,0.11975,-0.1905,0.020666,-0.090768,0.023126,-0.011272,-0.025983,-0.021699,-1
-1.3969,-0.168,0.12618,-0.14092,0.15693,-0.03354,0.081167,0.13289,0.027425,0.0165,-1
-0.89162,-0.15604,0.13682,-0.18555,0.09143,-0.073822,0.004252,0.002445,0.02625,0.039288,-1
-1.5473,-0.15171,0.32264,-0.092889,-0.011994,-0.11384,0.080446,0.0109,0.028924,-0.015066,-1
-0.6621,-0.17648,0.15056,-0.15758,0.034434,-0.15649,-0.010496,-0.011604,0.03004,0.02907,-1
-0.6775,-0.19034,0.14933,-0.22635,0.038034,-0.10527,0.025196,-0.005169,0.066951,0.007872,-1
-0.88605,-0.15179,0.124,-0.095525,0.094393,-0.080993,0.06106,-0.014996,0.036034,0.000202,-1
-0.52891,-0.1665,0.12631,-0.22025,0.053653,-0.096671,0.043993,-0.004573,0.071297,0.00125,-1
-0.72206,-0.17761,0.14341,-0.068627,0.031863,-0.13565,-0.033142,0.029072,0.04739,-0.014118,-1
-0.17008,-0.011532,0.056866,-0.067633,0.007002,-0.011637,0.012817,0.00218,0.058955,0.009945,-1
-1.1972,-0.19915,0.18532,-0.27299,-0.081788,0.044135,-0.004876,0.001784,0.071347,-0.027454,1
-0.28612,-0.049913,0.045674,-0.082672,-0.008881,0.006929,0.005834,0.001279,0.037846,0.007991,1
-1.7844,-0.30804,0.2545,-0.28145,0.034914,-0.099302,-0.011111,0.013409,0.099111,-0.06076,-1
-1.7961,-0.19469,0.16818,-0.13183,0.1621,-0.033505,0.039812,-0.0284,0.04227,0.013388,-1
-0.57855,-0.19899,0.1552,-0.14262,-0.007139,-0.19104,-0.049848,0.025008,0.069563,0.013944,1
-0.62394,-0.22388,0.13964,-0.73599,-0.1189,0.089771,-0.01195,-0.023193,-0.18086,0.019831,-1
-0.64524,-0.17659,0.13069,-0.14494,0.067396,-0.13228,0.015777,-0.001611,0.028275,0.007981,-1
-0.97096,-0.12803,0.11605,-0.09353,0.032004,0.014292,-0.019043,0.006209,0.065308,0.028348,-1
-0.16673,-0.023323,0.045608,-0.064203,0.007778,-0.010302,0.011775,0.002061,0.057956,0.008888,-1
-0.65941,-0.15401,0.12195,-0.086878,0.042786,-0.092475,0.035515,-0.001104,0.04511,-0.003948,1
-0.98325,-0.16206,0.12701,-0.14451,0.087166,-0.046613,0.056963,-0.011024,0.016782,0.000688,-1
-0.19163,0.38943,0.53081,-0.1162,0.029934,-0.034196,0.018076,0.005791,0.044013,0.007229,1
-0.89153,-0.20029,0.1514,-0.17187,0.10315,-0.13308,-0.014857,0.012978,0.043673,0.059252,-1
-0.92188,-0.065834,0.07456,-0.049012,0.053398,0.02731,0.016469,-0.003035,0.062262,0.015879,-1
-0.8548,-0.15305,0.11911,-0.13187,0.095054,-0.062127,0.037875,0.003786,0.030239,0.008808,-1
-0.53299,-0.21803,0.16572,-0.37397,0.007406,-0.10509,0.009587,0.002359,0.078286,0.004324,-1
-1.1056,-0.14569,0.11249,-0.15609,0.10521,-0.047058,0.058546,-0.018583,0.014543,0.008794,-1
-1.8174,-0.23779,0.20689,-0.355,0.056636,-0.015284,0.009434,-0.026453,0.050994,0.039532,-1
-0.68156,-0.072735,0.073549,-0.048977,0.038873,0.007869,0.002909,-0.002964,0.05863,0.013914,-1
-0.99906,-0.27587,0.22489,-0.15026,-0.038523,-0.16083,-0.050378,0.023621,0.064771,-0.011304,-1
-3.7245,-0.08495,0.12509,-0.1358,0.044912,0.070897,-0.018875,-0.020391,0.077968,-0.021221,-1
-0.97052,-0.21923,0.17541,-0.061415,0.029915,-0.14239,-0.02012,0.018186,0.042543,-0.012194,-1
-1.0136,-0.19382,0.15797,-0.24275,0.06209,-0.061074,0.023278,-0.015783,0.060489,0.026449,-1
-0.44964,-0.15829,0.12225,-0.1535,0.017251,-0.15029,-0.014065,0.021482,0.038031,-0.003297,-1
-1.7378,-0.20375,0.17664,-0.22509,0.1089,-0.049518,0.039073,-0.023257,0.062576,0.007431,-1
-0.44642,-0.057381,0.059043,-0.044992,0.002351,0.000055,0.005623,-0.001059,0.054517,-0.003413,1
-1.3932,-0.18944,0.15868,-0.10628,0.091805,-0.074225,0.050891,-0.026441,0.053323,-0.003846,-1
-0.33734,-0.10604,0.089924,-0.30432,-0.063354,0.00274,-0.011075,0.021837,0.095448,0.011523,-1
-2.2293,-0.25123,0.23714,0.043941,-0.27684,-0.042028,0.074249,0.026261,0.028367,-0.081923,1
-1.5118,-0.1465,0.12524,-0.11807,0.13064,-0.038921,0.047826,0.028375,0.023944,0.005304,-1
-3.6118,-0.15747,0.18762,-0.17454,0.087122,-0.048976,0.082367,-0.051862,0.1048,-0.087686,-1
-0.59812,-0.13138,0.11027,-0.31002,-0.052549,0.015878,-0.005791,0.017854,0.09133,0.004022,-1
-2.3605,-0.2838,0.25324,-0.035163,0.072,-0.057101,-0.004265,0.004315,0.054722,-0.004749,-1
-1.8095,-0.094346,0.1036,-0.048465,0.026452,0.051213,0.004603,-0.006079,0.044314,-0.014612,-1
-0.59919,-0.11272,0.094416,-0.19393,-0.009439,0.021827,0.025791,0.000608,0.078565,0.017702,-1
-0.33583,-0.10519,0.09138,-0.17036,0.000282,-0.019242,0.008337,0.008218,0.10494,0.014128,-1
-1.1014,-0.19519,0.15453,-0.2382,0.071956,-0.087401,0.077733,-0.001749,0.10366,-0.02618,1
-1.9416,-0.1863,0.16285,-0.12888,0.15275,-0.038317,0.041605,-0.031317,0.041951,-0.011084,-1
-0.39936,-0.14465,0.11059,-0.21259,0.055683,-0.11732,0.045698,-0.005421,0.07524,0.00189,-1
-2.0112,-0.1396,0.13792,-0.056555,-0.034105,0.016662,0.014796,0.011965,0.038975,-0.076282,1
-1.0307,-0.26363,0.21182,-0.34738,-0.11798,-0.10541,-0.10196,0.004353,-0.008986,0.12183,-1
-0.2628,-0.13756,0.10581,-0.17552,0.062056,-0.13751,0.03161,-0.002494,0.089268,0.003763,-1
-0.1958,-0.114,0.071094,-0.20711,0.041538,-0.074343,0.048354,-0.013744,-0.007813,-0.003019,-1
-0.1657,-0.002669,0.07121,-0.066752,0.008652,-0.01138,0.011374,0.002288,0.057685,0.008344,-1
-0.18172,-0.034885,0.033029,-0.061767,-0.002892,-0.016064,0.012286,0.00598,0.057586,-0.002174,-1
