@relation S_TCAed_data_dim10_ML_for_JDT_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.43739,-0.086908,-0.12411,-0.047575,-0.017324,0.034972,0.026659,-0.021559,0.009549,0.015355,-1
0.17745,-0.094476,-0.077224,-0.20293,0.097919,-0.001358,0.01477,0.004233,-0.019877,0.021477,1
0.13379,-0.0416,-0.04954,-0.030904,-0.006008,0.011807,0.022463,-0.019929,0.003363,0.003759,1
0.74735,-0.070315,-0.08411,-0.15562,-0.004455,-0.002878,0.017927,0.008976,0.014877,0.010868,-1
0.70324,-0.092962,-0.095657,-0.13356,-0.014372,-0.00013,0.022818,0.003492,-0.011361,-0.02955,-1
0.23482,-0.047317,-0.058714,-0.14538,0.009057,-0.041017,0.029862,-0.011511,0.015757,-0.004162,-1
0.19119,-0.10653,-0.1239,-0.19353,0.076925,0.014342,0.028609,-0.018186,-0.018274,0.022605,-1
0.14006,-0.033421,-0.088111,-0.007013,-0.0067,0.009803,0.011707,-0.006183,0.001044,-0.004084,-1
0.20077,-0.038807,-0.064848,-0.17046,0.041278,-0.020604,0.016754,-0.007083,-0.00892,0.016614,-1
0.24275,-0.019657,-0.009925,-0.040882,-0.00401,0.029419,0.01822,-0.025112,-0.012713,0.001256,-1
0.28321,-0.10784,-0.23058,-0.17881,-0.002012,-0.028424,0.078235,-0.050754,0.015046,0.004952,-1
0.14952,-0.035609,-0.031883,-0.048335,-0.011507,0.012269,0.02435,-0.028029,0.003667,0.019918,-1
0.45354,-0.079853,-0.10892,-0.1677,-0.019736,-0.031179,0.057109,-0.028746,0.027937,-0.013143,-1
0.23376,-0.14877,-0.23348,0.039541,-0.023512,0.01119,0.034051,-0.022331,0.010977,0.00177,-1
0.19986,-0.10878,-0.089849,-0.11416,0.031415,0.064608,0.073542,-0.080715,0.004808,-0.004483,1
0.33982,-0.035302,-0.041439,-0.05271,-0.020143,0.014775,0.031793,-0.019633,0.006465,0.012067,-1
0.23109,-0.044218,-0.056452,-0.14052,0.016121,-0.031206,0.027838,-0.010373,0.009999,-0.006407,-1
0.62462,-0.08033,-0.085796,-0.1548,0.0007,-0.017109,0.020231,-0.002014,-0.002116,0.004026,-1
0.094047,-0.034014,-0.032661,-0.036275,-0.009992,0.00849,0.031479,-0.024714,0.003652,0.005821,-1
0.35913,-0.098175,-0.04846,-0.091221,0.020817,0.057473,0.053152,-0.059126,0.012848,-0.020935,-1
0.85832,-0.05669,-0.025966,-0.071818,-0.065814,0.02354,0.031021,-0.025638,0.002295,0.017664,-1
0.2787,-0.12511,-0.16842,-0.060372,0.000941,0.025809,0.057192,-0.052592,0.009436,0.006999,-1
0.56415,-0.084184,-0.23223,0.095088,-0.022937,0.005827,-0.047301,0.055219,-0.019727,-0.01249,-1
0.24843,-0.049485,-0.043887,-0.040885,-0.008358,0.01944,0.024316,-0.022094,0.007193,0.00155,-1
0.29232,-0.055958,-0.12235,-0.15856,-0.006368,-0.03406,0.051041,-0.029829,0.016302,-0.007297,-1
0.5607,-0.10402,-0.052138,-0.12893,0.012526,-0.006099,0.017692,0.003451,-0.007084,0.003433,-1
0.42764,-0.021559,-0.072943,-0.15074,0.12429,0.019178,0.018832,0.018264,-0.023681,0.052306,-1
0.25257,-0.058521,-0.11063,-0.060303,-0.013567,0.022017,0.037614,-0.040364,0.00435,0.017445,-1
1.0369,-0.083631,-0.047203,-0.070782,-0.083305,0.023377,0.031394,-0.018227,0.008372,0.029354,1
0.96789,-0.11886,-0.052052,-0.098764,0.083364,0.079757,0.002528,-0.0321,-0.069854,0.000877,-1
0.45252,-0.055902,-0.062465,-0.18064,0.032986,-0.003581,0.021619,-0.011158,-0.026275,0.020824,-1
0.42537,-0.048084,-0.063279,-0.13725,-0.002605,-0.035559,0.034915,-0.007266,0.022854,-0.01733,-1
0.2493,-0.081424,-0.10275,-0.12482,0.023024,-0.024016,0.011995,-0.000069,-0.001592,-0.016739,-1
0.64615,-0.084664,-0.094071,-0.16873,-0.044071,-0.012237,0.027202,0.008973,0.066412,-0.040367,-1
0.44839,-0.054272,-0.11215,-0.14581,0.00221,-0.018249,0.026035,0.002571,0.018134,0.018829,-1
0.61757,-0.088235,-0.0515,-0.1427,0.051501,0.003332,0.040777,-0.01465,-0.011154,-0.052419,-1
0.29134,-0.089393,-0.077448,-0.15969,0.041966,-0.030217,0.01984,-0.000781,-0.009341,0.019649,-1
0.28848,-0.046122,-0.12628,-0.16827,0.009556,-0.024886,0.04593,-0.026584,-0.000918,0.003375,-1
0.38304,-0.033255,-0.058807,-0.14175,-0.013389,-0.046316,0.038078,-0.013295,0.019217,-0.010941,-1
0.24042,-0.053562,-0.12359,-0.15052,-0.000082,-0.033977,0.047268,-0.02879,0.010406,-0.002622,-1
0.31056,-0.088621,-0.050581,-0.16589,0.065636,0.007809,0.018156,-0.01066,-0.023183,0.003317,-1
0.1093,-0.034044,-0.031554,-0.041875,-0.008964,0.008459,0.037223,-0.023851,0.003397,0.009707,-1
0.51414,-0.17302,-0.1588,-0.065972,0.011383,0.040979,0.051355,-0.047968,0.010891,-0.000806,1
0.13379,-0.0416,-0.04954,-0.030904,-0.006008,0.011807,0.022463,-0.019929,0.003363,0.003759,1
0.71258,-0.095581,-0.10085,-0.20935,0.028173,0.043621,0.02684,-0.030161,-0.024711,-0.010231,-1
0.76383,-0.057313,-0.06301,-0.16439,-0.043807,-0.035232,0.036019,-0.008662,0.017547,0.008237,-1
0.32836,-0.098921,-0.090135,-0.20357,0.093276,0.020296,0.01786,-0.016338,-0.025717,0.03212,1
0.14458,-0.16587,-0.44931,-0.013826,0.030985,-0.037682,-0.007366,0.033583,0.001511,-0.031357,-1
0.27869,-0.051027,-0.075153,-0.15892,0.034597,-0.02906,0.017944,-0.004722,0.01072,0.006291,-1
0.38945,-0.032507,-0.04031,-0.071519,-0.014566,0.026221,0.025443,-0.025927,-0.011185,0.029379,-1
0.10096,-0.032531,-0.031114,-0.040418,-0.008898,0.008563,0.03326,-0.025826,0.004448,0.008684,-1
0.32078,-0.051496,-0.05691,-0.14562,0.016284,-0.029051,0.037557,-0.015234,0.008047,-0.008137,1
0.41343,-0.051786,-0.081911,-0.12114,-0.016655,-0.041845,0.028611,-0.004278,0.017113,-0.014531,-1
0.13627,-0.063217,-0.03017,-0.028768,-0.011883,0.010578,0.13611,0.034077,-0.026594,-0.009894,1
0.3721,-0.082057,-0.09032,-0.19243,0.037542,-0.02187,0.008773,-0.002259,-0.004444,0.041996,-1
0.4203,-0.04102,-0.022761,-0.052105,-0.037358,0.014508,0.0336,-0.021481,0.0151,0.017162,-1
0.37115,-0.05418,-0.076866,-0.13772,-0.009283,-0.03572,0.025744,-0.007305,0.012206,-0.000642,-1
0.23233,-0.10145,-0.19414,-0.18514,0.025382,-0.01123,0.055967,-0.038957,0.004786,0.002575,-1
0.45815,-0.048527,-0.083103,-0.1193,-0.024445,-0.051779,0.030033,-0.004907,0.013979,-0.010023,-1
0.7334,-0.10868,-0.20156,-0.17328,-0.010512,-0.015348,0.066751,-0.028926,0.010444,0.015826,-1
0.28918,-0.035375,-0.025921,-0.056565,-0.020046,0.01041,0.030351,-0.028532,0.004708,0.016613,-1
0.43048,-0.13915,-0.11395,-0.21308,0.086899,0.030762,0.031179,-0.028652,-0.040635,0.002653,-1
1.7054,-0.14645,-0.057352,-0.1183,-0.060015,0.081687,0.049855,-0.038897,-0.005277,0.015421,-1
0.41308,-0.097822,-0.054763,-0.17602,0.06938,0.011911,0.012875,-0.009225,-0.021951,0.004861,-1
0.39861,-0.050163,-0.12294,-0.16095,-0.001837,-0.023841,0.052466,-0.020851,0.00625,0.005044,-1
0.19313,-0.084981,-0.075157,-0.16118,0.049612,-0.021179,0.008825,-0.000826,-0.003796,0.017867,-1
0.70855,-0.067129,-0.11019,-0.16954,-0.015326,-0.025906,0.054569,-0.02304,0.021223,-0.001176,-1
0.19168,-0.039034,-0.024381,-0.049683,-0.007188,0.016811,0.02939,-0.028315,0.003581,0.005598,1
0.59151,-0.055657,-0.055012,-0.12914,-0.035538,-0.047421,0.029277,-0.011979,-0.002862,0.003461,-1
0.16071,-0.12978,-0.16349,-0.069606,0.00917,0.031568,0.053417,-0.052919,0.008,0.017378,-1
0.977,-0.15839,-0.031441,-0.056768,0.11547,0.13686,0.017652,-0.021905,0.01833,-0.079543,1
0.69729,-0.044235,-0.062782,-0.15074,-0.03972,-0.014521,0.025868,0.002723,0.019671,-0.005956,-1
1.6562,-0.1016,-0.052746,-0.19293,-0.057181,0.046568,0.060235,-0.037545,0.016888,-0.046356,-1
0.25795,-0.12214,-0.16818,-0.072775,0.004078,0.035164,0.050596,-0.053174,0.007643,0.015997,-1
1.0104,-0.1061,-0.048802,-0.18775,0.01197,0.018128,0.030892,-0.017011,-0.021217,-0.003501,-1
0.753,-0.076193,-0.019994,-0.054078,-0.029465,0.041734,0.029661,-0.017601,-0.000405,0.003245,-1
0.25312,-0.052999,-0.10617,-0.051923,-0.020822,0.01342,0.043532,-0.039333,0.007667,0.01318,-1
0.1755,-0.047852,-0.07202,-0.073963,-0.011252,0.029558,0.047553,-0.045219,0.000731,0.01576,-1
0.48299,-0.073156,-0.096702,-0.16464,-0.011849,-0.018818,0.058732,-0.041142,0.026942,-0.022146,1
0.80014,-0.049717,-0.051951,-0.16859,-0.043175,-0.030912,0.035817,-0.012738,0.015244,-0.002164,-1
0.21061,-0.084607,-0.11002,-0.1609,0.010686,-0.036525,0.051432,-0.03239,0.020371,-0.002634,-1
0.81462,-0.095634,-0.0217,-0.061239,0.012075,0.062446,0.021643,-0.026473,0.00641,-0.042825,1
0.35822,-0.18025,-0.25476,-0.16711,0.14639,0.033338,0.030546,0.023259,-0.03983,0.079155,-1
0.16839,-0.065878,-0.098753,-0.17964,0.015234,-0.030626,0.053489,-0.040018,0.00946,0.006387,-1
0.084556,-0.033654,-0.10843,-0.093757,0.00733,-0.049923,0.017662,0.005387,0.017203,-0.021432,-1
0.10563,-0.034212,-0.030482,-0.039236,-0.008526,0.009278,0.040346,-0.02117,0.002936,0.008032,-1
