@relation S_TCAed_data_dim10_ML_for_LC_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.91553,0.14747,-0.16309,0.099257,-0.031416,-0.024296,0.000051,-0.004934,0.025693,-0.022381,-1
-0.24777,0.19574,-0.061091,-0.008066,-0.15073,0.095158,-0.007,-0.059799,0.008927,-0.054539,1
-0.25616,0.061724,-0.049777,0.038802,-0.016871,-0.008861,-0.002211,-0.004498,0.02416,-0.013659,1
-1.4484,0.11178,-0.14734,-0.015161,-0.15798,-0.048572,-0.053506,0.000286,0.009228,-0.035201,-1
-1.4677,0.1462,-0.1639,0.021843,-0.1272,-0.012787,-0.024302,0.003024,0.012413,0.007404,-1
-0.41285,0.11636,-0.073309,-0.036262,-0.15299,0.020293,-0.01113,0.022344,0.046654,-0.000055,-1
-0.35981,0.22842,-0.1208,0.019366,-0.16227,0.076451,-0.013275,-0.047778,0.03449,-0.054147,-1
-0.32967,0.099592,-0.12461,0.079702,-0.001618,-0.019986,-0.017719,-0.004573,-0.005128,-0.001601,-1
-0.37543,0.12887,-0.055346,-0.032358,-0.15253,0.037603,-0.000308,-0.005527,0.019826,-0.02911,-1
-0.48002,0.059895,-0.021486,0.004283,-0.036955,-0.031677,-0.001051,-0.038068,0.045544,-0.023226,-1
-0.50238,0.2977,-0.28092,0.10588,-0.14704,0.018705,-0.029613,0.019785,0.075948,-0.017014,-1
-0.28746,0.048602,-0.044198,0.016454,-0.032773,-0.010456,-0.001773,-0.013258,0.046016,-0.025969,-1
-0.86198,0.16998,-0.16122,0.01038,-0.16647,-0.01876,-0.027595,0.02175,0.082569,-0.002047,-1
-0.46139,0.20038,-0.30463,0.21283,0.03971,0.037951,0.031202,0.04571,-0.032377,-0.005437,-1
-0.30285,0.20074,-0.075353,0.080952,-0.047587,0.026006,-0.001844,-0.10204,0.10987,-0.006639,1
-0.68999,0.068993,-0.077688,0.040205,-0.068145,-0.040708,-0.007779,-0.011621,0.043427,-0.02395,-1
-0.43873,0.12714,-0.060354,-0.032936,-0.14521,0.019395,-0.011481,0.008273,0.045187,0.000275,-1
-1.2762,0.17686,-0.12882,-0.007558,-0.16716,-0.018471,-0.000122,0.007034,0.036902,-0.01308,-1
-0.14963,0.041744,-0.026492,0.032436,-0.028952,-0.006799,-0.003865,-0.004909,0.041203,-0.017698,-1
-0.68702,0.14514,-0.043244,0.055652,-0.042107,0.003686,0.004991,-0.072718,0.085157,0.008628,-1
-1.7486,0.050845,-0.091208,0.013325,-0.064226,-0.099128,0.019279,-0.002404,0.04825,-0.022899,-1
-0.56541,0.208,-0.21705,0.14337,-0.027716,0.004017,-0.00346,-0.013316,0.054311,-0.009078,-1
-1.51,0.24504,-0.28091,0.23767,0.050103,-0.038408,0.014373,0.091693,-0.14715,0.0171,-1
-0.48524,0.061749,-0.061438,0.033294,-0.024933,-0.023649,-0.00606,-0.016968,0.027128,-0.007116,-1
-0.54692,0.1976,-0.17284,0.02338,-0.16001,0.003167,-0.015862,0.01778,0.094355,-0.001038,-1
-1.0339,0.19897,-0.051205,-0.004777,-0.1418,-0.010729,-0.073753,-0.029654,0.033152,-0.025762,-1
-0.91822,0.22035,0.037153,0.01323,-0.13366,0.067108,-0.025385,-0.036056,-0.006888,-0.096842,-1
-0.51816,0.14354,-0.13725,0.074268,-0.041258,-0.022065,-0.011332,-0.016955,0.054248,-0.035472,-1
-2.0613,-0.001968,-0.13847,0.0198,-0.060357,-0.12477,0.021364,0.01206,0.008956,-0.041688,1
-1.7962,0.32432,0.11854,0.084006,-0.048328,0.055815,-0.010816,-0.059396,0.046721,-0.06643,-1
-0.85319,0.17128,-0.046415,-0.039997,-0.16352,0.008707,0.008313,-0.046353,0.016677,-0.031802,-1
-0.85218,0.13233,-0.093458,-0.018705,-0.13972,-0.006373,-0.028522,0.020797,0.052288,0.017315,-1
-0.52385,0.18508,-0.13258,0.018779,-0.12193,0.045421,-0.016055,0.026825,0.009147,0.02475,-1
-1.2057,0.098762,-0.13815,-0.026209,-0.15486,-0.051906,-0.14161,0.008467,0.035946,-0.017855,-1
-0.74022,0.12987,-0.13937,0.004646,-0.14812,0.017621,-0.013592,0.035577,0.025467,-0.024252,-1
-1.2335,0.23565,0.016905,0.086021,-0.17985,0.006351,-0.032103,-0.030405,0.061606,0.043655,-1
-0.52715,0.20022,-0.073755,-0.005773,-0.16597,0.055006,-0.003167,-0.005573,0.039442,-0.023827,-1
-0.532,0.21747,-0.14885,0.017958,-0.15887,0.016283,-0.005895,-0.00919,0.065369,-0.011579,-1
-0.71737,0.11403,-0.068008,-0.035315,-0.14555,-0.011688,-0.016956,0.035522,0.05833,0.003903,-1
-0.44117,0.19659,-0.14141,0.015724,-0.14927,0.014031,-0.013667,0.014634,0.072525,-0.006828,-1
-0.59763,0.16479,-0.030074,-0.027846,-0.14929,0.045372,-0.008585,-0.056981,0.024598,-0.033918,-1
-0.14936,0.030437,-0.033075,0.039247,-0.039887,-0.009368,-0.003974,-0.0084,0.042599,-0.016522,-1
-0.99678,0.23328,-0.19534,0.14534,0.000377,0.006096,0.015383,-0.024301,0.018601,-0.000819,1
-0.25616,0.061724,-0.049777,0.038802,-0.016871,-0.008861,-0.002211,-0.004498,0.02416,-0.013659,1
-1.4538,0.3082,-0.21766,0.036029,-0.19985,0.019686,0.02008,-0.094287,0.1173,-0.000767,-1
-1.5075,0.10616,-0.1392,-0.036493,-0.17998,-0.059535,0.00526,0.034116,0.060268,-0.012075,-1
-0.4502,0.21501,-0.068971,-0.009207,-0.17186,0.095597,0.011209,-0.069731,0.023587,-0.0399,1
-0.65477,0.44037,-0.55964,0.32761,-0.059231,0.051865,-0.010564,0.11673,-0.14733,0.03187,-1
-0.53808,0.17855,-0.087972,-0.024177,-0.1658,0.039539,-0.015327,0.008577,0.04134,-0.005491,-1
-0.80502,0.092203,-0.085378,0.021494,-0.061155,-0.045689,0.012497,-0.035385,0.046892,-0.038136,-1
-0.14979,0.034761,-0.034082,0.028826,-0.032247,-0.008769,-0.003092,-0.007962,0.04175,-0.016425,-1
-0.53696,0.137,-0.048318,-0.020302,-0.13219,0.001643,-0.012831,-0.008287,0.048431,0.002871,1
-0.81191,0.12968,-0.11877,-0.009123,-0.135,-0.02356,-0.021798,0.037701,0.039309,0.010514,-1
-0.10587,-0.096276,0.064488,0.37433,-0.28757,-0.016855,-0.014753,-0.013108,0.035789,-0.009491,1
-0.72955,0.1831,-0.12689,-0.031713,-0.19512,0.030271,-0.008782,-0.007496,0.030063,-0.049473,-1
-0.77055,0.015317,-0.049872,0.009006,-0.038808,-0.042848,0.003519,0.004469,0.046347,-0.022685,-1
-0.72072,0.12333,-0.10593,-0.019007,-0.14384,-0.014414,-0.027295,0.026663,0.042429,-0.00829,-1
-0.46017,0.29446,-0.25297,0.087729,-0.16111,0.041215,-0.011069,-0.014585,0.080149,-0.010967,-1
-0.93701,0.12048,-0.13524,-0.008624,-0.14128,-0.030423,-0.018052,0.04739,0.038011,0.011457,-1
-1.5477,0.2608,-0.2686,0.095984,-0.15839,-0.027375,0.006231,0.025543,0.041952,-0.018751,-1
-0.5772,0.041081,-0.042012,0.006936,-0.043984,-0.032138,0.004809,-0.005799,0.037476,-0.026405,-1
-0.80833,0.29613,-0.054717,0.015892,-0.16201,0.063609,0.004458,-0.087123,0.016828,-0.031314,-1
-3.2073,0.081179,-0.12903,0.06822,-0.056198,-0.069685,0.050046,-0.048715,0.038156,0.010339,-1
-0.82809,0.20412,-0.008286,-0.029342,-0.1613,0.042734,-0.007185,-0.043154,0.027022,-0.029976,-1
-0.82615,0.19446,-0.18002,0.035655,-0.15007,-0.011818,0.002117,0.002609,0.067499,-0.012361,-1
-0.35919,0.19125,-0.080723,-0.003237,-0.14383,0.078485,-0.024265,-0.022882,0.050968,-0.01976,-1
-1.4662,0.17483,-0.18848,0.019429,-0.16747,-0.031023,-0.002223,0.019095,0.073857,-0.000326,-1
-0.37161,0.046333,-0.027041,0.017918,-0.024142,-0.012094,0.002398,-0.01648,0.040517,-0.011455,1
-1.1895,0.16473,-0.064922,-0.025318,-0.15779,-0.028259,0.008441,0.031829,0.060878,-0.003323,-1
-0.30573,0.19431,-0.20116,0.13515,-0.017193,0.024253,-0.007333,-0.024416,0.047603,-0.023272,-1
-1.8916,0.35888,0.23045,0.11411,0.047022,0.029884,-0.051538,-0.090281,0.059969,0.13362,1
-1.2812,0.097301,-0.11646,-0.034973,-0.15754,-0.052675,-0.048255,0.018486,0.026958,0.00666,-1
-3.0234,0.1614,-0.15206,0.023641,-0.16459,-0.037782,0.075317,-0.042973,0.12596,0.080522,-1
-0.55564,0.21501,-0.21017,0.1365,-0.034346,0.007441,-0.00536,-0.020972,0.05003,-0.021914,-1
-1.9698,0.18608,-0.023806,-0.030933,-0.16929,-0.045563,0.004696,-0.045342,0.038946,-0.02992,-1
-1.5201,0.049483,-0.062463,0.027343,-0.028787,-0.059274,0.023426,-0.032127,0.022385,0.012148,-1
-0.50442,0.13146,-0.1383,0.076552,-0.037069,-0.02199,0.000416,-0.003579,0.058923,-0.025024,-1
-0.28897,0.11795,-0.11168,0.054874,-0.054909,-0.004213,0.003384,-0.031213,0.085079,-0.031163,-1
-0.92746,0.2114,-0.16328,0.021518,-0.16543,-0.006817,-0.017,-0.004906,0.1214,0.016852,1
-1.6202,0.11163,-0.13831,-0.038234,-0.17855,-0.057993,0.011466,0.020825,0.065502,0.009922,-1
-0.32396,0.16801,-0.13375,0.012482,-0.14085,0.03745,-0.02174,0.022359,0.082426,-0.002208,-1
