@relation S_TCAed_data_dim10_ML_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.88926,0.18725,0.089881,-0.092096,0.012895,-0.044778,0.013275,-0.00893,0.002297,0.013776,-1
0.25548,0.010597,0.10902,-0.078905,-0.14429,0.016028,0.066819,-0.018311,-0.009703,0.016856,1
0.24838,0.049761,0.034449,-0.034659,-0.003037,-0.025207,0.004265,0.000193,0.010783,0.013828,1
1.4075,0.057373,0.1478,-0.20805,-0.027835,0.036752,0.008061,-0.028805,-0.009881,0.01272,-1
1.3914,0.11693,0.15797,-0.18318,-0.046479,0.017174,-0.008478,-0.01072,-0.010138,-0.003516,-1
0.36571,-0.018933,0.081646,-0.13182,-0.096109,0.01755,-0.012582,0.008709,0.022071,-0.010875,-1
0.30833,0.085537,0.12924,-0.13041,-0.12586,-0.00858,0.072841,-0.007356,0.00479,-0.005345,-1
0.31674,0.16384,0.042813,-0.036838,0.00418,-0.026749,-0.010005,-0.011766,-0.014504,0.009842,-1
0.36337,-0.020796,0.10702,-0.1233,-0.10249,0.026378,0.02672,0.007442,0.01052,-0.008999,-1
0.47561,-0.029699,0.071607,-0.050371,0.019122,-0.021414,0.022033,-0.002705,0.013477,-0.002023,-1
0.44853,0.23033,0.13139,-0.19745,-0.11393,-0.053475,-0.008249,0.004554,0.056931,0.00035,-1
0.27064,-0.001511,0.027658,-0.058065,-0.005195,-0.037111,0.018698,-0.004379,0.016424,0.001979,-1
0.78206,0.054456,0.10745,-0.18067,-0.078898,-0.010371,-0.027377,0.002542,0.03283,0.003455,-1
0.32458,0.47919,-0.14126,-0.035286,-0.03524,-0.070111,-0.032476,0.032532,0.031913,0.025327,-1
0.29781,0.012986,0.10905,-0.044282,-0.0597,-0.11426,0.049924,-0.00422,0.051655,-0.003054,1
0.66631,0.01818,0.06782,-0.090546,0.017001,-0.02337,-0.001453,-0.001157,0.004815,-0.010298,-1
0.38027,-0.017231,0.093789,-0.12116,-0.095546,0.013643,-0.004393,0.004383,0.022224,-0.006143,-1
1.2049,0.054743,0.15488,-0.17237,-0.063015,0.030974,-0.00004,0.001297,0.00243,0.006603,-1
0.14724,0.00085,0.02265,-0.037501,-0.007437,-0.032311,0.003726,0.002676,0.017836,0.009161,-1
0.66697,-0.010824,0.10756,-0.043533,-0.019438,-0.065183,0.024098,0.004773,0.035438,-0.004599,-1
1.7249,0.004935,0.086041,-0.13349,0.066892,-0.002462,-0.010008,0.014118,0.005944,0.006537,-1
0.51663,0.23984,0.080009,-0.085423,-0.028356,-0.089285,0.006096,0.004854,0.025058,0.010988,-1
1.4372,0.60864,0.10295,-0.029503,0.034198,0.01157,-0.066664,-0.00675,-0.090895,0.046874,-1
0.4667,0.041935,0.050131,-0.046393,0.007109,-0.023622,0.005237,-0.004194,0.011221,0.009353,-1
0.4804,0.071017,0.10427,-0.16872,-0.09516,-0.025496,-0.023779,0.009002,0.022635,0.000096,-1
1.0143,0.020088,0.20209,-0.11188,-0.066197,0.018128,0.027057,-0.041193,0.010022,0.023726,-1
0.80553,-0.019631,0.2307,-0.052973,-0.10342,0.038997,0.04638,-0.002214,-0.015763,0.063838,-1
0.48997,0.11507,0.082188,-0.093084,-0.00486,-0.065092,0.016218,-0.009911,0.013519,0.014086,-1
2.0132,0.069931,0.059671,-0.16226,0.10903,0.024966,0.004661,0.005423,0.000707,0.028499,1
1.8231,-0.025748,0.30529,0.039898,-0.062404,-0.01311,0.046054,-0.004674,0.003764,0.05915,-1
0.82645,-0.029134,0.17464,-0.13082,-0.085356,0.032984,0.055336,0.002281,0.013007,0.007739,-1
0.79517,-0.006122,0.1135,-0.13918,-0.070138,0.02202,-0.035235,0.002705,0.017233,-0.003175,-1
0.45045,0.11555,0.11707,-0.11651,-0.10426,0.006046,-0.020144,0.004345,-0.0067,-0.026468,-1
1.1358,0.025655,0.10604,-0.19831,-0.043135,0.015752,-0.024747,-0.10236,0.035272,0.005335,-1
0.73813,0.068646,0.11683,-0.16427,-0.069845,0.027472,0.006018,-0.000603,0.015953,-0.001079,-1
1.2148,-0.017823,0.26137,-0.059088,-0.10832,-0.00549,-0.025659,-0.011377,0.020916,0.008495,-1
0.52487,0.014383,0.13349,-0.11706,-0.12199,0.021968,0.021104,0.008359,0.002908,-0.008087,-1
0.48616,0.064257,0.12975,-0.15105,-0.10492,-0.016913,0.002477,0.011247,0.019657,0.00105,-1
0.67077,-0.030253,0.11345,-0.14153,-0.071754,0.019739,-0.030259,0.007083,0.029183,0.003162,-1
0.38021,0.065176,0.11321,-0.15361,-0.10134,-0.020768,-0.008067,0.006938,0.031493,0.002012,-1
0.54339,-0.016665,0.15509,-0.10666,-0.10088,0.02582,0.067881,-0.013411,0.012024,0.014688,-1
0.14049,-0.000664,0.017015,-0.039033,-0.007888,-0.031428,0.005584,0.002513,0.018467,0.008636,-1
0.9674,0.25509,0.15768,-0.073745,0.002341,-0.033105,0.031176,0.008549,0.067214,0.017245,1
0.24838,0.049761,0.034449,-0.034659,-0.003037,-0.025207,0.004265,0.000193,0.010783,0.013828,1
1.3599,0.07414,0.1841,-0.18953,-0.085957,-0.029241,0.041106,0.00982,-0.0092,-0.040884,-1
1.4322,-0.00218,0.11585,-0.21395,-0.026882,0.040646,-0.025267,0.015831,0.014536,0.002313,-1
0.44527,0.002205,0.16865,-0.10274,-0.14876,0.008595,0.089566,-0.005223,0.01587,-0.005986,1
0.5321,0.92708,0.12129,-0.16443,-0.1039,-0.03769,-0.049275,-0.011229,-0.096333,0.01781,-1
