@relation S_TCAed_data_dim10_PDE_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.1601,0.11502,0.3915,-0.14682,-0.051009,0.074674,-0.049075,0.020363,0.03327,-0.028848,-1
1.0141,0.3439,0.25452,-0.12501,-0.10437,0.000844,0.009355,0.003113,0.032242,-0.039091,-1
2.0162,0.07019,0.38112,0.036661,-0.1131,0.057253,-0.093437,0.017799,0.017783,-0.000921,-1
1.4246,0.002758,0.27738,0.05174,-0.064333,0.061013,-0.11324,0.040261,0.006948,0.025625,1
2.7365,0.060524,0.5796,-0.099863,0.070278,0.047765,-0.026688,0.067499,-0.016152,-0.011803,-1
3.009,0.056626,0.47734,-0.011483,-0.033173,0.031799,-0.038683,0.058384,0.015137,0.016659,1
1.6347,0.00555,0.44985,-0.002458,-0.025269,0.036107,-0.071145,-0.012273,0.019029,0.008586,1
0.56003,0.033464,0.19443,-0.1007,-0.055156,0.017102,-0.024131,0.020705,0.023764,-0.014351,-1
1.2436,0.17839,0.26068,-0.016053,-0.089811,0.014431,-0.004686,0.021781,0.012603,-0.011295,-1
0.51559,0.003731,0.16914,-0.050187,-0.024469,0.011447,-0.011583,0.008947,0.015281,-0.007959,-1
0.36729,0.038692,0.11958,-0.051062,-0.035948,0.009885,-0.01123,0.011256,0.006855,-0.002795,-1
0.44855,0.025054,0.1521,-0.077829,-0.07442,0.030604,-0.048894,0.000149,0.016841,-0.016763,1
0.42757,0.012848,0.12414,-0.070736,-0.056244,0.031842,-0.04222,0.003936,0.020587,-0.030243,-1
3.1469,0.57362,0.51863,-0.19033,-0.048911,0.046916,-0.044941,-0.00772,0.044617,-0.022379,-1
2.0759,0.11796,0.3928,-0.015296,-0.13959,0.01981,-0.025073,0.044199,0.028616,0.006642,1
1.7891,-0.018342,0.44749,-0.022433,0.00882,0.036179,-0.044228,0.034353,0.016188,-0.02216,-1
0.33817,0.24915,0.12504,-0.10284,-0.084459,0.026084,-0.031045,0.014009,0.022158,-0.022052,-1
0.35742,0.11617,0.13097,-0.096409,-0.058939,0.015556,-0.024295,0.016369,0.003991,-0.008268,1
0.9747,0.046611,0.34315,-0.022453,0.012605,0.073098,-0.10576,0.023268,-0.064161,-0.040208,-1
3.8259,0.16018,0.5427,-0.092197,0.044065,0.042142,-0.07283,0.028733,0.030693,-0.048029,1
0.97765,0.17707,0.24041,-0.077012,-0.081024,0.021891,-0.015886,-0.020036,-0.003877,0.000372,1
1.4847,0.041916,0.3531,-0.002498,-0.034199,0.038834,-0.027133,-0.042635,-0.002335,-0.011016,-1
1.2933,0.15107,0.39061,-0.12927,-0.06945,0.04198,-0.052121,0.039622,0.021611,-0.005466,-1
1.2898,0.11368,0.36016,-0.088441,-0.040052,0.03284,-0.030412,-0.005344,0.002048,-0.01492,-1
0.70549,0.10586,0.29205,-0.25798,-0.12849,0.044799,-0.044568,0.036912,-0.000343,-0.099296,-1
0.21753,0.083704,0.10256,-0.12914,0.0129,-0.003181,-0.013926,0.02314,-0.12514,-0.14062,-1
1.343,-0.006148,0.27643,0.008224,-0.051418,0.013996,-0.022424,0.052302,0.026939,0.007163,-1
4.0518,0.46705,0.34098,-0.071087,-0.21909,0.016751,-0.008247,0.049007,0.028734,-0.003171,-1
0.41411,-0.008979,0.13615,-0.034305,-0.03608,0.032575,-0.046042,0.02391,0.012393,0.002929,-1
0.8762,0.030071,0.26608,-0.018673,-0.031813,0.061035,-0.10519,0.02126,0.008679,0.027278,-1
0.91757,0.047442,0.29595,-0.07986,-0.00539,0.01467,-0.021917,0.022827,0.004919,0.00672,-1
0.47554,0.024454,0.065248,0.01925,-0.074377,0.022972,-0.044192,0.009724,0.010572,-0.009173,-1
3.115,0.21702,0.44492,0.024145,0.01268,0.045812,-0.030369,0.008265,-0.02187,0.012436,-1
0.53772,-0.002719,0.13734,-0.032009,-0.037196,0.006558,-0.022306,0.035042,0.01594,-0.00039,1
1.0966,0.015364,0.30308,-0.048419,-0.013765,0.010265,-0.008591,0.012691,0.016771,-0.007508,-1
0.89527,0.033602,0.25246,-0.061085,-0.069711,0.053886,-0.086503,-0.013662,0.0111,0.01078,-1
3.4698,0.006564,0.47483,-0.12716,0.081532,0.013639,0.011094,0.027166,-0.084434,-0.075154,-1
1.92,0.064068,0.3838,0.027025,-0.067944,0.009024,0.005185,0.11609,0.034589,0.0071,-1
0.83993,0.00595,0.26347,-0.063367,-0.07044,0.03609,-0.038838,-0.016105,0.022968,0.002499,-1
1.8611,0.081069,0.39811,-0.038369,-0.026204,0.019779,-0.039038,0.066277,0.010228,0.016911,1
0.19562,0.074589,0.090836,-0.12342,-0.091804,0.012365,-0.004067,-0.009677,0.002909,0.008989,-1
0.22014,0.041856,0.10545,-0.057796,-0.039659,0.068042,-0.019155,0.014606,-0.000696,0.002199,1
1.6365,0.039898,0.44734,-0.036828,0.006171,0.046249,-0.070385,0.033801,0.008835,0.024951,-1
1.6475,0.41977,0.4225,-0.18047,-0.091249,0.028261,-0.032612,0.034104,-0.012622,0.014419,-1
0.79761,0.1344,0.24786,-0.098923,-0.1041,0.03177,-0.039533,-0.034913,-0.023644,0.046801,-1
1.796,0.25272,0.45451,-0.02752,0.011037,0.021283,-0.038181,0.014771,-0.082459,-0.034256,-1
0.57414,1.5352,0.11625,-0.24105,-0.22346,0.000207,-0.013246,0.062092,-0.067591,0.044261,-1
0.40064,-0.008401,0.13654,-0.040771,-0.040629,0.025793,-0.032921,0.026703,0.009437,-0.008522,-1
1.8959,0.12783,0.46216,-0.11354,-0.059125,0.042717,-0.070993,0.016035,0.031737,-0.008686,1
1.5209,0.048979,0.38852,-0.031315,0.01253,0.011521,-0.012259,0.017864,0.022497,-0.009861,-1
0.93406,0.15293,0.31074,-0.11596,-0.052657,0.026131,-0.032545,0.013231,-0.002472,0.004794,-1
0.69726,0.20572,0.21623,-0.09752,-0.10156,0.058697,-0.10746,-0.000146,0.005243,0.012548,-1
1.8718,0.010942,0.43514,-0.045075,-0.020244,0.023996,-0.029079,0.044721,0.021107,0.007752,-1
1.4556,0.041376,0.30793,-0.006856,-0.042176,0.007812,0.005579,0.006971,0.0124,-0.016636,1
1.1101,0.13718,0.31435,-0.053539,-0.064198,0.050746,-0.083683,0.025273,0.004668,0.02589,-1
3.1478,0.47503,0.47857,-0.16723,0.018729,0.054133,-0.043047,-0.013754,0.059825,-0.024742,-1
0.69396,0.2119,0.22529,-0.14669,-0.10996,0.030936,-0.045048,0.027885,0.036681,-0.031182,-1
1.1737,0.039961,0.33618,-0.11729,-0.059947,0.042617,-0.041895,0.031381,0.047044,-0.031762,-1
1.1839,0.53075,0.33456,-0.18698,-0.094907,0.011299,-0.005996,0.02465,0.05051,-0.033323,-1
0.95933,-0.005724,0.27497,-0.040699,-0.022829,0.02243,-0.026718,0.010558,0.015357,-0.004809,1
