@relation S_TCAed_data_dim10_PDE_for_JDT_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.50713,0.11057,-0.032026,-0.15446,-0.035744,0.022827,0.000294,-0.020186,0.024163,-0.024155,-1
-0.41814,0.13281,-0.16211,-0.15053,-0.039991,0.040433,-0.010671,-0.008276,-0.005946,-0.007045,-1
-0.80584,0.16347,-0.007034,-0.14974,-0.13447,-0.064093,0.003486,0.013208,0.028904,-0.029374,-1
-0.56867,0.096044,0.030557,-0.10661,-0.11081,-0.043834,0.009017,0.009186,0.037387,-0.038823,1
-1.0532,0.10474,0.022838,-0.083903,-0.001098,-0.018473,0.004138,-0.053747,0.075822,0.010789,-1
-1.1049,0.14552,-0.001184,-0.10517,-0.040224,-0.038084,0.015469,-0.007031,0.018993,-0.028598,1
-0.71949,0.16865,0.053905,-0.1066,-0.075338,-0.009382,-0.024839,-0.001321,0.048441,-0.037091,1
-0.24343,0.068644,-0.011216,-0.11199,-0.026596,0.027516,0.005913,-0.007002,0.010213,-0.015837,-1
-0.41614,0.092933,-0.080222,-0.090395,-0.04776,0.001589,-0.001996,0.002096,0.003762,-0.005721,-1
-0.2042,0.027785,0.001801,-0.065701,-0.012605,0.011361,0.008181,-0.002507,0.004246,-0.009421,-1
-0.14627,0.032592,-0.012686,-0.058738,-0.015388,0.013003,0.003627,-0.00105,0.004725,-0.004265,-1
-0.23081,0.070849,-0.0077,-0.11641,-0.056591,0.008497,0.002448,-0.001024,0.010153,-0.013497,1
-0.17673,0.045875,0.006082,-0.088502,-0.032771,0.010691,-0.008271,-0.015395,0.009711,-0.007676,-1
-1.281,0.29985,-0.21692,-0.22685,-0.070409,0.008779,0.003323,-0.016649,0.011885,-0.040924,-1
-0.80399,0.13461,-0.039518,-0.15816,-0.061115,-0.01261,-0.017678,0.013592,0.010127,-0.017882,1
-0.68722,0.10391,0.031891,-0.089016,-0.033752,-0.021619,0.028579,-0.018724,0.024527,-0.022369,-1
-0.18909,0.15112,-0.12448,-0.12455,-0.044583,0.026606,-0.00149,0.000196,0.014448,-0.008332,-1
-0.16987,0.069287,-0.063212,-0.10191,-0.024382,0.026111,0.005886,-0.003586,0.014361,-0.004489,1
-0.44793,0.087251,-0.004059,-0.11828,-0.061947,-0.049156,0.023259,-0.057491,0.084303,0.029995,-1
-1.3634,0.008968,-0.010818,-0.13896,0.0664,-0.039819,0.005813,0.014474,0.009586,-0.043906,1
-0.37813,0.12132,-0.067492,-0.11239,-0.041109,0.000009,-0.003791,0.012297,0.005296,0.005186,1
-0.53265,0.10823,0.016638,-0.080677,-0.05412,-0.049081,-0.013894,0.01323,0.004639,-0.00178,-1
-0.57928,0.13538,-0.062244,-0.17508,-0.06571,0.01725,0.020551,-0.020152,0.024851,-0.039739,-1
-0.49571,0.10195,-0.02104,-0.12475,-0.053795,-0.003926,0.001749,-0.002987,0.015784,-0.008662,-1
-0.35563,0.15065,-0.045779,-0.26054,-0.053434,0.067663,0.002345,-0.083701,0.044974,0.039936,-1
-0.1234,0.11918,-0.030092,-0.11858,-0.016305,0.00419,0.006839,-0.14384,0.058645,0.13409,-1
-0.47812,0.016087,0.004571,-0.083999,-0.029173,0.001444,0.026081,0.001263,0.009754,-0.023691,-1
-1.6174,0.30016,-0.21879,-0.22411,-0.097945,-0.032837,-0.026742,0.01435,-0.024939,-0.012547,-1
-0.17816,0.049199,0.008171,-0.078621,-0.039771,0.002773,0.011783,-0.001377,0.02286,-0.021661,-1
-0.38962,0.063959,-0.009568,-0.11154,-0.094203,-0.039353,0.02509,-0.002434,0.03894,-0.042476,-1
-0.35065,0.047796,-0.00541,-0.082035,-0.01077,0.009341,0.01672,-0.006815,0.014526,-0.015368,-1
-0.21921,0.054179,-0.004405,-0.059102,-0.072204,-0.011001,0.000922,0.004524,0.007062,-0.011063,-1
-1.2556,0.093258,-0.082163,-0.092852,-0.056725,-0.080897,0.005661,-0.027097,0.031665,-0.02474,-1
-0.19682,0.025457,-0.005787,-0.062167,-0.019688,0.007477,0.010608,-0.004998,0.015085,-0.011867,1
-0.42447,0.024907,0.00248,-0.082127,-0.011843,0.008904,0.017536,-0.008375,0.006012,-0.016092,-1
-0.3699,0.08141,-0.003762,-0.13943,-0.064417,-0.008713,0.005917,0.011832,0.027514,-0.023764,-1
-1.3623,0.12269,0.048739,-0.13007,0.02744,-0.024054,0.011378,-0.074726,0.050811,0.07747,-1
-0.66109,0.061306,-0.027566,-0.075585,-0.020111,-0.004368,0.021813,-0.005942,0.017757,-0.024594,-1
-0.34898,0.066464,0.004099,-0.12744,-0.054979,0.00936,0.004284,0.021473,0.009103,-0.013059,-1
-0.68433,0.059762,-0.016447,-0.10616,-0.022078,-0.009603,0.02375,-0.016853,0.017192,-0.027203,1
-0.10116,0.061875,-0.03805,-0.10452,-0.013669,0.037707,-0.001116,0.015485,0.000059,0.009214,-1
-0.11194,0.048391,-0.023678,-0.079923,-0.032248,0.003793,0.018227,0.005968,0.040272,-0.012574,1
