@relation S_TCAed_data_dim10_PDE_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.76888,-0.057763,-0.10354,0.11829,-0.002776,0.064851,0.057226,-0.009597,0.041583,0.011823,-1
-0.7341,-0.27587,-0.12524,0.10325,-0.034333,0.10148,0.01501,-0.008742,0.03448,-0.011763,-1
-1.4245,-0.013514,-0.26811,0.034933,-0.05814,0.025167,0.062445,-0.002253,0.017887,0.021117,-1
-0.97525,0.045942,-0.21052,0.034387,-0.031147,-0.009139,0.074326,-0.003519,-0.000032,0.040826,1
-1.9951,0.007611,-0.05404,0.14227,0.033125,-0.032878,0.027438,0.008995,0.008048,0.019928,-1
-2.2335,0.022973,-0.22101,0.030035,-0.007935,0.006797,0.01612,0.0128,0.008814,-0.032604,1
-1.202,0.037743,-0.1807,0.049925,-0.022656,-0.009099,0.063919,-0.014833,0.009416,0.014256,1
-0.3942,-0.026636,-0.057854,0.089464,-0.015077,0.053088,0.025053,-0.00655,0.024888,0.003205,-1
-0.8596,-0.11438,-0.15792,0.048042,-0.019796,0.04664,0.006699,-0.006755,0.002254,0.007409,-1
-0.36955,0.009447,-0.06006,0.052134,0.000433,0.024931,0.013567,-0.003122,0.016153,-0.00178,-1
-0.25419,-0.027398,-0.040139,0.049496,-0.004228,0.029177,0.012024,-0.000331,0.008361,0.00296,-1
-0.32279,-0.012094,-0.084036,0.069193,-0.033967,0.055454,0.045193,-0.001479,0.024352,0.014774,1
-0.30084,0.003025,-0.065016,0.054311,-0.018868,0.049961,0.036405,0.00384,0.033699,0.014499,-1
-2.4061,-0.4271,-0.20023,0.15532,-0.021122,0.065709,0.044667,-0.020585,0.052165,0.046722,-1
-1.5184,-0.047053,-0.27045,0.061169,-0.029265,0.074462,0.040277,-0.000911,0.021613,-0.042877,1
-1.2731,0.040126,-0.14845,0.073969,0.015367,-0.017066,0.039618,-0.003458,0.014607,0.004347,-1
-0.25298,-0.21723,-0.069313,0.077923,-0.03545,0.070385,0.03147,0.000899,0.029589,-0.004138,-1
-0.2548,-0.09774,-0.058517,0.082204,-0.021567,0.054289,0.01635,0.001096,0.013772,0.000112,1
-0.7039,0.015916,-0.14812,0.083401,-0.015887,-0.028667,0.068562,0.066892,0.009034,0.029086,-1
-2.5261,-0.010251,0.068588,0.11971,-0.019136,-0.008699,0.002233,-0.089501,0.034987,0.052139,1
-0.70181,-0.13819,-0.12154,0.067557,-0.026582,0.059015,0.009902,0.002741,0.006809,0.017511,1
-1.1093,0.015181,-0.16759,0.004414,-0.027104,0.018275,0.02132,-0.001797,0.00616,0.02188,-1
-0.95149,-0.091855,-0.1424,0.13449,-0.020126,0.059817,0.044934,-0.004767,0.020383,0.011884,-1
-0.93949,-0.077466,-0.11159,0.084326,-0.013882,0.043719,0.03006,0.001754,0.008786,0.025684,-1
-0.50154,-0.069181,-0.095196,0.19845,-0.04908,0.13771,0.034913,0.06045,0.086935,0.016432,-1
-0.19571,-0.013626,-0.014913,0.10418,-0.015362,0.018705,-0.012074,0.1781,0.055741,0.035797,-1
-0.92376,0.03538,-0.16849,0.050926,0.011711,0.015057,0.016352,-0.00478,0.017014,-0.016427,-1
-3.0032,-0.31789,-0.31443,0.048841,-0.093518,0.13954,-0.002188,-0.009003,0.020826,-0.0403,-1
-0.26748,0.011099,-0.057771,0.049764,-0.016565,0.016453,0.033788,-0.00433,0.008649,0.01327,-1
-0.60223,0.02077,-0.14606,0.058097,-0.018191,-0.006938,0.076349,0.001465,-0.002227,0.01896,-1
-0.67077,-0.015204,-0.075063,0.089618,0.015735,0.015133,0.015525,-0.002107,0.005554,0.001983,-1
-0.31302,-0.018806,-0.084088,-0.000761,-0.035316,0.029865,0.036472,0.007809,0.007793,0.016339,-1
-2.2447,-0.080545,-0.21759,0.027702,-0.007374,-0.033957,0.022096,0.00307,-0.019183,0.026313,-1
-0.36713,0.013671,-0.06669,0.049371,-0.000965,0.021257,0.022826,-0.000361,0.011831,-0.009156,1
-0.79418,0.021455,-0.11283,0.069879,0.012406,0.01827,0.011413,-0.000026,0.018323,-0.005873,-1
-0.64725,0.000315,-0.15384,0.082971,-0.037029,0.036358,0.06231,-0.007869,0.01703,0.032811,-1
-2.6854,0.034076,-0.10134,0.11233,0.03112,-0.002954,-0.023529,0.087321,0.016621,0.010695,-1
-1.3508,0.033582,-0.20988,0.041395,0.027932,0.010392,0.01318,0.004753,0.020342,-0.071199,-1
-0.62229,0.001068,-0.14003,0.071385,-0.029362,0.047376,0.031648,-0.008244,0.022734,0.017295,-1
-1.3079,0.00104,-0.17848,0.086733,0.017831,0.001588,0.022312,0.007518,0.011874,-0.019775,1
-0.14854,-0.082631,-0.03751,0.087266,-0.019383,0.080858,0.001635,-0.00324,0.011265,0.008453,-1
-0.15562,-0.027677,-0.032877,0.048524,-0.014438,0.028837,0.027916,0.009947,0.006651,0.010626,1
-1.1591,0.028683,-0.15925,0.084778,0.008641,-0.017765,0.05065,-0.011544,0.003458,0.010895,-1
-1.2094,-0.31165,-0.15442,0.1702,-0.021333,0.089195,0.030147,0.003383,-0.016661,0.008683,-1
-0.60593,-0.094664,-0.1504,0.092239,-0.018658,0.071669,0.030738,0.000501,-0.010989,0.014563,-1
-1.3438,-0.13146,-0.17246,0.064519,0.004645,-0.015622,0.029087,0.034204,-0.034078,0.017263,-1
