@relation T_TCAed_data_dim10_EQ_for_LC_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.5258,-0.33385,-0.01425,0.011268,0.008536,-0.070407,-0.026389,-0.063226,0.067757,-0.025096,1
5.4891,0.5442,0.10809,0.38565,0.071485,-0.15202,0.034515,-0.048389,-0.2839,0.066041,1
1.3954,-0.29733,0.042043,0.072185,0.000309,-0.20541,0.015037,0.026259,0.017397,0.006912,-1
3.2471,-0.032752,0.059552,0.14246,0.083017,-0.14388,0.094826,-0.015464,-0.088138,0.092561,1
1.2298,-0.42205,-0.11843,0.16169,0.038321,-0.051202,-0.060769,-0.074541,-0.028261,0.008306,1
0.066119,-0.083287,-0.025815,0.077765,0.009286,-0.017748,-0.004655,-0.03226,-0.007896,-0.020447,-1
1.9076,-0.41865,0.06224,-0.003885,0.099576,-0.11338,0.038845,0.042192,0.054127,-0.16533,1
0.39679,-0.17254,-0.02367,0.061017,0.021314,-0.020476,-0.000763,-0.023875,-0.001947,-0.021594,-1
3.1231,-0.32491,0.000169,0.087167,0.13292,-0.14735,0.013442,0.12859,-0.15966,0.003469,1
2.6078,-0.60371,-0.11906,-0.009765,0.020939,-0.01274,-0.063364,-0.024845,0.001346,-0.012584,1
1.2807,-0.37639,-0.067982,0.020987,-0.00998,-0.077944,-0.019395,-0.039636,-0.030941,-0.027526,-1
0.87276,-0.57618,-0.22176,0.57486,-0.002886,0.056041,0.020896,0.044483,0.004795,0.1358,1
0.55758,-0.14976,0.076551,0.069739,-0.009323,-0.016429,-0.020004,-0.060395,0.014755,-0.017479,-1
0.36575,-0.1628,-0.02587,0.051824,0.014278,-0.016941,-0.005085,-0.039943,-0.005353,-0.020645,-1
0.25527,-0.14864,-0.10914,0.21984,0.11433,-0.2244,-0.61926,0.078512,-0.040564,-0.041636,-1
0.39679,-0.17254,-0.02367,0.061017,0.021314,-0.020476,-0.000763,-0.023875,-0.001947,-0.021594,-1
1.267,-0.18965,-0.003736,0.18489,0.081204,-0.17898,-0.004842,0.023163,0.077501,0.00072,1
0.37962,-0.17309,-0.029752,0.06234,0.019319,-0.017522,-0.000563,-0.027769,-0.003071,-0.019564,-1
2.2585,-0.38107,0.016949,-0.046038,0.028013,-0.026233,0.040089,0.027096,-0.17098,0.056769,1
0.066119,-0.083287,-0.025815,0.077765,0.009286,-0.017748,-0.004655,-0.03226,-0.007896,-0.020447,-1
1.6624,-0.41393,0.018659,0.008657,0.018496,-0.056703,-0.021894,-0.059494,-0.017742,-0.028195,-1
1.4631,-0.34431,0.0198,-0.042367,0.063324,-0.10317,0.000475,-0.048571,0.002894,-0.019445,-1
1.3411,-0.5032,-0.15539,0.31194,0.051319,0.003079,-0.008265,-0.051841,-0.005198,0.000025,1
0.066119,-0.083287,-0.025815,0.077765,0.009286,-0.017748,-0.004655,-0.03226,-0.007896,-0.020447,-1
1.6148,-0.4606,-0.050082,-0.03494,0.036779,-0.040457,-0.016474,-0.076103,-0.004263,-0.012367,-1
1.317,-0.4896,-0.076374,0.14213,0.039525,-0.060591,-0.005953,-0.06213,-0.016045,0.081325,-1
0.35439,-0.13765,-0.035937,0.068974,0.020627,-0.04454,0.003109,-0.027558,0.024612,-0.030515,-1
0.20944,-0.12316,-0.029564,0.064134,0.007638,-0.015633,-0.007422,-0.037526,-0.007327,-0.021962,-1
1.4879,-0.32906,0.039079,0.016403,0.088386,-0.1047,0.045355,-0.002438,0.007254,0.002768,1
5.7751,0.91692,-0.39322,0.33283,0.095457,-0.072791,0.091931,-0.051393,0.061262,0.015288,1
0.37962,-0.17309,-0.029752,0.06234,0.019319,-0.017522,-0.000563,-0.027769,-0.003071,-0.019564,-1
0.20944,-0.12316,-0.029564,0.064134,0.007638,-0.015633,-0.007422,-0.037526,-0.007327,-0.021962,-1
2.8853,-0.53462,-0.10819,-0.073186,-0.023247,-0.053435,-0.031519,-0.062289,0.038644,-0.046945,-1
0.37962,-0.17309,-0.029752,0.06234,0.019319,-0.017522,-0.000563,-0.027769,-0.003071,-0.019564,-1
0.27169,-0.18973,-0.043189,0.10509,0.024548,-0.058334,-0.012774,-0.087164,-0.016546,-0.045785,-1
0.29747,-0.20693,-0.067832,0.17167,0.007033,-0.051289,-0.004582,-0.017649,-0.015231,0.029908,-1
1.6019,-0.43343,-0.055842,-0.047559,-0.008852,-0.03112,-0.035396,-0.046454,-0.050082,-0.001151,1
0.81612,-0.20586,0.059901,0.048014,0.061025,-0.16615,0.019986,-0.022637,0.066953,-0.045044,1
0.37962,-0.17309,-0.029752,0.06234,0.019319,-0.017522,-0.000563,-0.027769,-0.003071,-0.019564,-1
