@relation T_TCAed_data_dim10_EQ_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.4316,-0.16226,0.15405,-0.05139,0.021212,-0.010578,-0.012157,0.011191,0.061391,0.039744,1
-4.7262,0.038834,0.059811,-0.051166,-0.40715,-0.31457,0.14651,0.024442,0.10818,0.056197,1
-1.1724,-0.19159,0.16701,-0.059981,-0.062975,-0.056078,0.048317,0.10708,0.041685,0.001746,-1
-3.1877,-0.26326,0.20648,-0.090895,-0.16633,-0.12288,0.038442,0.024998,0.091243,-0.012169,1
-1.0524,-0.15134,0.17317,-0.19467,0.03642,0.004338,-0.014242,0.008871,0.08316,0.036983,1
-0.020165,-0.025066,0.021134,-0.08595,-0.007485,-0.007105,0.007382,0.001999,0.041701,0.007229,-1
-1.6248,-0.11465,0.11237,-0.044507,-0.11943,-0.026879,0.030759,-0.004067,0.001957,-0.061661,1
-0.30023,-0.044173,0.039005,-0.082255,-0.00959,0.001156,0.013271,0.00146,0.039417,0.001174,-1
-2.9291,-0.20789,0.21817,-0.007813,-0.23497,-0.10936,0.067896,0.024052,0.016698,0.059957,1
-2.3755,-0.077907,0.23946,-0.097235,0.047159,0.060259,-0.014194,0.00641,0.027639,0.003576,1
-1.2062,-0.12346,0.11458,-0.091168,0.06013,-0.000456,0.008737,0.052214,0.054745,0.010317,-1
-0.61463,-0.20104,0.13953,-0.48429,-0.074885,0.079914,0.016409,-0.001978,-0.019811,0.019252,1
-0.46894,-0.10598,0.11727,-0.055495,-0.006621,0.014189,0.014653,-0.001477,0.046403,0.017242,-1
-0.29346,-0.044737,0.04119,-0.079603,0.0035,0.004099,0.007334,-0.000737,0.044068,0.002761,-1
-0.092732,0.77399,1.0559,-0.26159,0.037348,-0.098803,0.020371,0.014551,0.041414,0.0183,-1
-0.30023,-0.044173,0.039005,-0.082255,-0.00959,0.001156,0.013271,0.00146,0.039417,0.001174,-1
-0.98958,-0.15398,0.15337,-0.095274,-0.085527,-0.069709,-0.055737,0.026257,0.03321,-0.01603,1
-0.29706,-0.043756,0.039498,-0.084532,-0.005331,0.003063,0.006997,0.000044,0.039375,-0.001859,-1
-2.208,-0.19535,0.17608,-0.055005,-0.06081,-0.068512,-0.005876,0.001516,0.015324,0.03947,1
-0.020165,-0.025066,0.021134,-0.08595,-0.007485,-0.007105,0.007382,0.001999,0.041701,0.007229,-1
-1.4971,-0.14958,0.14412,-0.047574,-0.004192,0.022977,0.012188,0.004386,0.05344,0.02594,-1
-1.3331,-0.078533,0.086504,-0.045644,0.009417,-0.052944,0.004301,0.014545,0.075788,-0.02796,-1
-1.1821,-0.19782,0.17003,-0.30288,-0.003766,0.037625,-0.002793,0.003506,0.085104,0.008599,1
-0.020165,-0.025066,0.021134,-0.08595,-0.007485,-0.007105,0.007382,0.001999,0.041701,0.007229,-1
-1.4346,-0.13232,0.12763,-0.063172,0.039528,0.040982,0.009544,-0.008084,0.05995,0.006923,-1
-1.1141,-0.17355,0.13886,-0.17834,0.022642,0.028201,0.010965,0.004251,0.054109,0.020937,-1
-0.31158,-0.047767,0.045343,-0.077483,-0.01395,0.003138,0.008264,0.000895,0.044256,-0.009146,-1
-0.15159,-0.032412,0.028669,-0.084029,0.001378,-0.000138,0.008533,0.002487,0.042839,0.00755,-1
-1.3524,-0.14669,0.12968,-0.046793,-0.062596,-0.006447,0.017298,0.01225,0.049053,-0.039123,1
-5.5586,0.37499,-0.25245,-0.15729,-0.15366,-0.34911,0.030489,0.001886,0.11707,-0.045153,1
-0.29706,-0.043756,0.039498,-0.084532,-0.005331,0.003063,0.006997,0.000044,0.039375,-0.001859,-1
-0.15159,-0.032412,0.028669,-0.084029,0.001378,-0.000138,0.008533,0.002487,0.042839,0.00755,-1
-2.714,-0.11498,0.13912,-0.034131,0.063744,0.040987,-0.013476,0.041235,0.050526,-0.005911,-1
-0.29706,-0.043756,0.039498,-0.084532,-0.005331,0.003063,0.006997,0.000044,0.039375,-0.001859,-1
-0.18139,-0.058271,0.053413,-0.14796,0.002952,-0.016518,0.017885,0.005902,0.098229,0.013719,-1
-0.18368,-0.079972,0.056464,-0.1528,-0.003499,-0.019386,0.001915,0.030225,0.033705,0.02427,-1
-1.4304,-0.11111,0.10741,-0.083378,0.091043,0.015325,-0.026734,0.020221,0.040322,0.037478,1
-0.67485,-0.13621,0.11589,-0.059356,-0.048699,-0.044875,0.003732,0.029341,0.070006,-0.014799,1
-0.29706,-0.043756,0.039498,-0.084532,-0.005331,0.003063,0.006997,0.000044,0.039375,-0.001859,-1
-1.2713,-0.13326,0.097212,-0.16799,-0.023548,0.008428,0.007943,-0.010497,0.000492,0.033421,1
-1.3321,-0.1491,0.12726,-0.15698,-0.027478,0.030525,-0.009204,-0.007742,0.000094,0.019911,1
-3.7433,-0.005382,0.042875,-0.061728,-0.1426,-0.12107,0.025285,-0.0163,0.018694,0.086895,1
-1.728,-0.15609,0.14459,-0.07907,0.057246,-0.011591,-0.005671,0.075354,0.052959,0.006009,1
-2.3346,-0.12669,0.19483,-0.092563,0.052274,0.077131,0.01192,0.00126,0.054702,0.02017,-1
-3.4744,-0.17791,0.24965,-0.041145,-0.064705,-0.03102,0.063409,0.00388,0.033423,0.003162,-1
-1.0707,-0.1018,0.097589,-0.072191,0.025592,0.041158,0.009729,-0.001845,0.041612,-0.000841,-1
-0.46101,-0.060924,0.056026,-0.06829,-0.02701,-0.006934,0.009263,0.008714,0.040058,-0.019801,-1
-1.8296,-0.20668,0.18955,-0.28341,-0.022291,0.069091,0.00884,-0.003071,0.073861,-0.004615,1
-0.99974,-0.13596,0.13926,-0.10137,-0.010505,-0.025127,0.009995,0.025569,0.057,0.015555,-1
-3.628,-0.12214,0.14883,-0.026305,-0.021557,-0.049762,-0.001261,0.000918,0.049338,-0.022441,1
-2.0613,-0.19656,0.19378,-0.075002,-0.002237,0.034786,-0.009396,-0.007955,0.030738,-0.001396,-1
-1.2447,-0.12767,0.12925,-0.10346,-0.053082,-0.067149,-0.02996,0.029786,0.052673,-0.00934,-1
-0.69657,-0.076963,0.068517,-0.075595,0.018316,0.016832,0.003707,0.027358,0.054007,0.0035,1
-1.3317,-0.019606,0.24332,-0.061977,0.022953,0.022727,0.012107,-0.018141,0.051399,-0.001333,-1
-0.46681,-0.081339,0.066722,-0.1117,0.005052,-0.000025,0.009888,0.008288,0.06111,0.005602,1
-1.2264,-0.10052,0.14229,-0.11238,0.0027,-0.004254,0.031554,-0.008089,0.025764,0.059509,-1
-4.2264,-0.12525,0.19625,-0.015485,-0.21806,-0.11507,0.062125,-0.012916,0.027724,0.03785,-1
-1.7844,-0.15373,0.14289,-0.056504,-0.066244,-0.011571,-0.028606,0.010774,0.03299,-0.068311,1
-0.15159,-0.032412,0.028669,-0.084029,0.001378,-0.000138,0.008533,0.002487,0.042839,0.00755,-1
-0.22459,-0.11572,0.085981,-0.27336,-0.059616,0.004334,0.002143,0.017974,0.066588,-0.000909,-1
-0.31158,-0.047767,0.045343,-0.077483,-0.01395,0.003138,0.008264,0.000895,0.044256,-0.009146,-1
-0.33939,-0.089686,0.079523,-0.11398,-0.013013,-0.070381,-0.013613,0.012033,0.059095,-0.001778,1
-0.87462,-0.13932,0.13245,-0.11357,-0.095021,-0.065977,-0.062781,0.029065,0.044626,-0.038088,-1
-0.14356,0.27686,0.34361,-0.15492,0.035866,-0.091063,0.021959,0.023564,0.016377,0.032976,1
-5.205,0.81012,-0.52103,-0.21984,-0.42484,-0.51139,0.29198,-0.039542,-0.024403,0.16421,1
-1.8489,-0.17201,0.1905,-0.091736,0.011351,0.010753,-0.018593,0.03793,0.091195,0.006741,1
-4.5431,0.1634,-0.07228,-0.18872,0.20011,0.064493,-0.07669,0.005282,0.004263,-0.015416,1
-0.7009,-0.096325,0.085661,-0.073988,0.010261,-0.006256,-0.010573,0.007543,0.050838,-0.005608,-1
-1.0106,-0.18049,0.16145,-0.26699,-0.080353,-0.003327,-0.014552,0.01532,0.077916,-0.028699,1
-0.7029,-0.081751,0.075282,-0.068348,0.000622,0.016106,0.015657,0.011197,0.044857,-0.004501,1
-1.3583,-0.13515,0.21494,-0.22478,-0.009567,-0.008805,-0.001405,-0.00514,0.079115,0.012113,1
-1.1668,-0.13794,0.13157,-0.027136,-0.066845,0.000026,0.044409,-0.005696,0.027584,0.024827,-1
-4.1473,-0.24688,0.29176,-0.081943,-0.092007,-0.049115,-0.008236,-0.012261,0.048278,-0.059614,1
-0.14024,-0.079722,0.06433,-0.11496,0.007573,-0.036964,-0.015496,0.0158,0.043137,0.021067,-1
-0.96109,-0.1801,0.1501,-0.30465,-0.033766,0.025686,-0.021602,0.019674,0.083743,0.013471,1
-2.173,-0.19005,0.19083,-0.048293,-0.002257,-0.007441,0.049535,0.043118,0.048086,0.044257,-1
-0.11766,0.7021,0.84938,-0.20845,0.053735,-0.1201,0.021415,0.025124,0.00779,0.015094,1
-4.2277,-0.068099,0.11021,-0.14114,-0.02721,-0.028826,-0.024376,-0.02397,0.071565,-0.06091,1
-0.42651,-0.060197,0.053345,-0.095113,0.013675,0.016156,0.0127,-0.002058,0.045647,0.009003,1
-0.27087,-0.064448,0.050881,-0.12269,-0.002483,0.00322,-0.006443,0.002234,0.0272,0.017991,-1
-0.94587,-0.11338,0.10244,-0.10754,-0.02937,0.048287,-0.002116,-0.006548,0.006613,-0.010435,-1
-1.169,-0.13323,0.12834,-0.042777,-0.062737,-0.024675,-0.012046,0.018987,0.053938,-0.005579,1
