@relation T_TCAed_data_dim10_EQ_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.5829,0.082101,0.3989,-0.05998,0.001781,0.048731,-0.065775,0.066178,0.007086,-0.005985,1
5.2291,-0.13227,-0.84472,0.18375,-0.31288,0.003425,0.033433,0.082507,0.02834,-0.062908,1
1.3778,0.077833,0.26386,-0.000075,-0.12473,0.062406,-0.029669,0.055007,-0.04396,-0.063912,-1
3.5637,0.022306,0.15586,0.10375,-0.24634,-0.034036,-0.032898,-0.013154,-0.024528,-0.026855,1
1.2052,0.14383,0.37543,-0.1179,-0.033261,0.043421,-0.007065,0.020624,0.01318,0.01796,1
0.030736,0.039818,0.010661,-0.042739,-0.034007,-0.001057,-0.001911,0.00708,0.008967,-0.008427,-1
1.9166,0.16446,0.34936,-0.042523,-0.053746,0.065626,-0.051127,-0.009987,0.062731,-0.08591,1
0.36723,0.055562,0.083646,-0.03418,-0.034009,-0.003702,0.005222,0.004916,0.008121,-0.010381,-1
3.4293,0.048452,0.22934,0.1663,-0.20097,0.038701,0.11496,-0.056204,-0.016548,-0.013356,1
2.6163,0.16301,0.52981,-0.11172,0.06801,0.001481,-0.011235,0.014257,0.001759,0.008784,1
1.3006,0.098014,0.40487,-0.10082,0.006245,0.01023,-0.021244,0.019592,-0.019127,-0.017345,-1
0.5537,0.5483,0.15441,-0.13233,-0.087513,-0.019396,0.021711,-0.040181,-0.058422,0.076198,1
0.66793,0.050774,0.074793,0.02827,-0.0977,-0.015088,0.004508,0.10089,0.025887,-0.004792,-1
0.34043,0.043405,0.10402,-0.049056,-0.022365,-0.002691,0.002144,0.007729,0.011172,-0.009593,-1
0.050607,0.09018,0.059871,-0.091307,-0.053575,0.12927,0.039557,0.000234,0.015069,0.005735,-1
0.36723,0.055562,0.083646,-0.03418,-0.034009,-0.003702,0.005222,0.004916,0.008121,-0.010381,-1
1.2069,0.10774,0.26241,0.005812,-0.076204,0.068571,-0.062116,0.014181,0.008342,-0.03892,1
0.34149,0.055746,0.099159,-0.044851,-0.023233,-0.0023,0.003001,-0.000016,0.008429,-0.0108,-1
2.535,0.032799,0.40228,-0.021865,-0.045784,0.038508,-0.011193,-0.079532,-0.003102,0.028587,1
0.030736,0.039818,0.010661,-0.042739,-0.034007,-0.001057,-0.001911,0.00708,0.008967,-0.008427,-1
1.6656,0.066419,0.38801,-0.037479,-0.042494,0.012157,-0.000969,0.03322,0.007615,0.00311,-1
1.4848,0.0116,0.3211,-0.051951,-0.05534,0.005942,-0.019271,-0.01933,-0.000046,-0.022295,-1
1.3308,0.2859,0.36851,-0.13926,-0.056443,0.000032,0.007429,0.002775,0.01288,-0.003767,1
0.030736,0.039818,0.010661,-0.042739,-0.034007,-0.001057,-0.001911,0.00708,0.008967,-0.008427,-1
1.587,0.054687,0.42486,-0.088315,0.018321,0.00189,0.002698,0.018916,0.016514,0.006161,-1
1.1885,0.12836,0.31972,-0.097767,-0.040928,0.002493,-0.009723,0.012623,-0.013548,0.039973,-1
0.33765,0.048995,0.092213,-0.036025,-0.025893,-0.001322,0.002828,-0.005277,0.005596,-0.019838,-1
0.17916,0.042873,0.059661,-0.048449,-0.025871,-0.001984,0.000353,0.008165,0.009274,-0.009354,-1
1.5356,0.053108,0.30889,-0.001429,-0.07938,0.005804,0.000529,-0.015921,0.00692,-0.029096,1
6.306,-0.47114,-2.0825,-0.017153,-0.1518,0.057309,-0.091506,0.06635,0.063984,-0.009453,1
0.34149,0.055746,0.099159,-0.044851,-0.023233,-0.0023,0.003001,-0.000016,0.008429,-0.0108,-1
0.17916,0.042873,0.059661,-0.048449,-0.025871,-0.001984,0.000353,0.008165,0.009274,-0.009354,-1
2.935,0.064483,0.549,-0.11892,0.095569,0.021359,-0.005493,0.018212,-0.003216,-0.037653,-1
0.34149,0.055746,0.099159,-0.044851,-0.023233,-0.0023,0.003001,-0.000016,0.008429,-0.0108,-1
0.22226,0.031434,0.085461,-0.096286,-0.059792,0.002388,-0.003104,0.01261,0.022979,-0.02104,-1
0.15363,0.10584,0.063302,-0.067069,-0.037909,0.014658,-0.023842,0.001962,-0.018029,0.010164,-1
1.6954,0.083566,0.45283,-0.10257,0.030713,0.022302,-0.034015,0.033485,-0.002866,-0.00081,1
0.79079,0.050946,0.14019,0.014418,-0.095491,0.00605,-0.049169,0.025293,0.000634,-0.01194,1
0.34149,0.055746,0.099159,-0.044851,-0.023233,-0.0023,0.003001,-0.000016,0.008429,-0.0108,-1
1.4178,0.24476,0.33951,-0.099816,-0.000299,0.050028,-0.068203,0.04928,-0.00093,0.025475,1
1.4637,0.2431,0.34889,-0.055782,-0.009336,0.016238,-0.014332,0.022609,-0.00831,0.022548,1
4.6012,0.10818,0.071145,0.086087,-0.086558,-0.003515,0.069158,0.046043,0.01185,-0.025664,1
1.95,0.075124,0.51461,-0.095418,0.021267,0.027615,-0.043247,0.008254,-0.028161,-0.048577,1
2.5084,0.11346,0.47691,-0.092052,0.029313,-0.018214,0.005823,0.044479,0.008067,0.018637,-1
3.7375,0.066312,0.27199,-0.000528,-0.044199,0.031836,0.02997,0.000565,0.009918,0.002071,-1
1.1924,0.081231,0.31889,-0.057411,0.004371,-0.007422,0.012434,0.020239,0.013405,-0.0099,-1
0.53769,0.037536,0.13583,-0.02602,-0.033444,0.003474,0.006694,-0.01888,0.005333,-0.024463,-1
1.9718,0.32574,0.46627,-0.13245,-0.01584,-0.008033,0.021153,0.001437,0.019346,-0.025726,1
1.153,0.055725,0.23289,-0.020097,-0.071388,0.019805,-0.016436,-0.016162,-0.012283,0.013031,-1
4.0652,0.026027,0.37429,-0.077445,0.029698,0.025854,-0.030367,0.019173,0.009313,-0.034736,1
2.2829,0.12227,0.47893,-0.057737,0.019612,0.031057,0.002231,-0.009196,0.011162,-0.000536,-1
1.3206,0.07592,0.2567,-0.014765,-0.072536,0.037318,-0.036591,-0.016537,-0.010301,0.007582,-1
0.78596,0.056767,0.23867,-0.063199,-0.026972,0.007258,-0.0169,0.029633,0.001648,-0.019908,1
1.6071,0.063135,0.34854,-0.028591,-0.049417,0.001748,0.031441,0.059802,0.019363,-0.016951,-1
0.49203,0.006747,0.14342,-0.067158,-0.040734,0.002079,-0.003636,-0.005486,0.001602,0.005362,1
1.3633,0.11366,0.30317,-0.067997,0.001202,0.041538,-0.017469,0.017702,0.00723,-0.008047,-1
4.6241,0.07317,0.081943,0.01883,-0.085631,0.051991,0.047151,-0.12468,-0.039827,-0.002919,-1
1.9975,0.13592,0.41392,-0.029866,-0.014091,0.03251,-0.03905,-0.037643,-0.002868,-0.028856,1
0.17916,0.042873,0.059661,-0.048449,-0.025871,-0.001984,0.000353,0.008165,0.009274,-0.009354,-1
0.14797,0.20459,0.037514,-0.087719,-0.07995,0.005633,-0.008987,-0.030186,-0.000229,0.001439,-1
0.33765,0.048995,0.092213,-0.036025,-0.025893,-0.001322,0.002828,-0.005277,0.005596,-0.019838,-1
