@relation T_TCAed_data_dim10_JDT_for_LC_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.35571,0.33648,0.37524,-0.013355,0.069209,-0.010058,-0.009614,-0.007833,-0.035529,-0.022501,-1
-0.51174,0.080802,0.045237,-0.026564,0.10638,0.028946,0.046343,-0.005042,-0.04435,0.004978,-1
-0.18639,0.39202,0.18268,-0.052479,0.21504,-0.066333,0.029664,0.006724,-0.07493,-0.050205,-1
-0.95687,1.7232,0.067071,0.11969,0.30856,0.083977,-0.013809,0.064481,-0.039961,0.011872,1
0.054339,1.3339,0.0329,-0.031865,-0.005721,0.010705,0.002503,-0.033636,-0.028896,0.05696,-1
-0.34211,1.4279,-0.10986,0.088554,0.00365,0.053046,-0.080023,0.007153,-0.058737,-0.040532,1
-0.50046,0.085846,0.056244,-0.04151,0.12498,0.058928,0.038093,0.016358,0.001767,-0.008923,1
-0.44522,0.09439,0.049128,-0.00142,0.071955,0.030366,0.007377,0.01256,-0.054401,-0.004323,-1
-0.72228,0.13929,0.10432,-0.022157,0.17985,0.018786,0.050098,-0.028057,-0.050968,0.002592,1
-0.30919,0.16322,0.057153,-0.037862,0.16087,-0.039311,-0.011595,0.035122,-0.020227,-0.006733,1
-0.089745,1.6408,0.10657,-0.059568,0.15241,-0.10464,-0.004122,-0.002139,-0.002506,0.007495,-1
-0.40606,0.45677,0.19442,-0.084472,0.2407,-0.07256,0.014158,0.0225,-0.10008,-0.07765,1
-1.3415,0.3275,0.18815,-0.1377,0.23331,-0.10293,0.073377,-0.025642,0.008922,0.010609,-1
-0.41207,0.51157,0.08252,-0.0403,0.094555,-0.019049,0.035295,0.017991,-0.031533,-0.083887,-1
-0.82491,0.46141,0.23298,-0.045935,0.10308,0.019854,0.066983,-0.029242,-0.08397,0.009145,-1
-1.0074,0.47642,0.24957,-0.05149,0.065038,0.017784,0.012703,-0.070371,-0.096968,-0.001007,-1
-0.50435,0.098263,0.078159,-0.044524,0.096976,0.015364,0.030898,-0.015032,-0.070408,-0.002295,-1
-0.22619,1.6319,0.098822,0.031227,0.16174,0.039672,-0.001934,0.026711,-0.048603,0.03009,-1
-0.36881,0.098917,0.058849,-0.00729,0.12985,-0.013861,0.015414,0.005927,-0.016488,0.017658,-1
-1.9245,0.37061,0.068662,0.0166,0.23575,-0.016522,-0.028262,0.041229,-0.036812,0.031547,1
0.11369,1.4789,-0.047497,-0.022871,0.067384,-0.011705,-0.012366,-0.010438,-0.006374,0.006687,-1
-0.42337,0.066335,0.063432,-0.038945,0.088705,0.021731,0.030696,-0.0253,-0.032376,-0.014666,-1
-1.7444,0.30706,0.11553,0.15552,0.25837,-0.003719,-0.003443,0.038267,-0.026143,0.023178,-1
-0.08538,0.053815,0.047514,-0.012587,0.050862,-0.025767,0.005689,0.000139,-0.005348,0.002018,-1
-0.26412,0.15324,0.19929,0.024721,0.10439,0.030536,-0.016271,0.027597,-0.048263,-0.015646,-1
-0.39955,0.13503,0.076561,-0.031073,0.088539,-0.064649,0.012413,-0.000249,-0.004701,0.005501,-1
-0.49837,0.13739,0.12073,-0.006526,0.13652,-0.052784,0.028899,-0.015776,-0.011725,0.033671,-1
-0.45688,0.5287,0.47458,-0.037675,0.11895,-0.029441,-0.056985,0.048608,0.013863,-0.069827,1
-0.23207,1.6711,0.002066,0.054504,0.23569,0.10418,-0.051213,0.02853,-0.038439,0.024705,-1
-0.79576,0.41984,0.23491,-0.028696,0.11785,0.028992,0.061258,-0.029849,-0.069909,0.001789,1
-0.40056,0.69023,0.76439,0.075085,0.015146,-0.053536,-0.028922,0.013487,0.04012,0.056003,-1
-0.57623,0.20044,0.15131,-0.054809,0.14558,-0.048964,0.029261,-0.01606,-0.037377,0.004047,-1
-0.5194,0.35186,0.10579,-0.039661,0.089561,-0.038664,0.028528,-0.002564,-0.024146,-0.013729,-1
-0.6266,0.23431,0.049607,-0.041456,0.20224,-0.004285,-0.008873,0.013838,0.049544,0.014205,1
-2.6655,0.60729,0.041591,-0.21631,0.11731,0.013165,-0.081715,-0.13037,0.12217,-0.095958,1
-1.8278,0.10801,0.10546,0.085487,0.13543,-0.12364,0.026815,-0.075975,0.021982,-0.017792,-1
-0.68393,0.47429,0.28466,-0.0512,0.10974,-0.006955,0.046061,-0.028363,-0.085138,0.00222,-1
-0.39248,0.14914,0.056534,0.003375,0.15853,0.036809,-0.013582,0.004202,-0.090951,-0.002633,-1
-0.19734,0.50886,0.66165,0.10766,-0.09964,0.039065,-0.070257,0.027533,0.091092,0.019497,-1
-0.42462,0.13543,0.045833,-0.007303,0.12587,0.056147,0.039904,0.007899,-0.030901,0.005092,1
-0.11239,0.091231,0.13239,-0.013287,0.098906,-0.04023,0.004546,0.007968,-0.015948,-0.001891,-1
-0.7132,0.058866,0.033779,0.033775,0.22307,0.036963,-0.006606,0.043418,-0.015388,0.035102,-1
-0.66885,0.1225,0.060381,-0.054327,0.090494,-0.030154,0.025113,-0.019408,0.003449,0.007347,-1
-0.15548,1.6759,0.033755,-0.072025,0.13205,-0.0836,0.002925,-0.001189,0.013184,0.029204,-1
-0.43764,0.12129,0.049903,0.011312,0.15313,0.012892,0.013442,0.054874,-0.033218,0.050653,-1
-1.2627,0.50248,0.21679,-0.071669,0.10401,0.02091,0.09276,-0.058334,-0.066038,0.017968,-1
-0.57622,0.37946,0.076423,-0.014585,0.17764,-0.094453,-0.060366,0.02777,0.019598,0.009305,-1
-0.54797,1.7618,0.19551,0.050897,0.23674,-0.043905,0.011181,0.01606,-0.041957,0.032794,1
-0.27981,1.5576,-0.056974,0.10517,0.19453,0.046662,-0.019077,0.05015,0.001985,0.061271,1
-0.30406,0.34093,0.31796,-0.030125,0.18655,-0.076292,0.003271,0.024131,-0.024831,0.002066,-1
