@relation T_TCAed_data_dim10_JDT_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.31497,-0.25147,-0.35384,-0.08708,0.015915,-0.020433,0.022212,0.012001,0.004433,-0.004326,-1
0.54387,-0.042418,-0.052862,-0.13746,0.014086,-0.008644,0.023057,-0.002879,0.010914,0.003022,-1
0.20561,-0.33283,-0.18599,-0.19663,0.002429,0.003745,0.079483,-0.072123,0.026598,-0.025431,-1
1.1232,-1.4938,-0.061966,-0.18306,0.19309,0.061621,0.068563,0.009233,0.094079,0.020235,1
0.065222,-1.2203,-0.000818,-0.001676,-0.050425,-0.035678,-0.033727,0.040362,-0.016281,0.031723,-1
0.57763,-1.2621,0.11462,-0.059157,0.12093,-0.057036,0.010655,0.031145,0.0614,-0.005094,1
0.57644,-0.009618,-0.053464,-0.13373,0.058092,0.025319,0.010943,0.009216,0.001106,0.004207,1
0.49478,-0.044941,-0.069337,-0.10681,0.03985,-0.017677,0.030728,-0.008665,0.027058,-0.050705,-1
0.74475,-0.067414,-0.097669,-0.16241,0.027555,-0.003025,0.042337,-0.013384,0.059087,0.011496,1
0.34197,-0.11511,-0.059692,-0.08546,0.021289,0.050471,0.0583,-0.047419,0.005608,-0.004028,1
0.22965,-1.4662,-0.093315,-0.11979,-0.032168,0.016647,0.064652,-0.067757,-0.016107,0.00186,-1
0.5011,-0.35026,-0.17543,-0.21443,0.018325,0.013949,0.07312,-0.093184,0.028681,-0.024993,1
1.346,-0.1742,-0.21501,-0.24113,-0.054905,0.029214,0.10493,-0.078931,0.030255,0.015761,-1
0.48105,-0.41564,-0.087079,-0.13819,0.006668,-0.013186,0.032762,-0.050473,-0.004962,-0.040621,-1
0.83433,-0.35039,-0.21496,-0.13021,-0.00914,-0.040993,0.019412,0.01034,0.003797,0.039675,-1
1.0042,-0.35394,-0.24086,-0.11095,-0.031013,-0.042603,0.014705,0.015843,0.006324,0.033223,-1
0.54359,-0.060623,-0.082532,-0.14522,-0.000031,-0.021297,0.00552,-0.01405,0.008723,-0.000439,-1
0.37276,-1.5106,-0.08479,-0.15872,0.072,-0.007897,0.017991,-0.002963,0.007657,-0.025457,-1
0.36802,-0.056256,-0.045697,-0.065957,0.023314,0.028671,0.014962,-0.018127,0.00484,0.025268,-1
2.0371,-0.177,-0.088467,-0.15834,0.12778,0.060786,0.047757,-0.015301,0.003861,-0.00625,1
0.03997,-1.3616,0.069307,-0.067031,-0.014124,-0.006339,-0.001953,-0.007521,-0.006607,-0.000919,-1
0.44324,-0.035869,-0.066101,-0.12584,0.002497,-0.011741,0.02808,0.002006,0.006925,0.001889,-1
1.7347,-0.073026,-0.082012,-0.009511,0.16364,0.035649,0.01613,-0.043934,0.019988,0.03418,-1
0.080747,-0.036116,-0.046153,-0.031209,-0.000976,0.009398,0.028663,-0.015887,0.00253,0.00747,-1
0.27003,-0.11439,-0.18706,-0.11213,0.089707,0.004992,0.004204,0.003141,-0.00608,-0.00774,-1
0.40717,-0.062726,-0.085805,-0.057128,-0.003773,0.015146,0.045418,-0.044904,0.00911,0.011154,-1
0.47373,-0.083059,-0.1045,-0.064456,0.002229,0.026182,0.04288,-0.035605,0.013737,0.02793,-1
0.37181,-0.45471,-0.44258,-0.066119,0.000492,0.033644,0.032079,-0.020999,0.00852,-0.11968,1
0.47609,-1.5174,0.022913,-0.17551,0.15898,0.052234,-0.003906,0.020293,0.0423,-0.01756,-1
0.78929,-0.32657,-0.21436,-0.13092,0.005726,-0.031789,0.014766,0.011866,0.013423,0.038717,1
0.21605,-0.52216,-0.71288,0.050709,0.057965,0.011305,0.028377,0.006332,-0.010309,0.040995,-1
0.62468,-0.12731,-0.168,-0.16846,-0.002172,-0.00127,0.068291,-0.039568,0.016755,-0.007949,-1
0.54159,-0.23706,-0.090919,-0.063966,-0.005845,0.008924,0.032364,-0.033313,-0.006839,0.02696,-1
0.59364,-0.17702,-0.030882,-0.088482,0.04169,0.090722,0.010122,-0.035506,-0.004167,0.005534,1
2.8041,-0.28329,-0.056703,-0.079844,-0.13063,0.035066,0.056585,0.017425,0.14074,-0.037342,1
1.8307,0.047331,-0.084722,0.00801,0.037251,-0.034096,0.10882,-0.0367,0.068901,0.061597,-1
0.67348,-0.36393,-0.2728,-0.13491,-0.015016,-0.03383,0.040503,-0.0066,0.011273,0.025257,-1
0.41786,-0.10715,-0.068437,-0.16022,0.076809,0.01881,0.00377,-0.006485,0.013993,-0.001022,-1
0.005146,-0.41493,-0.60328,0.14454,0.062585,0.018611,-0.055165,0.073785,-0.023683,-0.013469,-1
0.44483,-0.10206,-0.051388,-0.13843,0.052554,0.008603,0.013952,0.008263,-0.003213,0.000175,1
0.079965,-0.064505,-0.12273,-0.050501,0.008209,0.019951,0.030259,-0.030106,0.003578,0.014006,-1
0.68775,-0.042121,-0.025155,-0.073841,0.096314,0.074006,0.009446,-0.013605,0.022581,-0.001918,-1
0.68478,-0.05593,-0.056022,-0.06354,-0.038571,0.015774,0.017169,-0.01264,0.000626,0.030463,-1
0.34535,-1.4873,-0.021041,-0.11434,-0.036598,0.018968,0.039175,-0.046258,-0.009003,-0.005046,-1
