@relation T_TCAed_data_dim10_JDT_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.32856,0.31337,-0.38039,-0.11918,-0.015509,0.028691,0.049582,0.043651,0.008385,0.032626,-1
-0.54519,0.053342,0.001331,-0.079459,-0.032506,-0.012403,0.06636,0.019734,-0.012008,-0.000115,-1
-0.19369,0.31807,-0.068769,-0.19956,-0.041523,0.056756,0.052542,0.055401,-0.010858,0.047002,-1
-1.1266,1.5131,0.058423,-0.10229,-0.26491,-0.022817,0.053008,-0.042558,-0.044115,-0.00349,1
-0.038435,1.2716,0.071445,-0.021285,0.051051,-0.007894,0.026881,0.018349,-0.009262,0.010785,-1
-0.4838,1.3385,0.21445,0.094856,-0.12253,0.006687,0.023204,-0.00223,0.003792,0.034054,1
-0.57681,0.075603,-0.014076,-0.069624,-0.0721,-0.046465,0.050496,0.015049,0.036016,-0.026523,1
-0.47584,0.030752,-0.020002,-0.038721,-0.041549,-0.005221,0.047264,0.025081,-0.035159,0.041957,-1
-0.7382,0.08289,-0.030901,-0.12379,-0.067312,0.001574,0.090294,-0.012553,0.000341,0.004182,1
-0.3348,0.099696,0.007507,-0.10951,-0.05582,0.012357,-0.008043,0.003974,0.00871,0.00284,1
-0.25769,1.4484,0.043346,-0.16721,-0.014552,0.030869,-0.027242,-0.014327,0.026268,-0.021127,-1
-0.46521,0.36407,-0.028474,-0.19788,-0.076312,0.049581,0.057138,0.065814,0.038916,0.042609,1
-1.3567,0.19482,-0.071316,-0.25973,0.00054,0.044868,0.041656,-0.029113,0.013879,-0.021522,-1
-0.48597,0.38776,-0.025284,-0.10065,-0.030958,0.014035,0.029946,0.040768,0.00621,0.012508,-1
-0.85625,0.38776,-0.17916,-0.1273,-0.012647,0.003802,0.10631,0.035671,-0.009901,-0.009702,-1
-1.0033,0.37925,-0.22645,-0.12212,0.013068,0.004651,0.11018,0.018285,-0.003083,0.012906,-1
-0.55823,0.0692,-0.022576,-0.089756,-0.021669,-0.007183,0.06902,0.027037,0.011605,0.005361,-1
-0.42322,1.4733,0.027076,-0.10277,-0.10996,-0.033698,0.036602,0.017271,-0.001543,-0.003304,-1
-0.39212,0.072309,-0.011743,-0.082393,-0.047815,-0.000083,0.017662,-0.00567,0.020727,-0.026522,-1
-2,0.18233,-0.010029,-0.093353,-0.13672,0.024628,0.014218,0.005483,0.032549,-0.006043,1
-0.061072,1.343,0.16581,-0.056097,-0.020275,-0.025452,-0.006083,-0.020067,0.036187,-0.021936,-1
-0.45198,0.043761,-0.025329,-0.081955,-0.017932,-0.007034,0.065666,0.008725,0.00827,0.004373,-1
-1.7774,0.14596,-0.11027,-0.049001,-0.17231,0.018543,0.055435,-0.026818,0.042466,-0.05062,-1
-0.085455,0.03301,-0.027348,-0.047205,-0.010649,0.013235,0.001319,-0.004795,0.004511,-0.005929,-1
-0.311,0.15514,-0.17976,-0.075364,-0.085669,-0.004012,0.040582,0.03951,0.028035,0.010993,-1
-0.39527,0.073072,-0.04083,-0.085442,-0.010723,0.038194,-0.007654,-0.006603,-0.004218,-0.007041,-1
-0.4864,0.080721,-0.077305,-0.10673,-0.036529,0.025337,0.025897,-0.01398,0.010947,-0.030379,-1
-0.41102,0.45455,-0.49087,-0.15048,-0.034636,0.030509,-0.002819,0.07253,-0.005856,0.097136,1
-0.45972,1.5198,0.13925,-0.068734,-0.1787,-0.056092,0.048163,-0.019835,0.016928,0.024225,-1
-0.83101,0.36214,-0.18415,-0.12538,-0.0321,0.001689,0.10339,0.025218,-0.004998,-0.009989,1
-0.37828,0.58562,-0.92089,-0.1265,-0.053382,0.040056,-0.00523,-0.028148,0.030404,-0.046634,-1
-0.59393,0.13675,-0.087091,-0.14481,-0.014706,0.035979,0.042398,0.016476,0.000687,0.014814,-1
-0.55703,0.26359,-0.052585,-0.090902,-0.017643,0.015485,0.015731,-0.000865,0.011516,-0.029024,-1
-0.61984,0.16548,0.012399,-0.10318,-0.067285,-0.03447,-0.009187,-0.036866,0.036355,-0.024392,1
-2.6615,0.37975,-0.017095,-0.12569,0.062426,0.008798,0.053384,-0.16562,0.060299,0.071591,1
-1.7172,-0.001024,-0.079907,-0.031848,-0.086346,0.1386,0.034624,-0.10059,0.023796,-0.049244,-1
-0.69449,0.39462,-0.23307,-0.14892,-0.009634,0.020806,0.092406,0.035633,-0.018376,0.012594,-1
-0.43844,0.13049,-0.004648,-0.10764,-0.098459,-0.021571,0.073218,0.026206,0.028211,0.020518,-1
-0.15705,0.4841,-0.87549,-0.002517,-0.030514,-0.011291,-0.031499,-0.001092,0.02348,-0.005128,-1
-0.46591,0.10211,-0.005,-0.076702,-0.063091,-0.03737,0.061686,0.023585,0.000739,-0.011172,1
-0.1071,0.073002,-0.10268,-0.091152,-0.028375,0.022832,0.005071,0.004294,0.011213,-0.005022,-1
-0.72597,0.015926,0.013553,-0.076374,-0.12338,-0.023169,0.01145,-0.006763,-0.009554,0.002138,-1
-0.69186,0.069689,-0.0246,-0.085553,0.01244,0.006325,0.013105,-0.02326,0.015627,-0.029831,-1
-0.35077,1.4859,0.12544,-0.13489,-0.004858,0.011381,-0.032349,-0.016666,0.032483,-0.021819,-1
-0.47945,0.10606,-0.009757,-0.091265,-0.10446,-0.015013,0.033481,0.014619,-0.005173,0.010909,-1
-1.2648,0.38625,-0.16494,-0.12953,0.013812,-0.00135,0.11846,0.021048,-0.025563,-0.027411,-1
-0.59678,0.292,-0.01166,-0.12638,-0.065827,0.041325,-0.042649,-0.027292,0.048895,0.025419,-1
-0.73445,1.5696,-0.043374,-0.15726,-0.14049,0.038983,0.023201,0.009629,-0.001936,-0.00018,1
-0.40553,1.3601,0.18205,-0.033531,-0.18291,-0.055832,-0.000429,-0.017216,0.010502,-0.046279,1
-0.29963,0.26275,-0.27311,-0.18415,-0.055872,0.042243,0.004528,0.004422,0.011379,-0.014148,-1
-0.76705,0.32459,-0.58277,-0.062945,-0.032838,-0.03132,0.0135,-0.020423,0.009589,-0.035848,-1
-0.23327,1.3933,0.090535,-0.074109,-0.032576,-0.005561,0.03368,0.02054,-0.002342,0.009737,-1
-2.0332,0.13859,-0.030776,0.006939,-0.1094,0.15034,0.091849,-0.016414,0.077685,-0.034564,1
-0.55068,0.086024,-0.014442,-0.064764,-0.059739,-0.018378,0.026415,-0.027314,0.01041,-0.002881,-1
-0.091881,0.37401,-0.48406,-0.094167,-0.023671,0.039464,-0.008223,-0.022862,0.019876,-0.020902,-1
-2.3921,0.015913,-0.071434,-0.18974,0.075767,0.010198,0.047013,-0.024558,-0.003537,-0.032418,-1
-0.22737,0.071271,-0.02016,-0.082587,-0.049459,-0.005614,0.025909,-0.00164,0.02952,-0.027754,-1
-0.29413,0.046376,-0.008273,-0.074646,-0.009238,0.010767,0.010446,-0.011261,0.011865,-0.012218,-1
-0.24343,0.11497,-0.067998,-0.19851,-0.037048,0.063108,0.006604,-0.000619,0.011389,-0.007938,-1
-0.25216,0.38166,-0.35027,-0.1429,-0.007534,0.006351,-0.000981,0.07067,0.013845,0.10784,-1
-0.097155,1.4911,-0.042204,-0.13131,-0.040532,0.009288,0.024466,0.021567,-0.003006,0.009359,-1
-0.2939,0.20534,0.001875,-0.093998,-0.026448,0.00603,-0.027893,-0.028842,0.029024,-0.000747,-1
-0.35697,0.054644,-0.007571,-0.068127,-0.036905,0.008462,0.010304,-0.008425,0.007413,-0.013239,-1
-0.83596,1.4227,0.10941,-0.056764,-0.18901,-0.048003,0.062157,0.000118,-0.006725,0.003596,1
-5.1859,0.51525,-0.39092,-0.07923,0.39667,-0.10613,-0.042288,0.13358,0.10979,-0.080036,1
-0.15914,1.4519,0.09233,-0.11495,-0.002716,0.003722,-0.026065,-0.021316,0.018581,-0.033976,-1
-0.58753,0.041034,0.000224,-0.095968,-0.014617,-0.011601,0.017275,-0.028804,0.009475,-0.023188,-1
-0.087914,1.4648,0.001011,-0.20564,-0.020568,0.051092,-0.019935,-0.009804,0.028899,-0.029117,-1
-0.36583,1.5269,0.002133,-0.11369,-0.094084,0.008101,-0.033995,-0.004319,0.005298,-0.01395,-1
-0.7318,0.087087,-0.000852,-0.067024,-0.060784,-0.023636,-0.014876,-0.002203,0.000211,-0.005847,-1
-0.1489,0.36861,-0.45861,-0.10128,-0.024019,0.040753,-0.010418,-0.020978,0.017125,-0.022926,-1
-0.31743,0.35975,-0.016902,-0.073587,0.007877,0.024002,-0.045251,0.015651,0.001123,0.00922,1
-1.8183,0.24941,-0.059359,-0.14646,-0.068333,-0.072464,0.020519,0.024308,0.019777,-0.014571,1
-0.58966,0.38976,-0.2409,-0.14643,-0.005439,0.022482,0.0921,0.037292,-0.01706,0.008048,-1
