@relation T_TCAed_data_dim10_LC_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.52512,-0.29267,-0.044017,-0.10645,0.03618,-0.072137,-0.007954,0.009442,0.018803,0.025779,-1
0.34673,-0.15295,-0.031001,-0.064297,-0.004693,-0.01677,-0.004667,0.02799,0.016872,-0.026177,-1
2.8349,-0.5944,0.17948,-0.017258,-0.0266,-0.070984,-0.2081,0.078521,-0.067616,-0.038209,-1
2.2132,-0.42091,0.38121,-0.29764,0.049435,0.005729,-0.032505,0.065341,-0.024311,-0.030672,-1
1.0098,-0.41222,-0.049513,-0.087318,-0.037479,-0.042996,-0.0372,0.074579,0.003635,-0.040779,-1
1.0887,-0.47505,-0.090151,-0.15211,-0.041793,-0.11149,-0.020577,0.12749,0.023087,0.007211,-1
1.0198,-0.44773,-0.05611,-0.15421,-0.000436,-0.12319,-0.001228,0.066502,0.028834,0.030472,1
0.68521,-0.22888,-0.013364,-0.041222,-0.006065,-0.023564,-0.012557,0.039301,0.000979,-0.020309,-1
0.47722,-0.23251,-0.02885,-0.097543,-0.054434,-0.11,-0.008558,0.023051,-0.00265,0.028647,-1
0.23266,0.06724,-0.10769,-0.18373,0.010742,-0.10269,-0.17584,-0.021179,-0.021549,0.050935,-1
3.0745,-0.76623,-0.12472,-0.14859,0.020917,-0.048595,-0.12511,0.069856,0.009659,-0.011543,-1
0.44791,-0.2051,-0.007288,-0.055213,-0.043157,-0.057628,-0.021934,0.014411,-0.012389,-0.007264,-1
0.81999,-0.39416,-0.070237,-0.24753,-0.028437,0.004523,0.006241,-0.021975,-0.013297,-0.05039,-1
0.82661,-0.25699,0.00423,-0.046633,-0.008606,-0.008744,-0.013821,0.04028,0.007482,-0.020623,-1
1.3256,-0.48279,-0.11563,-0.16742,-0.023936,-0.033432,-0.014392,0.075867,0.005687,0.02979,-1
1.9898,-0.69146,-0.11227,-0.23833,-0.026017,-0.070512,-0.033312,0.092007,-0.000584,-0.015743,1
0.92306,-0.35107,-0.08928,-0.27679,-0.031932,-0.042085,-0.04999,0.079743,0.00587,0.059792,-1
1.3216,-0.52605,-0.047119,-0.11927,-0.017824,-0.093219,-0.01486,0.077974,0.038462,-0.001817,-1
0.45203,-0.20492,-0.031709,-0.091856,-0.039579,-0.086611,0.003743,0.041482,0.002529,0.023469,-1
0.76006,-0.37883,-0.070896,-0.21095,-0.05909,-0.17499,0.02149,0.14921,-0.000695,-0.019988,-1
2.3896,-0.56643,-0.13381,0.086468,-0.006619,-0.011209,-0.048702,0.15903,-0.002778,0.017954,-1
