@relation T_TCAed_data_dim10_LC_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.35921,0.10262,-0.10147,0.063293,-0.058095,-0.024476,-0.038386,-0.024918,0.029834,-0.021248,-1
-0.24833,0.061915,-0.060706,0.030333,-0.022122,-0.010412,-0.003357,-0.005222,0.021701,-0.020555,-1
-2.3045,0.20391,0.10235,0.078261,-0.040569,-0.058543,0.008756,0.058603,0.096909,-0.060683,-1
-1.4962,0.37945,0.092477,0.14597,0.010117,-0.006902,-0.043824,0.097558,0.04349,-0.097013,-1
-0.72535,0.11408,-0.10738,0.054817,-0.059363,-0.031032,0.012911,-0.01754,0.051971,-0.030692,-1
-0.73605,0.15126,-0.15854,0.065579,-0.083462,-0.045088,-0.003332,-0.033315,0.10016,-0.035847,-1
-0.71587,0.1588,-0.15171,0.057189,-0.084907,-0.019828,-0.035989,-0.035083,0.077907,-0.042444,1
-0.49414,0.074227,-0.053169,0.030197,-0.027022,-0.02197,-0.009004,-0.008791,0.027235,-0.019513,-1
-0.29127,0.089546,-0.058255,0.076749,-0.064536,-0.004647,-0.003407,-0.044336,0.056158,0.005999,-1
-0.32891,0.10709,-0.071878,0.065305,-0.033367,0.004354,-0.021877,-0.053023,0.039544,-0.029729,-1
-2.4477,0.2421,-0.21172,0.16097,-0.16338,-0.030121,-0.026472,-0.028351,0.041543,-0.038,-1
-0.30225,0.08524,-0.045235,0.037178,-0.025428,-0.000844,0.003965,-0.032816,0.025061,-0.017928,-1
-0.52747,0.16872,-0.148,0.11123,-0.015033,0.012148,0.00874,-0.018322,0.006753,-0.000598,-1
-0.60222,0.082848,-0.039614,0.03387,-0.026195,-0.022654,-0.001316,0.004023,0.024384,-0.015693,-1
-0.98916,0.14937,-0.19077,0.075553,-0.073516,-0.051981,0.011179,-0.019305,0.06709,-0.025876,-1
-1.4778,0.25395,-0.20195,0.088532,-0.12095,-0.047171,-0.003166,-0.036628,0.072982,-0.042872,1
-0.6605,0.20028,-0.19291,0.10252,-0.068419,-0.00879,-0.001024,-0.012269,0.061131,-0.038942,-1
-0.95142,0.17192,-0.14574,0.065758,-0.080096,-0.049807,-0.000362,-0.030853,0.055173,-0.048548,-1
-0.30128,0.10251,-0.082103,0.033128,-0.043677,-0.006249,0.000324,-0.044096,0.053974,-0.017641,-1
-0.49334,0.18625,-0.17193,0.094651,-0.066042,-0.005523,-0.013882,-0.059918,0.15869,-0.023952,-1
-1.8657,0.038381,-0.13107,0.002781,-0.086401,-0.11484,0.026088,-0.014307,0.068161,-0.039309,-1
-0.62928,0.10547,-0.029412,0.18452,-0.13296,-0.018392,0.000973,-0.043532,0.063746,-0.004687,-1
-0.57822,0.06216,-0.05811,0.025927,-0.030712,-0.028343,-0.018472,-0.019508,0.014926,-0.025913,-1
-0.35945,0.13577,-0.045541,0.044153,-0.025296,0.013639,-0.005612,-0.070145,0.069963,0.022989,-1
-0.76911,0.1214,-0.06289,0.028277,-0.054964,-0.015335,0.008498,-0.04315,0.030486,-0.027062,-1
-0.76901,0.17158,-0.14301,0.071454,-0.078557,-0.038097,-0.005058,-0.045947,0.10395,-0.032139,-1
-0.6215,0.11562,-0.063941,0.11152,-0.085861,-0.020332,0.002354,-0.026908,0.063425,-0.015948,-1
-0.33294,0.13101,-0.050078,0.039844,-0.034809,0.007396,0.00678,-0.072088,0.039963,-0.004235,-1
-0.42107,0.090269,-0.047471,0.043643,-0.022414,0.006813,0.008388,-0.02574,0.025186,-0.019369,-1
-0.50904,0.11836,-0.10601,0.052769,-0.060101,-0.013409,-0.006089,-0.037893,0.036175,-0.023115,1
-0.36681,0.059877,-0.13883,0.025952,-0.042306,-0.048596,-0.42902,-0.12001,0.007688,-0.071108,1
-3.0724,0.034065,-0.077638,0.000256,-0.1071,-0.06469,0.024448,-0.04279,0.021811,-0.046091,1
-0.36404,0.04193,-0.04868,0.091528,-0.070671,-0.011179,0.000047,-0.017793,0.047213,-0.008681,-1
-1.0774,0.088627,-0.13241,0.065081,-0.040656,-0.060971,-0.2643,-0.086401,0.000912,-0.017527,-1
-0.76921,0.24742,-0.051361,0.083106,-0.084578,0.012594,0.000047,-0.06585,0.074856,-0.015383,-1
-0.96469,0.20619,-0.13388,0.082488,-0.075975,-0.030918,-0.003785,-0.049165,0.10404,-0.048411,-1
-1.46,0.1378,-0.043448,0.14172,-0.10661,-0.050581,0.021301,-0.019917,0.039344,-0.003009,1
-1.0841,0.077438,-0.11381,0.051471,-0.032962,-0.054652,0.015516,0.010003,-0.008739,-0.0211,-1
-0.44038,0.23054,-0.14878,0.091372,-0.077188,0.029886,0.006232,-0.028696,0.003113,-0.003454,-1
-0.36831,0.061107,-0.060143,0.029757,-0.026627,-0.016803,0.00059,-0.004203,0.022487,-0.022327,-1
-1.1205,0.21068,-0.11179,0.070133,-0.091532,-0.036472,-0.007022,-0.039145,0.105,-0.036728,-1
-1.0008,0.2068,-0.10727,0.073682,-0.087392,-0.042541,-0.015295,-0.037335,0.10168,-0.037864,-1
-1.2001,0.13688,-0.11709,0.046228,-0.053941,-0.067311,-0.03736,-0.045373,0.00646,-0.012292,-1
-1.1733,0.10709,-0.1582,0.15889,-0.11082,-0.070827,-0.016874,-0.010402,0.050064,-0.02275,-1
-0.29519,0.09082,-0.057238,0.034971,-0.02885,-0.000897,0.000034,-0.028984,0.03365,-0.010153,-1
-0.18999,0.10588,-0.042982,0.038503,-0.024274,0.016365,0.002818,-0.058082,0.030891,0.010257,-1
-0.40334,0.18387,-0.18214,0.10377,-0.049284,0.000161,0.000088,-0.013704,0.035683,-0.030096,-1
-0.51052,0.093526,-0.050397,0.037844,-0.028402,-0.001512,0.001632,-0.033026,0.048136,-0.003952,-1
-1.7097,0.29454,-0.16676,0.07434,-0.13234,-0.023638,-0.035209,-0.034373,0.019779,-0.007737,1
-2.5382,0.19198,-0.22817,0.11645,-0.037012,-0.058696,0.009134,-0.000021,-0.014922,0.039491,1
-1.1516,0.22246,-0.2284,0.14807,-0.043168,-0.024069,0.020466,-0.0072,0.01417,-0.025948,-1
-0.78591,0.20179,-0.15186,0.1193,-0.0171,-0.001099,-0.01096,-0.030186,0.024689,0.012592,-1
-4.8064,-0.11984,-0.1786,0.1506,-0.12325,0.19585,0.068603,0.03555,0.17842,-0.039543,1
-0.41386,0.10454,-0.073363,0.033639,-0.041452,-0.011515,-0.004015,-0.034189,0.064208,-0.002933,-1
-0.64469,0.14216,-0.02039,0.050324,-0.02274,-0.006362,-0.001983,-0.041927,0.052872,0.013782,-1
-0.94228,0.17333,-0.11882,0.056259,-0.059646,-0.051614,0.00645,-0.015733,0.078906,-0.040469,-1
-1.1177,0.13504,-0.15847,0.075828,-0.034911,-0.047073,0.00993,-0.006763,0.008376,-0.002265,-1
-0.43312,0.16909,-0.12089,0.10091,-0.059976,-0.011093,-0.013928,-0.030733,0.088542,0.003579,-1
-0.50626,0.16733,-0.024456,0.10814,-0.061157,0.016079,0.000874,-0.081676,0.062215,-0.003054,1
-1.5798,0.074274,-0.14453,0.024105,-0.068742,-0.124,-0.26791,-0.052474,0.00925,-0.06104,-1
-1.2983,0.067007,-0.091055,0.024351,-0.065464,-0.076919,0.007446,-0.004895,0.056114,-0.024296,-1
-1.7166,0.21205,0.000714,0.015399,-0.085624,-0.068741,-0.025528,-0.087763,0.045492,-0.001289,-1
-0.63362,0.12514,-0.1352,0.062005,-0.058453,-0.036333,-0.006317,-0.022133,0.093359,-0.026536,-1
-0.86537,0.072794,-0.051394,0.032818,-0.036902,-0.041845,0.013946,0.008959,0.037467,-0.021724,-1
-1.2066,0.19871,-0.02042,0.061401,-0.032375,0.008335,0.012965,-0.043894,0.049284,-0.007311,-1
-0.41238,0.107,-0.10989,0.055712,-0.04999,-0.013494,-0.008248,-0.020722,0.072481,-0.028803,-1
-0.59203,0.07486,-0.092593,0.036143,-0.034376,-0.043518,-0.017543,-0.017146,0.061428,-0.009197,-1
-0.2225,0.12117,-0.057954,0.032767,-0.0409,-0.004553,0.003048,-0.045706,0.059934,-0.004075,-1
-0.46268,0.28268,-0.15536,0.033855,-0.16565,0.011354,-0.012269,-0.006572,0.094421,-0.051264,1
-1.0123,0.094391,-0.090124,0.052968,-0.02693,-0.040912,0.010609,-0.007326,0.001495,-0.002006,-1
-0.9277,0.10786,-0.099136,0.032097,-0.053847,-0.049787,0.004167,-0.023141,0.05212,-0.02079,-1
-0.6434,0.09321,-0.099715,0.095305,-0.07876,-0.027317,0.00074,-0.015853,0.05519,-0.02463,-1
-0.56004,0.069315,-0.06771,0.022484,-0.029896,-0.034068,0.001554,-0.002235,0.022406,-0.024691,-1
-0.531,0.09376,-0.10513,0.052268,-0.069447,-0.012864,-0.004096,-0.015861,0.070101,-0.032654,-1
-1.6725,0.18884,-0.16499,0.078369,-0.060296,-0.050896,0.018116,-0.034567,0.015468,-0.004904,1
-0.50382,0.15751,-0.13442,0.08341,-0.039931,-0.024381,-0.009817,-0.024656,0.086367,0.013139,-1
-1.9135,0.25759,-0.069408,0.024808,-0.11968,-0.060286,0.032053,-0.059525,0.0401,-0.063576,-1
-1.3149,0.2762,-0.014236,0.043813,-0.086481,-0.026771,-0.013724,-0.079117,0.022381,-0.025461,1
-0.2595,0.074658,-0.062041,0.078716,-0.036525,0.000916,0.004243,-0.007422,0.004114,-0.009014,-1
-0.27068,0.056536,-0.021678,0.094084,-0.064627,-0.002099,-0.005966,-0.008806,0.026086,-0.014178,1
-0.37717,0.19915,-0.1517,0.088863,-0.078346,-0.007217,-0.007559,-0.053346,0.12281,-0.057795,-1
-0.31659,0.11457,-0.074112,0.035489,-0.042242,-0.000907,0.001051,-0.053576,0.057422,-0.007014,-1
-1.0279,0.075592,-0.13045,0.022688,-0.060667,-0.029236,-0.043251,0.012176,0.051644,-0.039001,-1
-0.49871,0.09617,-0.042644,0.030213,-0.022641,-0.011376,-0.001793,-0.010123,0.029527,-0.013349,1
-1.5043,0.10897,-0.10102,0.031026,-0.060843,-0.079202,-0.002958,-0.027652,0.032721,-0.01214,-1
-0.17054,0.12281,-0.12333,0.054552,-0.060779,-0.005506,-0.035037,-0.038146,0.089782,-0.033713,-1
-0.71093,0.11309,-0.10099,0.068629,-0.064798,-0.034258,0.006828,-0.009632,0.056507,-0.034926,-1
-1.0673,0.068873,-0.094407,0.038619,-0.032928,-0.060766,0.001531,0.010804,0.012703,-0.028202,-1
-0.30648,0.12499,-0.12561,0.072046,-0.03751,-0.006603,-0.007668,-0.015903,0.082996,-0.008929,-1
-0.73948,0.11297,-0.10185,0.053458,-0.051573,-0.031025,0.003759,-0.032371,0.048443,-0.032987,-1
-1.1691,0.046072,-0.098684,-0.00239,-0.056632,-0.068027,-0.009679,-0.001872,0.050092,-0.032212,-1
-0.44839,0.14013,-0.12185,0.071731,-0.044929,-0.013126,-0.000403,-0.048018,0.095718,-0.01204,-1
-0.37787,0.19598,-0.17007,0.094755,-0.067883,0.00611,-0.014333,-0.067772,0.15314,-0.024998,-1
