@relation T_TCAed_data_dim10_LC_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.36237,-0.092498,0.10816,0.051029,0.03513,0.004478,0.031419,0.00997,-0.009659,-0.012744,-1
0.26046,-0.05588,0.066826,0.027955,0.029605,0.001463,-0.001405,0.004189,-0.00784,-0.000647,-1
2.2712,-0.038626,0.080563,0.21358,0.033091,0.077786,-0.024851,0.1016,0.067538,0.02268,-1
1.7395,-0.16872,-0.17432,0.36145,0.094046,0.19163,-0.024657,0.036584,-0.024801,-0.019075,-1
0.78076,-0.076201,0.17532,0.090912,0.037732,0.0073,-0.020498,0.016714,-0.012659,0.005499,-1
0.80244,-0.060465,0.22851,0.098493,0.081838,0.010398,-0.013829,0.018072,-0.030859,0.015339,-1
0.76317,-0.080087,0.1732,0.10788,0.06968,0.006752,0.018475,0.008113,-0.025765,-0.014488,1
0.54816,-0.040212,0.088757,0.067035,0.023454,0.005761,0.002218,0.008928,-0.011784,0.002274,-1
0.3479,-0.017288,0.071829,0.059265,0.038627,-0.030613,0.005489,0.003592,-0.009293,0.00912,-1
0.24289,-0.035216,0.021569,0.011878,0.076659,-0.025811,0.04214,0.10684,0.03135,0.020555,-1
2.4457,-0.19811,0.29307,0.1217,0.060715,0.008288,0.002912,0.014979,0.008717,-0.004827,-1
0.36401,-0.044063,0.078671,0.077549,0.034417,-0.026902,-0.001154,0.035129,-0.019198,-0.004874,-1
0.57328,-0.22597,0.075026,0.070041,0.036913,-0.024283,-0.000412,-0.004987,-0.002331,-0.001859,-1
0.66535,-0.042568,0.076218,0.074103,0.016912,0.015935,-0.008561,0.000238,-0.002288,0.001114,-1
1.0222,-0.13706,0.21162,0.069765,0.049213,0.020162,-0.016283,0.000637,0.00189,0.010832,-1
1.5499,-0.17266,0.24454,0.14084,0.045317,0.009232,-0.014658,0.021193,-0.018544,-0.017221,1
0.68362,-0.16211,0.13043,0.092851,0.10722,0.002463,-0.014891,0.022006,-0.01445,-0.000628,-1
0.99781,-0.10502,0.18992,0.10585,0.03943,0.010814,-0.015791,0.018032,-0.00966,-0.005854,-1
0.32794,-0.032347,0.10044,0.063625,0.050646,-0.013129,0.002013,0.023054,-0.02276,-0.004843,-1
0.49079,-0.032685,0.15698,0.0924,0.14039,-0.018555,0.007351,0.000161,-0.028782,0.041781,-1
1.88,-0.012527,0.35889,0.057988,-0.015469,0.079266,-0.041113,0.016028,-0.001967,0.014335,-1
