@relation T_TCAed_data_dim10_ML_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.0521,-0.12517,0.11213,-0.21679,-0.010415,0.051877,-0.004597,-0.014347,-0.049595,0.010945,-1
-0.39558,-0.18916,0.13965,-0.12489,-0.009275,-0.17516,-0.036628,-0.036559,-0.024632,0.023561,1
-0.28573,-0.04983,0.045606,-0.082603,-0.008865,0.006947,0.005819,-0.001238,-0.037828,0.008042,1
-1.7465,-0.20071,0.17838,-0.13716,0.12683,-0.019867,0.000315,-0.044427,-0.016528,0.041601,-1
-1.8476,-0.2134,0.18493,-0.1733,0.059045,-0.025722,0.024518,-0.011273,0.011061,-0.01388,-1
-0.48385,-0.12541,0.094107,-0.11275,0.088133,-0.11478,0.035355,0.01375,-0.037334,-0.000985,-1
-0.42186,-0.19153,0.15162,-0.2006,0.01679,-0.15556,-0.05665,-0.029899,-0.059967,0.007761,-1
-0.40177,-0.068322,0.05357,-0.15905,-0.034264,0.044846,0.004272,-0.019454,0.003231,0.016129,-1
-0.46643,-0.12814,0.11206,-0.094462,0.071002,-0.12835,-0.016329,0.005272,-0.033162,0.03558,-1
-0.58421,-0.089445,0.080562,-0.026905,0.010586,0.004624,0.003932,-0.016509,-0.065153,0.005213,-1
-0.59085,-0.21258,0.1658,-0.41401,0.013306,-0.081944,0.041759,-0.004542,-0.098441,0.036303,-1
-0.31309,-0.041428,0.03802,-0.067558,0.01858,-0.006257,0.002682,-0.012126,-0.069728,0.008237,-1
-1.0024,-0.17628,0.14233,-0.21707,0.09464,-0.074154,0.062425,0.007627,-0.069739,0.000733,-1
-0.37009,0.075375,-0.054857,-0.45423,-0.10672,0.044838,0.017305,0.020703,-0.007774,-0.019014,-1
-0.33862,-0.12483,0.10997,-0.184,-0.082964,-0.064378,0.009956,-0.034278,-0.16852,-0.035689,1
-0.82435,-0.084017,0.11762,-0.10019,0.041697,0.01347,0.009628,-0.014015,-0.055479,0.018664,-1
-0.50738,-0.12863,0.097164,-0.10058,0.074184,-0.1119,0.02898,0.005188,-0.038607,-0.010525,-1
-1.5102,-0.21912,0.17399,-0.15649,0.092724,-0.062329,0.017167,0.007823,-0.026628,0.008502,-1
-0.16533,-0.027035,0.048205,-0.063872,0.003681,-0.008774,0.012402,-0.001364,-0.056658,0.009475,-1
-0.79563,-0.13006,0.1285,-0.10347,-0.045717,-0.027428,0.011475,-0.009966,-0.10912,-0.052572,-1
-2.0889,-0.13543,0.13959,-0.070846,0.090572,0.076172,0.013582,0.015835,-0.061485,0.018662,-1
-0.61036,-0.12412,0.10151,-0.31722,-0.057771,0.014625,0.017077,-0.004661,-0.088562,0.006882,-1
-1.6894,-0.14629,0.11376,-0.36007,-0.093358,0.19687,-0.008758,0.031656,0.17402,0.052888,-1
-0.5643,-0.067203,0.06233,-0.079077,-0.000067,0.016791,0.009598,-0.008681,-0.043217,-0.001097,-1
-0.65828,-0.18459,0.13993,-0.24684,0.066569,-0.090209,0.057373,0.011611,-0.071549,0.004483,-1
-1.2141,-0.23263,0.21316,-0.099119,0.023021,-0.070636,0.020881,-0.057178,-0.036811,0.004374,-1
-0.98976,-0.25114,0.22072,-0.035632,-0.018251,-0.12658,-0.081319,-0.019348,-0.013066,0.084058,-1
-0.60124,-0.12135,0.10002,-0.1917,-0.008781,0.019426,0.012327,-0.025642,-0.082199,0.019014,-1
-2.4122,-0.1144,0.13418,-0.075793,0.12335,0.12872,-0.010293,0.015776,-0.036829,0.029247,1
-2.2796,-0.31208,0.28218,-0.034393,-0.17442,-0.073197,-0.016181,-0.0093,-0.067849,0.039433,-1
-1.0572,-0.19263,0.16303,-0.075153,0.050387,-0.11082,-0.030322,-0.00912,-0.047299,0.004403,-1
-1.0395,-0.15458,0.12641,-0.12731,0.082234,-0.071942,0.049052,0.006888,-0.0244,-0.005039,-1
-0.6403,-0.16593,0.11969,-0.19055,0.020727,-0.090732,0.023133,0.011254,0.02591,-0.021744,-1
-1.3961,-0.16789,0.12611,-0.14088,0.15697,-0.033515,0.081192,-0.13285,-0.02767,0.016586,-1
-0.89082,-0.15587,0.1367,-0.18546,0.091487,-0.073786,0.004237,-0.002415,-0.026208,0.039317,-1
-1.5463,-0.15158,0.32258,-0.092968,-0.01198,-0.11382,0.080428,-0.010853,-0.028941,-0.015061,-1
-0.66152,-0.17634,0.15048,-0.15756,0.03447,-0.15646,-0.01051,0.011635,-0.030011,0.029097,-1
-0.6767,-0.19014,0.14919,-0.22623,0.038086,-0.10523,0.025169,0.00525,-0.066958,0.007953,-1
-0.88542,-0.15168,0.12394,-0.095484,0.094422,-0.080972,0.061044,0.015042,-0.036048,0.000265,-1
-0.52819,-0.16631,0.12617,-0.22013,0.053702,-0.096629,0.043969,0.004657,-0.07133,0.00135,-1
-0.7215,-0.17752,0.14337,-0.068657,0.03187,-0.13564,-0.033151,-0.029033,-0.04742,-0.014051,-1
-0.16969,-0.011438,0.056785,-0.067522,0.007005,-0.011621,0.012794,-0.002114,-0.058911,0.010011,-1
-1.196,-0.19892,0.18515,-0.2729,-0.081709,0.044189,-0.004908,-0.001696,-0.071396,-0.027338,1
-0.28573,-0.04983,0.045606,-0.082603,-0.008865,0.006947,0.005819,-0.001238,-0.037828,0.008042,1
-1.7831,-0.30779,0.25434,-0.28136,0.034973,-0.099241,-0.011149,-0.013281,-0.099227,-0.06071,-1
-1.7951,-0.19454,0.1681,-0.13175,0.16214,-0.033473,0.039789,0.028455,-0.042265,0.013439,-1
-0.57784,-0.19883,0.15511,-0.14258,-0.007114,-0.19102,-0.049864,-0.024944,-0.069526,0.014038,1
-0.62321,-0.2236,0.13937,-0.73611,-0.11862,0.089875,-0.011882,0.022988,0.18061,0.019718,-1
-0.64469,-0.17646,0.13062,-0.14491,0.067437,-0.13225,0.015767,0.001647,-0.028288,0.008013,-1
-0.97017,-0.1279,0.11596,-0.093409,0.032009,0.014322,-0.019075,-0.006134,-0.06523,0.028372,-1
-0.16635,-0.023232,0.045531,-0.064094,0.007782,-0.010287,0.011752,-0.001996,-0.057911,0.008951,-1
-0.65887,-0.15391,0.1219,-0.086856,0.042803,-0.092456,0.035501,0.001157,-0.045144,-0.003871,1
-0.98262,-0.16195,0.12694,-0.1445,0.087214,-0.046585,0.056958,0.011049,-0.016857,0.000737,-1
-0.19126,0.38962,0.53065,-0.11614,0.029957,-0.03417,0.018057,-0.005738,-0.044002,0.007282,1
-0.89079,-0.20012,0.15129,-0.17178,0.1032,-0.13304,-0.014864,-0.012927,-0.043629,0.059299,-1
-0.92117,-0.065729,0.074485,-0.048888,0.053403,0.027326,0.016443,0.003106,-0.062197,0.015947,-1
-0.85421,-0.15293,0.11904,-0.13183,0.095092,-0.062102,0.037869,-0.003747,-0.030289,0.008866,-1
-0.53197,-0.21774,0.16548,-0.3738,0.007493,-0.10502,0.009552,-0.002264,-0.078309,0.004397,-1
-1.1049,-0.14556,0.11241,-0.15605,0.10525,-0.047029,0.058537,0.0186,-0.014569,0.00882,-1
-1.8161,-0.23756,0.20671,-0.35495,0.056735,-0.015215,0.009408,0.026496,-0.05109,0.039634,-1
-0.68095,-0.072636,0.073479,-0.048868,0.038876,0.007884,0.002882,0.003028,-0.05856,0.013972,-1
-0.99824,-0.27572,0.22482,-0.15032,-0.038494,-0.1608,-0.050399,-0.023567,-0.06481,-0.011204,-1
-3.7227,-0.084796,0.12496,-0.13568,0.044945,0.070928,-0.018903,0.020472,-0.077943,-0.021112,-1
-0.96992,-0.21914,0.17539,-0.061486,0.029926,-0.14238,-0.020126,-0.018152,-0.042571,-0.01212,-1
-1.0128,-0.19366,0.15786,-0.2427,0.062144,-0.061022,0.023248,0.015842,-0.060591,0.026522,-1
-0.44918,-0.15816,0.12216,-0.15347,0.017287,-0.15026,-0.014067,-0.021438,-0.038071,-0.003246,-1
-1.7368,-0.2036,0.17655,-0.22507,0.10896,-0.04947,0.039043,0.023314,-0.062702,0.007522,-1
-0.44594,-0.057296,0.058982,-0.044905,0.002355,0.00007,0.005599,0.001121,-0.054474,-0.003354,1
