@relation T_TCAed_data_dim10_ML_for_JDT_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.43737,-0.086907,0.12407,-0.04762,0.017333,0.034966,0.026662,0.021548,-0.00955,-0.015354,-1
-0.17738,-0.094387,0.077142,-0.20294,-0.097911,-0.001368,0.014776,-0.004255,0.019888,-0.021444,1
-0.13378,-0.041599,0.049516,-0.030921,0.006012,0.011807,0.022466,0.019924,-0.003363,-0.003758,1
-0.74732,-0.070301,0.08401,-0.15563,0.004462,-0.002885,0.01793,-0.00899,-0.01487,-0.010852,-1
-0.70319,-0.093066,0.09548,-0.13354,0.014368,-0.000118,0.022811,-0.003484,0.011362,0.029533,-1
-0.2348,-0.047367,0.05861,-0.14539,-0.009059,-0.04102,0.029871,0.0115,-0.015755,0.004168,-1
-0.19114,-0.10643,0.12379,-0.19356,-0.076912,0.014337,0.028618,0.018167,0.018275,-0.022594,-1
-0.14004,-0.033428,0.088083,-0.007038,0.006706,0.009803,0.011708,0.006181,-0.001042,0.004085,-1
-0.20076,-0.038917,0.064736,-0.17047,-0.041284,-0.020611,0.01676,0.007072,0.008923,-0.016598,-1
-0.24276,-0.019768,0.009872,-0.040879,0.004005,0.029426,0.018219,0.025122,0.012712,-0.00127,-1
-0.28317,-0.1079,0.23041,-0.17887,0.002021,-0.028425,0.078254,0.050737,-0.015042,-0.00495,-1
-0.14951,-0.035579,0.031857,-0.048346,0.011513,0.012268,0.024355,0.02802,-0.003668,-0.019919,-1
-0.45352,-0.079932,0.10878,-0.16772,0.019737,-0.031179,0.057119,0.028733,-0.027935,0.013145,-1
-0.23373,-0.14893,0.23339,0.039474,0.023508,0.011192,0.034048,0.022328,-0.01098,-0.001778,-1
-0.19983,-0.10875,0.089771,-0.11418,-0.031404,0.064613,0.07355,0.080704,-0.004811,0.004468,1
-0.33981,-0.035323,0.041395,-0.052719,0.020147,0.014776,0.031796,0.019626,-0.006464,-0.012065,-1
-0.23107,-0.044219,0.056354,-0.14053,-0.016119,-0.031207,0.027845,0.010362,-0.009998,0.006408,-1
-0.62458,-0.080365,0.085669,-0.15481,-0.000699,-0.017109,0.020234,0.002007,0.002119,-0.004025,-1
-0.094039,-0.034006,0.032634,-0.036283,0.009996,0.008491,0.031483,0.024707,-0.003652,-0.005822,-1
-0.35911,-0.098139,0.048422,-0.091241,-0.020808,0.057474,0.053156,0.059116,-0.012849,0.02093,-1
-0.85832,-0.056726,0.02593,-0.071829,0.065818,0.023535,0.031023,0.025626,-0.002292,-0.017659,-1
-0.27866,-0.12509,0.16836,-0.060427,-0.000928,0.025807,0.057202,0.052577,-0.009434,-0.006997,-1
-0.56412,-0.084283,0.23221,0.09501,0.022939,0.005814,-0.047314,-0.055217,0.01973,0.012505,-1
-0.24843,-0.049489,0.043862,-0.040901,0.008363,0.01944,0.024319,0.022089,-0.007192,-0.001549,-1
-0.29229,-0.056025,0.12222,-0.15859,0.006369,-0.034061,0.051052,0.029814,-0.016301,0.007297,-1
-0.56067,-0.10412,0.052028,-0.12894,-0.012535,-0.0061,0.01769,-0.003452,0.007086,-0.003444,-1
-0.4276,-0.02138,0.072903,-0.15076,-0.12427,0.019173,0.018841,-0.018285,0.023684,-0.052277,-1
-0.25256,-0.058506,0.11058,-0.060339,0.013577,0.022014,0.037622,0.040351,-0.004349,-0.017444,-1
-1.0369,-0.083675,0.047187,-0.070813,0.083312,0.023367,0.031399,0.018211,-0.008364,-0.029334,1
-0.9679,-0.11924,0.051878,-0.098746,-0.083387,0.079785,0.002516,0.03214,0.069842,-0.000921,-1
-0.45251,-0.055983,0.06235,-0.18065,-0.032989,-0.003583,0.021624,0.011148,0.026276,-0.020816,-1
-0.42535,-0.048145,0.063164,-0.13725,0.002603,-0.035558,0.034921,0.007258,-0.022854,0.017326,-1
-0.24927,-0.081539,0.10263,-0.12484,-0.023031,-0.024018,0.011997,0.000065,0.001592,0.016743,-1
-0.64612,-0.084702,0.093935,-0.16874,0.044073,-0.012241,0.027203,-0.008983,-0.066406,0.040381,-1
-0.4484,-0.054351,0.11205,-0.14585,-0.002211,-0.01826,0.026043,-0.002587,-0.018137,-0.01882,-1
-0.61752,-0.088193,0.05141,-0.1427,-0.051494,0.003339,0.04078,0.014645,0.011155,0.052412,-1
-0.2913,-0.0894,0.077331,-0.1597,-0.041966,-0.030219,0.019847,0.00077,0.00934,-0.019647,-1
-0.28847,-0.046217,0.12615,-0.1683,-0.009556,-0.02489,0.04594,0.026569,0.000919,-0.003371,-1
-0.38302,-0.033325,0.058702,-0.14176,0.013387,-0.046317,0.038087,0.013284,-0.019215,0.010944,-1
