@relation T_TCAed_data_dim10_ML_for_LC_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.91555,-0.14747,0.16309,0.099261,0.031414,0.024295,-0.000051,-0.004935,0.025691,0.02238,-1
-0.24776,-0.19573,0.061096,-0.008063,0.15073,-0.095159,0.007001,-0.059799,0.008922,0.054539,1
-0.25617,-0.061721,0.049776,0.038803,0.01687,0.00886,0.002211,-0.004499,0.024158,0.013659,1
-1.4484,-0.11178,0.14735,-0.015155,0.15798,0.048572,0.053506,0.000287,0.009226,0.035202,-1
-1.4678,-0.1462,0.16391,0.021851,0.1272,0.012786,0.024301,0.003024,0.012415,-0.007402,-1
-0.41285,-0.11636,0.073312,-0.03626,0.15299,-0.020294,0.011131,0.022342,0.046653,0.000054,-1
-0.35981,-0.22842,0.12081,0.019373,0.16227,-0.076453,0.013276,-0.047778,0.034487,0.054148,-1
-0.32969,-0.099588,0.12461,0.079707,0.001617,0.019985,0.017719,-0.004572,-0.005127,0.001602,-1
-0.37544,-0.12887,0.055351,-0.032354,0.15253,-0.037603,0.000308,-0.005528,0.019825,0.02911,-1
-0.48003,-0.059896,0.021489,0.004286,0.036956,0.031677,0.001052,-0.038071,0.045543,0.023227,-1
-0.50239,-0.29769,0.28092,0.10589,0.14704,-0.018707,0.029613,0.019783,0.075949,0.017015,-1
-0.28746,-0.048598,0.044197,0.016453,0.032772,0.010455,0.001774,-0.01326,0.046012,0.025968,-1
-0.86199,-0.16998,0.16122,0.010385,0.16647,0.018759,0.027596,0.021747,0.082568,0.002047,-1
-0.4614,-0.20037,0.30462,0.21284,-0.039715,-0.037952,-0.031204,0.045713,-0.032379,0.005435,-1
-0.30284,-0.20073,0.075353,0.080952,0.047587,-0.026009,0.001847,-0.10205,0.10986,0.006637,1
-0.69001,-0.068991,0.077689,0.040207,0.068145,0.040707,0.00778,-0.011623,0.043427,0.023951,-1
-0.43873,-0.12714,0.060357,-0.032933,0.14521,-0.019395,0.011481,0.008271,0.045185,-0.000275,-1
-1.2763,-0.17686,0.12883,-0.007552,0.16716,0.01847,0.000123,0.007033,0.036902,0.01308,-1
-0.14963,-0.041741,0.026491,0.032436,0.028951,0.006799,0.003866,-0.004911,0.041201,0.017698,-1
-0.68702,-0.14514,0.043244,0.055652,0.042107,-0.003688,-0.004989,-0.072722,0.085152,-0.008629,-1
-1.7487,-0.050843,0.091209,0.013328,0.064226,0.099128,-0.019278,-0.002407,0.04825,0.0229,-1
-0.56542,-0.20799,0.21705,0.14337,0.027714,-0.004019,0.003461,-0.013318,0.054308,0.009077,-1
-1.51,-0.24503,0.2809,0.23768,-0.050108,0.038408,-0.014377,0.091702,-0.14715,-0.0171,-1
-0.48525,-0.061746,0.061438,0.033295,0.024932,0.023648,0.006061,-0.016969,0.027125,0.007115,-1
-0.54693,-0.19759,0.17285,0.023386,0.16001,-0.003168,0.015863,0.017777,0.094357,0.001041,-1
-1.0339,-0.19897,0.051209,-0.004773,0.1418,0.010728,0.073754,-0.029654,0.033148,0.025761,-1
-0.91825,-0.22035,-0.037147,0.013235,0.13366,-0.067108,0.025385,-0.036055,-0.00689,0.096844,-1
-0.51817,-0.14353,0.13725,0.074271,0.041257,0.022063,0.011333,-0.016957,0.054246,0.035472,-1
-2.0614,0.001971,0.13847,0.019803,0.060355,0.12477,-0.021364,0.012059,0.008954,0.041687,1
-1.7962,-0.32431,-0.11854,0.084007,0.048329,-0.055816,0.010817,-0.059398,0.046717,0.06643,-1
-0.85321,-0.17128,0.04642,-0.039993,0.16352,-0.008708,-0.008312,-0.046354,0.016674,0.031802,-1
-0.8522,-0.13233,0.093462,-0.018701,0.13972,0.006372,0.028522,0.020795,0.052288,-0.017315,-1
-0.52386,-0.18508,0.13258,0.018785,0.12193,-0.045422,0.016054,0.026826,0.00915,-0.024749,-1
-1.2057,-0.098759,0.13815,-0.026205,0.15485,0.051906,0.14161,0.008467,0.035941,0.017853,-1
-0.74024,-0.12986,0.13937,0.004651,0.14812,-0.017622,0.013591,0.035576,0.025469,0.024252,-1
-1.2336,-0.23565,-0.016898,0.086026,0.17985,-0.006353,0.032104,-0.030407,0.061609,-0.043653,-1
-0.52717,-0.20022,0.073761,-0.005767,0.16597,-0.055007,0.003167,-0.005574,0.039442,0.023829,-1
-0.53201,-0.21747,0.14886,0.017965,0.15887,-0.016284,0.005896,-0.009192,0.065369,0.01158,-1
-0.71738,-0.11402,0.068012,-0.035313,0.14555,0.011687,0.016956,0.03552,0.05833,-0.003903,-1
-0.44117,-0.19658,0.14142,0.015729,0.14927,-0.014032,0.013667,0.014631,0.072524,0.006828,-1
-0.59764,-0.16479,0.030078,-0.027844,0.14929,-0.045373,0.008586,-0.056982,0.024593,0.033917,-1
-0.14936,-0.030434,0.033075,0.039246,0.039887,0.009367,0.003975,-0.008402,0.042597,0.016521,-1
