@relation T_TCAed_data_dim10_ML_for_PDE_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.88976,-0.18724,-0.089886,0.092098,0.012895,0.04477,0.013287,0.00896,0.002309,-0.013752,-1
-0.25529,-0.010535,-0.10897,0.078818,-0.14429,-0.016031,0.066804,0.018324,-0.009695,-0.016877,1
-0.24854,-0.049764,-0.034457,0.034659,-0.003033,0.025208,0.004273,-0.000178,0.010791,-0.013818,1
-1.408,-0.05728,-0.14779,0.20798,-0.027858,-0.036764,0.008046,0.02881,-0.009867,-0.012716,-1
-1.3917,-0.11684,-0.15791,0.18312,-0.046488,-0.017203,-0.008462,0.010716,-0.010151,0.003514,-1
-0.36573,0.018959,-0.081631,0.1318,-0.096115,-0.017537,-0.012573,-0.008712,0.02207,0.010886,-1
-0.30847,-0.085541,-0.12923,0.1304,-0.12586,0.008592,0.072848,0.007419,0.004801,0.005381,-1
-0.31693,-0.16382,-0.04281,0.036814,0.004182,0.026744,-0.010011,0.011754,-0.014503,-0.009859,-1
-0.3635,0.020798,-0.10701,0.12329,-0.10249,-0.026358,0.026727,-0.007418,0.01053,0.009016,-1
-0.47576,0.029697,-0.071606,0.050376,0.019124,0.021395,0.022053,0.002737,0.013472,0.002047,-1
-0.44883,-0.23032,-0.1314,0.19742,-0.11393,0.0535,-0.008237,-0.004547,0.056934,-0.000326,-1
-0.27076,0.001518,-0.027666,0.05806,-0.005189,0.03711,0.018706,0.0044,0.016429,-0.001956,-1
-0.78225,-0.054409,-0.10743,0.18064,-0.0789,0.010374,-0.027358,-0.002541,0.032829,-0.003436,-1
-0.32496,-0.47918,0.14129,0.035335,-0.035214,0.070136,-0.03243,-0.032512,0.031921,-0.025313,-1
-0.29793,-0.012993,-0.10906,0.044258,-0.059678,0.11425,0.049946,0.004251,0.05165,0.003101,1
-0.66653,-0.018144,-0.067825,0.090519,0.017,0.023358,-0.00145,0.001149,0.004809,0.010295,-1
-0.38032,0.017248,-0.093775,0.12114,-0.095553,-0.013633,-0.004382,-0.004374,0.022224,0.006163,-1
-1.2052,-0.054686,-0.15484,0.17234,-0.063028,-0.030987,-0.000018,-0.001275,0.002432,-0.00659,-1
-0.14736,-0.000859,-0.022665,0.037504,-0.00743,0.032318,0.003735,-0.002661,0.017842,-0.009148,-1
-0.66722,0.010826,-0.10756,0.043524,-0.019429,0.065169,0.024121,-0.004748,0.035431,0.004632,-1
-1.7254,-0.004858,-0.086026,0.13349,0.066882,0.002427,-0.009977,-0.014102,0.005943,-0.006532,-1
-0.51701,-0.23984,-0.080015,0.085421,-0.028339,0.089289,0.00612,-0.00483,0.025064,-0.010966,-1
-1.438,-0.60864,-0.10289,0.029564,0.034186,-0.011594,-0.066628,0.006768,-0.090879,-0.046898,-1
-0.46686,-0.041912,-0.05013,0.046373,0.007111,0.023613,0.00524,0.0042,0.011225,-0.009348,-1
-0.48052,-0.070985,-0.10426,0.16869,-0.095159,0.025505,-0.02376,-0.009006,0.02263,-0.00009,-1
-1.0146,-0.020063,-0.20209,0.11184,-0.066216,-0.01813,0.027032,0.041212,0.010041,-0.023704,-1
-0.80591,0.019614,-0.23072,0.052953,-0.10344,-0.038979,0.046348,0.002254,-0.015712,-0.06386,-1
-0.49034,-0.11508,-0.082215,0.093079,-0.004851,0.065097,0.016227,0.009939,0.01353,-0.014063,-1
-2.0139,-0.069842,-0.059666,0.16226,0.10901,-0.024997,0.004682,-0.005381,0.000726,-0.028489,1
-1.8238,0.025728,-0.30528,-0.039924,-0.062405,0.013103,0.046046,0.0047,0.003793,-0.059174,-1
-0.82672,0.029147,-0.17463,0.13079,-0.08537,-0.032983,0.055344,-0.002235,0.01302,-0.007719,-1
-0.79536,0.006161,-0.11349,0.13915,-0.070149,-0.022013,-0.035231,-0.00272,0.017232,0.003178,-1
-0.45052,-0.11552,-0.11704,0.11647,-0.10426,-0.006046,-0.020134,-0.004368,-0.006719,0.026456,-1
-1.136,-0.025549,-0.10602,0.19823,-0.043151,-0.015763,-0.024796,0.10235,0.035276,-0.005281,-1
-0.73841,-0.068611,-0.11683,0.16425,-0.069867,-0.027464,0.006013,0.000611,0.015965,0.001094,-1
-1.215,0.017852,-0.26131,0.059049,-0.10833,0.005459,-0.025639,0.011367,0.020904,-0.008486,-1
-0.52494,-0.014356,-0.13346,0.11702,-0.122,-0.021961,0.021108,-0.008352,0.002908,0.008083,-1
