@relation T_TCAed_data_dim10_PDE_for_EQ_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
1.1599,0.11502,-0.39144,-0.14681,-0.051005,0.074666,-0.049059,0.020403,-0.033289,0.028845,-1
1.0139,0.3439,-0.2545,-0.12501,-0.10438,0.000847,0.009362,0.003106,-0.032246,0.039088,-1
2.016,0.070187,-0.3811,0.036671,-0.1131,0.057239,-0.093422,0.01787,-0.017809,0.000921,-1
1.4244,0.002755,-0.27736,0.051753,-0.064323,0.060996,-0.11322,0.040348,-0.006977,-0.025624,1
2.7361,0.060517,-0.57956,-0.099862,0.070281,0.047756,-0.026642,0.067521,0.016139,0.011806,-1
3.0086,0.056617,-0.47731,-0.011472,-0.033164,0.031789,-0.038634,0.05841,-0.015145,-0.016662,1
1.6345,0.005544,-0.44981,-0.00245,-0.025262,0.036098,-0.07115,-0.012222,-0.019043,-0.008587,1
0.55991,0.033462,-0.1944,-0.10069,-0.055157,0.017097,-0.024109,0.020722,-0.023773,0.014349,-1
1.2434,0.17839,-0.26067,-0.01605,-0.089809,0.014429,-0.004666,0.021785,-0.012607,0.011293,-1
0.51549,0.00373,-0.16912,-0.050183,-0.024469,0.011444,-0.011572,0.008955,-0.015286,0.007957,-1
0.36721,0.038691,-0.11956,-0.051056,-0.035947,0.009883,-0.01122,0.011264,-0.006858,0.002794,-1
0.44844,0.025052,-0.15208,-0.077818,-0.074419,0.030598,-0.048892,0.000186,-0.016855,0.016762,1
0.42749,0.012846,-0.12413,-0.070731,-0.056244,0.031838,-0.042218,0.003971,-0.020603,0.030242,-1
3.1465,0.57361,-0.51859,-0.19032,-0.048913,0.046912,-0.04494,-0.007687,-0.04463,0.022375,-1
2.0756,0.11796,-0.39279,-0.015291,-0.13958,0.01981,-0.025045,0.044221,-0.028625,-0.006647,1
1.7888,-0.018346,-0.44747,-0.022434,0.008821,0.036171,-0.044201,0.034388,-0.016207,0.022161,-1
0.33808,0.24915,-0.12501,-0.10283,-0.084459,0.026081,-0.031034,0.014034,-0.02217,0.02205,-1
0.35734,0.11617,-0.13094,-0.096402,-0.05894,0.015554,-0.024283,0.016389,-0.003999,0.008269,1
0.97451,0.04661,-0.34312,-0.022443,0.012613,0.073086,-0.10576,0.023356,0.06413,0.040216,-1
3.8254,0.16017,-0.54266,-0.092184,0.044074,0.042125,-0.072793,0.028781,-0.030711,0.048025,1
0.97749,0.17707,-0.24038,-0.077005,-0.081025,0.021894,-0.015908,-0.020022,0.003876,-0.000373,1
1.4845,0.041912,-0.35309,-0.002497,-0.034197,0.038834,-0.027169,-0.042614,0.00233,0.011016,-1
1.2931,0.15106,-0.39056,-0.12926,-0.069447,0.041971,-0.052087,0.03966,-0.021627,0.005464,-1
1.2895,0.11367,-0.36012,-0.088436,-0.040052,0.032838,-0.030417,-0.00532,-0.002057,0.01492,-1
0.70526,0.10585,-0.29198,-0.25796,-0.12848,0.044793,-0.044541,0.036947,0.000326,0.099292,-1
0.21734,0.083692,-0.1025,-0.1291,0.012914,-0.00318,-0.013927,0.023146,0.12515,0.14061,-1
1.3428,-0.00615,-0.27642,0.008225,-0.051416,0.01399,-0.022382,0.052318,-0.026949,-0.007166,-1
4.0513,0.46704,-0.34098,-0.071081,-0.21909,0.016754,-0.008214,0.049015,-0.028741,0.003166,-1
0.414,-0.00898,-0.13613,-0.034294,-0.036074,0.032566,-0.04602,0.023943,-0.012405,-0.00293,-1
0.87601,0.030069,-0.26604,-0.018656,-0.031802,0.061018,-0.10517,0.021338,-0.008703,-0.027278,-1
0.9174,0.047441,-0.29592,-0.079857,-0.00539,0.014666,-0.021899,0.022843,-0.004925,-0.00672,-1
0.47546,0.024451,-0.065235,0.01926,-0.074372,0.022966,-0.044183,0.009757,-0.010584,0.009172,-1
3.1147,0.21701,-0.44492,0.024141,0.012684,0.045806,-0.030366,0.008291,0.021859,-0.012432,-1
0.53764,-0.00272,-0.13733,-0.032007,-0.037195,0.006552,-0.022276,0.035059,-0.01595,0.00039,1
1.0964,0.015361,-0.30305,-0.048416,-0.013764,0.010262,-0.008576,0.012695,-0.016772,0.007506,-1
0.89508,0.033601,-0.25242,-0.061068,-0.069704,0.053877,-0.086514,-0.013595,-0.011118,-0.01078,-1
3.4694,0.006555,-0.47482,-0.12717,0.081527,0.013644,0.011092,0.027166,0.084429,0.07516,-1
1.9198,0.064062,-0.38378,0.027027,-0.067939,0.009016,0.005278,0.11609,-0.034595,-0.007105,-1
0.83976,0.005949,-0.26344,-0.063357,-0.070437,0.036087,-0.038848,-0.016076,-0.022974,-0.002501,-1
1.8608,0.081065,-0.39808,-0.038362,-0.026199,0.019769,-0.038986,0.066305,-0.010238,-0.016913,1
0.19555,0.07459,-0.090809,-0.12341,-0.091805,0.01237,-0.00408,-0.009672,-0.002906,-0.00899,-1
0.22005,0.041854,-0.10542,-0.057781,-0.039653,0.068037,-0.019147,0.014622,0.000691,-0.0022,1
