@relation T_TCAed_data_dim10_PDE_for_JDT_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.50719,0.11051,0.031974,-0.15445,-0.035707,0.022822,0.000317,0.020133,0.024124,0.024266,-1
-0.41819,0.1328,0.16203,-0.15054,-0.039957,0.040425,-0.010661,0.008246,-0.005968,0.007052,-1
-0.80611,0.16346,0.007016,-0.14978,-0.13445,-0.064096,0.003515,-0.013251,0.028863,0.029421,-1
-0.56892,0.096149,-0.030566,-0.10665,-0.11081,-0.043841,0.009049,-0.009211,0.037366,0.038916,1
-1.0535,0.1048,-0.022815,-0.083905,-0.001084,-0.018475,0.004209,0.053701,0.075815,-0.01054,-1
-1.1051,0.14528,0.001195,-0.10515,-0.040181,-0.038093,0.015515,0.006935,0.018896,0.028606,1
-0.71979,0.16853,-0.053797,-0.10668,-0.075319,-0.009406,-0.024734,0.001267,0.048368,0.037134,1
-0.24349,0.068595,0.011194,-0.112,-0.026572,0.027512,0.005933,0.006968,0.010179,0.015866,-1
-0.4162,0.092819,0.080208,-0.09041,-0.047729,0.001584,-0.001976,-0.002129,0.003726,0.005703,-1
-0.20423,0.027755,-0.001814,-0.065698,-0.01259,0.011356,0.008193,0.002477,0.004218,0.009426,-1
-0.14632,0.032573,0.012677,-0.058748,-0.015376,0.013004,0.003635,0.00104,0.004714,0.004274,-1
-0.23087,0.070848,0.00766,-0.11641,-0.056571,0.008493,0.002456,0.000993,0.010131,0.013536,1
-0.1767,0.045847,-0.006132,-0.088481,-0.03275,0.010686,-0.008274,0.015382,0.009718,0.007758,-1
-1.2812,0.2998,0.2168,-0.22684,-0.070357,0.008756,0.00337,0.016544,0.011788,0.040959,-1
-0.80415,0.13459,0.039457,-0.15815,-0.061089,-0.012617,-0.017682,-0.013611,0.010117,0.017921,1
-0.68744,0.1036,-0.031809,-0.08906,-0.033714,-0.02161,0.028642,0.01868,0.024463,0.022396,-1
-0.1891,0.15106,0.12441,-0.12457,-0.044556,0.026598,-0.001471,-0.000224,0.014426,0.008353,-1
-0.16993,0.069289,0.063174,-0.10193,-0.024366,0.02611,0.005899,0.003581,0.014359,0.004524,1
-0.44809,0.087329,0.004027,-0.1183,-0.061943,-0.049159,0.023326,0.057502,0.084368,-0.029745,-1
-1.3637,0.009074,0.010769,-0.13894,0.066416,-0.039796,0.00577,-0.014423,0.009635,0.04408,1
-0.37826,0.12126,0.067465,-0.11243,-0.041088,0.000013,-0.003785,-0.012281,0.0053,-0.005208,1
-0.53275,0.10818,-0.016669,-0.080665,-0.054106,-0.049086,-0.013899,-0.013244,0.004635,0.001787,-1
-0.57948,0.13535,0.062224,-0.17513,-0.065681,0.017242,0.020614,0.020082,0.024771,0.039786,-1
-0.4959,0.10189,0.021041,-0.12479,-0.053773,-0.003925,0.001779,0.002975,0.015764,0.008679,-1
-0.3556,0.15054,0.045682,-0.26053,-0.053372,0.067651,0.002393,0.083697,0.045031,-0.039719,-1
-0.12359,0.11904,0.030075,-0.11866,-0.016294,0.004228,0.006885,0.14409,0.058951,-0.13381,-1
-0.47816,0.016038,-0.004579,-0.083986,-0.029151,0.001431,0.026111,-0.001339,0.00968,0.023678,-1
-1.6175,0.30011,0.21864,-0.22406,-0.097889,-0.032869,-0.02675,-0.014457,-0.025013,0.012502,-1
-0.17825,0.049147,-0.00816,-0.078649,-0.039756,0.002772,0.011816,0.001346,0.022822,0.021693,-1
-0.38972,0.063891,0.009579,-0.11157,-0.094179,-0.039364,0.025158,0.002345,0.038841,0.042513,-1
-0.35075,0.047776,0.005404,-0.082046,-0.010756,0.009339,0.016748,0.006785,0.014491,0.01539,-1
-0.21935,0.05414,0.004424,-0.059146,-0.072197,-0.010996,0.000936,-0.004523,0.007054,0.011068,-1
-1.2559,0.093262,0.082177,-0.092893,-0.056712,-0.080895,0.005725,0.027072,0.031629,0.024807,-1
-0.19685,0.025396,0.005774,-0.062167,-0.01967,0.007479,0.01062,0.004977,0.015064,0.011906,1
-0.4246,0.024885,-0.002475,-0.082143,-0.011828,0.008902,0.017563,0.008344,0.005974,0.016094,-1
-0.37004,0.081469,0.003708,-0.13945,-0.064406,-0.00871,0.005919,-0.011837,0.027512,0.023849,-1
-1.3626,0.12258,-0.048736,-0.13007,0.027465,-0.024052,0.011427,0.074795,0.050935,-0.077305,-1
-0.6611,0.061164,0.027555,-0.075555,-0.020076,-0.004383,0.021849,0.005844,0.017669,0.024608,-1
-0.34913,0.066395,-0.004083,-0.12748,-0.054954,0.00936,0.004301,-0.021486,0.009075,0.013043,-1
-0.68449,0.059784,0.016421,-0.10616,-0.022064,-0.009607,0.023783,0.016805,0.017144,0.027252,1
-0.10119,0.061855,0.038013,-0.10453,-0.013648,0.03771,-0.001126,-0.015474,0.000064,-0.009231,-1
-0.11199,0.048349,0.023684,-0.079949,-0.03223,0.00379,0.01827,-0.006013,0.040223,0.012606,1
-0.62798,0.055775,-0.005993,-0.10972,-0.038698,-0.032717,0.021238,0.007373,0.047797,0.031471,-1
-0.66574,0.20026,0.18603,-0.19591,-0.058459,0.015409,0.005438,0.017153,0.022478,0.020609,-1
-0.30296,0.056355,0.052315,-0.12942,-0.041024,-0.006332,-0.011658,-0.042792,0.018101,-0.014557,-1
-0.68353,0.10764,0.074966,-0.058615,-0.041126,-0.049336,-0.00183,0.034105,0.041886,-0.034031,-1
-0.28652,0.3396,0.77921,-0.21819,-0.088477,0.056565,-0.008872,0.007564,0.034801,0.012355,-1
-0.16556,0.05018,-0.002695,-0.072077,-0.036961,0.008045,0.012604,0.005977,0.017148,0.011555,-1
-0.74765,0.14213,0.025587,-0.18189,-0.075332,-0.004735,0.007921,0.008015,0.017171,0.034734,1
-0.58092,0.087232,-0.007705,-0.07104,-0.017216,-0.019707,0.002731,0.015577,0.004367,0.02253,-1
-0.39474,0.086676,0.060029,-0.1227,-0.027503,0.009176,0.012319,0.002296,0.015294,0.011366,-1
-0.38289,0.14583,0.10244,-0.17948,-0.089377,-0.009932,0.004429,-0.003352,0.043025,0.029477,-1
-0.69791,0.080576,-0.03526,-0.096315,-0.034076,-0.006614,0.013055,0.006127,0.014125,0.030602,-1
-0.51804,0.050171,-0.01068,-0.061843,-0.014091,-0.003859,-0.003009,0.007467,-0.00737,0.013416,1
-0.46385,0.12846,0.049405,-0.14126,-0.067946,-0.008078,0.007979,-0.011841,0.047598,0.029086,-1
-1.332,0.31252,0.16225,-0.19611,-0.02461,0.007287,0.000393,0.034995,0.024848,0.043088,-1
-0.33501,0.171,0.11009,-0.19085,-0.05227,0.045144,0.005615,0.010662,0.026881,0.015073,-1
-0.45848,0.08717,0.007948,-0.15626,-0.03631,0.023677,0.010494,0.016926,0.017734,0.025169,-1
-0.49032,0.21348,0.24561,-0.18721,-0.025382,0.060895,-0.001775,0.011441,0.008539,0.019188,-1
-0.37038,0.067666,-0.024016,-0.075868,-0.036345,-0.008834,0.012297,-0.001868,0.006479,0.017608,1
-1.8205,0.10995,0.027875,-0.23555,-0.024022,-0.000714,0.049016,0.042882,0.009202,0.040333,-1
