@relation T_TCAed_data_dim10_PDE_for_LC_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.94665,0.063417,0.20261,-0.11038,0.061199,-0.014788,0.040974,0.062827,0.046101,-0.010319,-1
0.85423,0.28451,0.14248,-0.10894,0.10015,-0.034524,0.007392,-0.001727,0.010336,-0.02384,-1
1.6285,0.013565,0.094298,-0.14612,0.002734,-0.077822,0.001118,0.050239,0.055157,0.047192,-1
1.1724,-0.055085,0.070283,-0.14504,-0.047564,-0.056914,0.020397,0.077258,0.047939,0.075129,1
2.1239,0.003404,0.283,-0.08141,-0.055551,0.055131,0.006948,0.050526,0.003162,0.02234,-1
2.443,-0.025964,0.11215,-0.10755,-0.022488,-0.018013,0.006765,0.027888,0.006539,-0.006426,1
1.3592,-0.053027,0.11347,-0.082515,-0.020857,-0.035496,0.047635,0.056253,0.032709,0.035268,1
0.4512,0.01621,0.13286,-0.07223,0.059736,-0.001362,0.015094,0.017338,0.024647,0.005451,-1
0.97885,0.1397,0.073794,-0.11153,0.046983,-0.016277,0.002919,0.007413,0.001854,0.009074,-1
0.40445,-0.011864,0.085247,-0.045809,0.023089,-0.001193,0.009092,0.011996,0.014129,-0.002095,-1
0.29567,0.026268,0.07744,-0.04802,0.031406,0.000648,0.004825,0.010175,0.011299,0.000035,-1
0.37682,0.001241,0.099326,-0.077692,0.061033,-0.035913,0.006029,0.030368,0.038031,0.018016,1
0.35662,-0.008235,0.090301,-0.067974,0.048834,-0.021146,-0.000791,0.026334,0.052143,0.000871,-1
2.6203,0.47735,0.2927,-0.13596,0.063811,-0.045753,0.030284,0.031243,0.043681,-0.005123,-1
1.6953,0.033899,0.11155,-0.16374,0.044126,-0.045832,0.002126,0.032446,0.023939,-0.021998,1
1.4189,-0.05164,0.15023,-0.068106,-0.027746,-0.005857,0.020368,0.03808,0.031759,0.008921,-1
0.32471,0.22741,0.10626,-0.081441,0.083113,-0.024509,-0.000918,0.027477,0.027441,-0.001388,-1
0.29296,0.10416,0.10583,-0.059181,0.064826,-0.005231,-0.000356,0.016138,0.015999,0.014119,1
0.77527,0.006285,0.14164,-0.078306,-0.042841,-0.017588,-0.072952,0.079826,0.060493,0.073945,-1
2.9499,0.088937,0.48671,-0.2381,-0.17452,-0.000747,0.079819,0.019191,0.057274,0.024129,1
0.83099,0.1493,0.12983,-0.09515,0.052794,-0.04284,-0.005905,0.010588,0.014587,0.001475,1
1.2315,0.001532,0.088542,-0.09149,-0.013198,-0.065285,-0.00803,0.019881,0.012802,0.009073,-1
1.0483,0.099981,0.20518,-0.12204,0.059868,-0.005949,0.017752,0.042778,0.027308,0.023771,-1
1.0784,0.074542,0.18774,-0.10764,0.016329,-0.032409,0.000872,0.020116,0.017971,0.009487,-1
0.64163,0.068686,0.28055,-0.1664,0.16188,-0.007191,-0.063448,0.028997,0.080684,-0.011157,-1
0.29946,0.062608,0.16972,-0.086998,0.023579,0.029771,-0.20494,-0.025003,0.052213,0.003483,-1
1.0506,-0.049977,0.090371,-0.10456,-0.016125,-0.01072,0.017519,0.021858,0.01792,-0.005082,-1
3.3488,0.33526,0.10786,-0.19712,0.11969,-0.098535,-0.003707,-0.00029,-0.011306,-0.029579,-1
0.32729,-0.017807,0.080606,-0.06168,0.015625,-0.009367,0.013048,0.03367,0.025349,0.026513,-1
0.69606,-0.008271,0.098845,-0.078768,-0.009077,-0.035545,0.022533,0.068913,0.044149,0.070489,-1
0.72042,0.025399,0.16185,-0.059589,0.007416,0.020438,0.013802,0.017651,0.011342,0.013257,-1
0.44624,-0.013153,0.003518,-0.083292,0.013043,-0.051674,-0.001943,0.026834,0.02782,0.009086,-1
2.4634,0.11787,0.084047,-0.051273,-0.049899,-0.03234,0.005883,0.027969,-0.001284,0.046791,-1
0.40071,-0.018615,0.060451,-0.045049,0.027849,0.006678,0.010493,0.015537,0.02277,0.010367,1
0.85978,-0.020624,0.12227,-0.061619,0.003145,0.002964,0.011117,0.015532,0.012419,-0.007359,-1
0.71934,0.010946,0.12045,-0.097086,0.040399,-0.043378,0.014561,0.064171,0.054636,0.047342,-1
2.8165,-0.035746,0.2655,-0.028148,-0.026316,0.043321,-0.11563,-0.008015,0.010569,-0.0061,-1
1.4572,-0.017562,0.075243,-0.12148,-0.005393,0.035044,0.010975,0.025911,0.004767,-0.02724,-1
0.7196,-0.016383,0.11172,-0.087052,0.050717,-0.041007,0.011818,0.03356,0.032364,0.004967,-1
1.4484,0.01441,0.16363,-0.10831,-0.028441,0.015289,0.015744,0.028099,0.019216,0.012099,1
0.19168,0.081577,0.11291,-0.064999,0.10503,-0.009554,0.001637,0.011085,0.011772,-0.012341,-1
0.19463,0.031517,0.078147,-0.050952,0.035638,-0.007394,-0.005329,0.058883,0.00388,0.004383,1
1.282,-0.018736,0.16828,-0.081588,-0.037924,-0.011968,0.037493,0.052804,0.033556,0.052328,-1
1.3399,0.35855,0.25724,-0.13196,0.096492,-0.001131,0.00432,0.024005,-0.002255,0.044052,-1
0.68805,0.12118,0.14119,-0.094838,0.085101,-0.045475,-0.000277,0.041644,0.017448,0.017361,-1
1.3889,0.17534,0.14714,-0.067236,-0.03859,-0.014865,-0.061556,0.007872,0.011768,0.058584,-1
0.57669,1.405,0.1841,-0.1621,0.23223,-0.029718,-0.015862,0.009831,-0.076689,0.090715,-1
0.31679,-0.014901,0.073587,-0.058927,0.028412,-0.000741,0.001739,0.023635,0.019184,0.016056,-1
1.5305,0.067712,0.2313,-0.13591,0.033753,-0.029134,0.028138,0.043275,0.049302,0.034848,1
1.1873,0.009056,0.14338,-0.056702,-0.024601,0.015904,0.017868,0.014368,0.01436,-0.003635,-1
