@relation T_TCAed_data_dim10_PDE_for_ML_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
0.76853,0.057773,0.10353,-0.11829,-0.002781,-0.064866,0.057195,0.009651,0.041581,-0.011768,-1
0.73352,0.27585,0.12522,-0.10325,-0.03435,-0.10147,0.014986,0.008774,0.034469,0.011791,-1
1.4239,0.013519,0.26813,-0.034959,-0.058134,-0.025192,0.062432,0.002272,0.017893,-0.021096,-1
0.97489,-0.045937,0.21052,-0.034415,-0.031135,0.009117,0.074327,0.003534,-0.000022,-0.040818,1
1.9945,-0.007528,0.054088,-0.14223,0.033142,0.03284,0.027402,-0.008932,0.008049,-0.019866,-1
2.2327,-0.022927,0.22105,-0.030032,-0.007923,-0.006837,0.016101,-0.012763,0.0088,0.032628,1
1.2016,-0.037717,0.18072,-0.049942,-0.022643,0.009067,0.063903,0.014865,0.00942,-0.014243,1
0.394,0.026642,0.057836,-0.089476,-0.015086,-0.053085,0.02504,0.006572,0.024883,-0.003185,-1
0.85895,0.11434,0.15787,-0.048023,-0.0198,-0.046625,0.006692,0.006771,0.002247,-0.007398,-1
0.36933,-0.009454,0.060039,-0.052134,0.00043,-0.024929,0.01356,0.00314,0.016148,0.001795,-1
0.25409,0.027409,0.040137,-0.049507,-0.004231,-0.029183,0.012016,0.000341,0.008362,-0.002951,-1
0.32261,0.012087,0.084021,-0.069205,-0.033976,-0.055453,0.045181,0.001509,0.024353,-0.014744,1
0.3007,-0.003032,0.065007,-0.054318,-0.018879,-0.049963,0.036394,-0.003813,0.033702,-0.014463,-1
2.4049,0.42714,0.20025,-0.15532,-0.021126,-0.065722,0.044637,0.020617,0.052173,-0.04668,-1
1.5178,0.047062,0.27046,-0.061197,-0.029269,-0.074497,0.040248,0.000951,0.021602,0.04289,1
1.2728,-0.04006,0.14847,-0.074013,0.015387,0.017033,0.039623,0.003458,0.014605,-0.004346,-1
0.25272,0.21723,0.069306,-0.07794,-0.035463,-0.070381,0.03146,-0.000875,0.029583,0.00416,-1
0.25461,0.097745,0.0585,-0.082225,-0.021576,-0.054284,0.016345,-0.001086,0.013768,-0.000105,1
0.70366,-0.015893,0.14812,-0.083445,-0.015871,0.02865,0.068602,-0.066879,0.009036,-0.029052,-1
2.5251,0.010351,-0.068599,-0.1197,-0.019136,0.008727,0.002198,0.089486,0.035004,-0.052177,1
0.70156,0.13822,0.12155,-0.067592,-0.026588,-0.059036,0.00989,-0.002752,0.006826,-0.017513,1
1.1088,-0.015196,0.16758,-0.004405,-0.027103,-0.018285,0.02131,0.001808,0.006169,-0.021864,-1
0.95104,0.091882,0.14238,-0.13452,-0.020127,-0.059823,0.044928,0.004788,0.020376,-0.011869,-1
0.93921,0.077515,0.1116,-0.084363,-0.013883,-0.043743,0.03005,-0.00175,0.008798,-0.025671,-1
0.50129,0.069194,0.095169,-0.19848,-0.049107,-0.1377,0.034918,-0.060428,0.086939,-0.016366,-1
0.19613,0.013765,0.014969,-0.10433,-0.015356,-0.018743,-0.011959,-0.17822,0.055775,-0.035803,-1
0.92327,-0.035399,0.16846,-0.050927,0.011716,-0.015064,0.016343,0.0048,0.017003,0.016436,-1
3.0017,0.31788,0.31444,-0.0488,-0.093534,-0.13955,-0.002241,0.009052,0.020813,0.040331,-1
0.26738,-0.01109,0.057764,-0.049783,-0.016566,-0.016456,0.033786,0.004341,0.008649,-0.013263,-1
0.60199,-0.020767,0.14606,-0.058113,-0.018178,0.006919,0.076346,-0.001427,-0.002229,-0.018938,-1
0.67051,0.015229,0.075057,-0.089635,0.015738,-0.015144,0.015516,0.00212,0.005552,-0.001976,-1
0.31298,0.018825,0.084102,0.000732,-0.035315,-0.029882,0.036475,-0.007809,0.0078,-0.01633,-1
2.2437,0.080584,0.21759,-0.027701,-0.007342,0.033937,0.022111,-0.003084,-0.019184,-0.026323,-1
0.36694,-0.013673,0.066678,-0.049375,-0.000965,-0.021261,0.022818,0.000383,0.011823,0.009171,1
0.79379,-0.021452,0.1128,-0.06989,0.012409,-0.018273,0.011412,0.000037,0.018316,0.005881,-1
0.64692,-0.000326,0.15382,-0.082991,-0.037031,-0.036361,0.062301,0.007893,0.017037,-0.032795,-1
2.6845,-0.033949,0.10136,-0.11238,0.031131,0.002933,-0.023481,-0.087355,0.016623,-0.01068,-1
1.3501,-0.033614,0.20986,-0.041367,0.027942,-0.010406,0.013164,-0.004694,0.020307,0.071226,-1
0.62205,-0.00106,0.14002,-0.071413,-0.029364,-0.047388,0.031639,0.008251,0.022741,-0.017289,-1
1.3075,-0.001002,0.17849,-0.086759,0.017843,-0.001623,0.0223,-0.007497,0.011867,0.019784,1
0.1485,0.082651,0.037509,-0.08729,-0.019397,-0.080867,0.001616,0.003239,0.011278,-0.008449,-1
