@relation S_TCAed_data_dim10_Apache_for_Safe_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
7.568,0.47168,-0.095637,-0.099516,-0.009702,0.019532,0.041959,-0.13875,-0.28954,-0.06049,1
-0.81591,0.042616,-0.090402,-0.3981,-0.052715,0.032003,0.10242,-0.058882,-0.01174,0.021737,-1
3.6748,0.44264,0.1213,-0.020011,0.027216,0.1846,0.033766,-0.007178,0.34605,-0.0829,1
4.1309,0.25203,-0.049657,0.072467,0.013343,0.030889,-0.043941,-0.014952,-0.057101,-0.087825,-1
-1.7137,-0.005952,-0.043929,-0.05153,-0.025393,0.081813,-0.038594,-0.038195,0.036485,0.006167,-1
-2.0897,-0.003746,-0.095796,-0.27397,-0.094277,0.3572,-0.32544,-0.36433,0.046221,-0.10794,-1
-0.88498,-0.006743,-0.039652,-0.059961,-0.043998,0.19606,-0.19902,-0.18285,0.015911,-0.040332,-1
-1.0797,0.017839,-0.044518,0.026572,-0.025284,0.073525,0.021948,-0.012327,0.021863,-0.017213,-1
-1.1767,0.015095,-0.056773,0.002577,-0.046614,0.079548,-0.037001,-0.044372,0.044303,0.05287,-1
0.001281,0.0218,-0.026634,0.039424,-0.037997,0.083122,0.03397,-0.044631,0.041674,0.026665,-1
0.37158,0.051189,-0.085011,0.038845,-0.003145,0.079432,-0.069467,0.005745,-0.010768,0.030347,1
7.4004,0.20706,-0.11968,0.057704,0.062228,-0.058809,-0.10236,0.010573,-0.094945,0.041846,1
-1.8172,-0.002105,-0.089409,-0.024454,0.004924,0.12867,-0.1176,-0.014176,0.059668,-0.098754,-1
-1.6099,0.07484,-0.1653,-0.72478,-0.096933,0.060431,0.19168,-0.11319,-0.019304,0.035671,1
0.5099,0.024497,-0.10514,0.13112,-0.0536,0.27934,0.00532,-0.005298,-0.069669,0.21193,-1
9.291,0.36807,-0.071129,0.12325,-0.044119,0.020205,-0.022132,-0.11003,0.16108,-0.060393,1
-0.82289,0.021647,-0.087006,-0.030566,-0.013363,0.13583,-0.071842,0.034464,0.059647,-0.071648,1
7.1077,0.59173,0.032882,-0.016894,-0.14528,0.18024,0.074065,-0.1838,0.25694,-0.028843,1
3.174,0.14687,-0.076798,0.06114,-0.054488,0.1062,-0.006207,-0.033302,0.063685,-0.004406,1
0.66214,0.052597,-0.19368,0.13886,0.084294,0.29048,0.10199,0.15302,0.014924,0.009888,-1
-0.39406,0.013758,-0.028817,-0.12645,-0.016407,0.008334,0.028,-0.015346,-0.005911,0.010468,-1
-0.14357,0.01442,-0.024844,-0.10549,-0.012551,0.005582,0.022089,-0.012171,-0.005606,0.009448,-1
-0.64342,0.002869,-0.022583,0.002508,-0.015578,0.059769,-0.037433,-0.030232,-0.002096,0.010938,1
-0.62619,0.005508,-0.03092,0.005841,-0.018094,0.070936,-0.02016,-0.015261,0.009932,0.021597,-1
-1.8973,-0.009721,-0.045239,0.044829,-0.045703,0.12942,0.024402,-0.034341,0.036964,0.070032,-1
13.548,0.18472,-0.13257,0.089275,0.13662,0.11635,0.035298,0.19198,-0.004737,-0.18275,-1
0.86788,0.041085,-0.05343,-0.010287,-0.026296,0.12266,-0.13614,-0.10496,-0.005076,0.014946,-1
0.67581,0.092867,-0.030387,0.054749,-0.012365,-0.045966,0.015071,-0.094486,-0.002175,-0.048738,1
-1.3824,0.038876,-0.051673,0.030683,-0.024305,0.061204,0.015998,-0.041543,-0.005139,0.001537,1
-0.10367,0.11238,-0.094211,-0.006748,0.002968,0.064625,-0.045784,-0.013339,-0.020079,-0.015179,1
-0.69143,0.042207,-0.047835,0.018132,-0.023563,0.064296,-0.056239,-0.018768,0.012252,0.018124,1
8.2514,0.59594,0.09296,-0.20861,0.080143,0.12391,-0.16606,0.13503,-0.12295,0.11584,1
3.5245,0.11747,-0.076761,0.017852,0.032374,0.005645,-0.083599,0.03223,-0.00806,-0.058548,1
-4.2679,0.027005,-0.1419,0.070973,0.001394,0.26391,0.037383,0.053454,-0.01163,-0.039402,-1
3.131,0.38,-0.054348,0.007323,-0.095184,0.16548,0.034613,-0.059123,-0.17257,-0.004285,-1
-1.4046,-0.006002,-0.039928,-0.023365,-0.031523,0.1004,-0.064857,-0.060128,0.030079,0.005694,-1
0.96744,0.067548,-0.075121,-0.023089,-0.020602,0.11711,0.021049,-0.015676,0.006962,0.012368,1
0.23095,0.011166,-0.032369,0.026877,-0.018221,0.06526,0.012819,-0.018981,0.035682,-0.004304,-1
-3.6299,0.1523,-0.11592,0.067706,-0.11204,0.16633,0.005297,-0.039911,0.15275,0.066297,1
-1.0729,0.13175,-0.1309,-0.20319,-0.0571,0.088151,0.012873,-0.050366,0.072542,0.025568,1
-0.72418,0.066536,-0.098025,0.058915,-0.017448,0.1579,0.017147,-0.008301,-0.024391,0.010998,1
-4.4141,0.062812,-0.12012,-0.092911,0.049365,0.035985,0.035098,0.043222,0.077614,-0.24153,1
-280.84,-2.668,0.042623,-0.38782,-0.45307,0.70515,-0.29366,-0.32027,0.26743,-0.046469,-1
-2.6082,0.010371,-0.053596,0.000393,-0.036318,0.097919,-0.034213,-0.010571,0.0244,0.024188,-1
1.6269,0.096706,-0.043175,0.056476,-0.056875,0.1185,-0.00237,-0.03062,0.033837,0.052792,1
1.7261,0.050937,-0.084687,0.053819,-0.005658,0.14947,-0.030795,0.024062,-0.054464,0.028772,-1
283.91,3.6765,-0.93884,0.80191,1.7166,-1.3595,0.02642,-0.013238,-0.127,-0.051697,1
1.5226,0.061154,-0.064161,0.014342,-0.024088,0.060755,-0.071966,-0.024612,-0.016968,0.071062,-1
-2.4268,0.014453,-0.051564,0.039189,-0.059214,0.11894,-0.013819,-0.029572,0.020244,0.072298,-1
