@relation S_TCAed_data_dim10_Apache_for_Zxing_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-3.5549,0.04905,0.15892,-0.080246,-0.032544,0.13266,0.036622,0.005874,-0.04268,-0.3154,1
-0.50189,-0.05462,0.19321,-0.36834,0.014411,0.11592,0.18294,-0.06046,-0.028755,-0.016601,-1
-3.7373,0.078647,-0.27554,0.07833,-0.14971,-0.18546,0.34344,0.0096,-0.051605,0.11672,1
-1.7623,-0.038284,0.037305,0.044514,-0.030212,0.023191,-0.09794,0.055116,0.028644,-0.14011,-1
-0.22229,-0.031556,0.14124,-0.070541,-0.069186,-0.012708,0.01284,-0.006203,-0.022941,0.004525,-1
-0.39493,-0.15715,0.53378,-0.54762,-0.61071,-0.15834,-0.063069,-0.13229,-0.067838,-0.063328,-1
-0.16343,-0.069844,0.26366,-0.2014,-0.3343,-0.096554,-0.062247,-0.045896,-0.051917,-0.037145,-1
-0.38382,-0.016341,0.11048,0.029144,-0.020165,0.012409,-0.001721,-0.002095,0.043541,-0.019154,-1
-0.49029,0.016037,0.15959,0.017115,-0.062446,0.013281,0.003145,-0.011222,-0.047956,0.015267,-1
-0.39687,0.050743,0.091527,0.05076,-0.046602,0.004509,0.040278,-0.033069,0.029672,0.027822,-1
-0.61151,-0.012702,0.21326,0.030053,-0.035125,0.003537,-0.001849,0.059854,-0.033174,0.008178,1
-1.1464,-0.097369,0.20176,0.029298,0.011081,0.017431,-0.064026,0.029525,-0.004464,0.032127,1
-0.43449,-0.005967,0.29296,-0.088204,-0.085659,-0.084978,-0.005358,0.03911,-0.007115,0.004511,-1
-0.89294,-0.083236,0.35208,-0.67128,0.020791,0.21336,0.33734,-0.11326,-0.047916,-0.031141,1
-0.63499,0.052343,0.31772,0.20682,-0.11787,0.047062,0.16156,0.14939,-0.15967,-0.080587,-1
-2.5181,0.040789,0.021782,0.1374,-0.094612,0.082838,-0.12326,-0.035562,-0.028531,-0.059464,1
-0.44941,-0.020904,0.2218,-0.082014,-0.054789,-0.036093,-0.00947,0.076735,0.022137,0.014533,1
-5.1261,0.31224,-0.13759,0.06031,-0.1723,0.030325,0.070022,-0.087433,-0.004372,0.025149,1
-1.1374,0.004501,0.13141,0.059635,-0.064129,0.057482,-0.062769,0.006385,0.042263,-0.018954,1
-0.53655,-0.1576,0.42019,0.050522,0.039142,-0.1515,0.15449,0.18201,0.20784,-0.10885,-1
-0.1679,-0.017535,0.059048,-0.11654,0.006365,0.03691,0.05544,-0.01534,-0.011982,-0.00414,-1
-0.14198,-0.014952,0.048651,-0.097589,0.005265,0.031621,0.045437,-0.011331,-0.011352,-0.004689,-1
-0.1652,-0.006106,0.085305,-0.01027,-0.06085,-0.006847,-0.000145,0.008439,-0.020496,-0.008471,1
-0.19238,-0.006881,0.089413,0.001674,-0.047485,-0.001874,0.009578,0.018236,-0.016859,-0.009365,-1
-0.40675,0.019371,0.16241,0.083442,-0.060049,0.014374,0.069065,0.002198,-0.027505,0.003174,-1
-0.18795,-0.049854,0.19296,-0.1516,0.044821,-0.16095,0.042464,0.18534,0.38685,-0.000196,-1
-0.36993,-0.027629,0.1951,-0.10001,-0.19556,-0.047349,-0.038343,0.004242,-0.040915,-0.04526,-1
-0.87299,0.039212,0.071131,0.047114,0.006373,0.027243,-0.054539,-0.07121,-0.021286,-0.063681,1
-0.6,-0.014145,0.13276,0.045135,-0.024261,0.026167,-0.004422,-0.013168,-0.006514,-0.04896,1
-1.0589,-0.074984,0.19104,-0.000893,-0.009749,0.013364,0.011245,0.050914,-0.053264,-0.071723,1
-0.59767,0.026722,0.12863,0.012748,-0.038844,0.005467,-0.017353,0.030075,-0.042209,0.008214,1
-4.1244,-0.11085,-0.30291,-0.1025,-0.094419,-0.10754,0.18999,0.13697,-0.10741,0.11561,1
-0.74583,-0.024165,0.13339,-0.040517,-0.006069,-0.012789,-0.055747,0.082097,0.005469,-0.052691,1
-0.89193,-0.080314,0.37429,0.071267,-0.020883,-0.016375,0.10712,0.12188,0.082155,-0.03961,-1
-3.3572,-0.036408,0.14133,0.10341,-0.10128,0.16591,-0.049585,-0.026122,0.059303,-0.07894,-1
-0.1821,-0.025825,0.14109,-0.0539,-0.11259,-0.020255,-0.002118,-0.007253,-0.021063,0.003676,-1
-0.66931,0.001073,0.18623,-0.010173,-0.044717,0.031273,0.069149,0.025033,-0.002056,-0.015008,1
-0.19729,0.01377,0.090942,0.009817,-0.034452,-0.00849,0.009712,-0.008457,0.039969,0.014391,-1
-1.9852,0.020248,0.18187,0.10977,-0.04814,0.075558,-0.052947,0.023671,0.014361,-0.045936,1
-1.334,-0.068021,0.23811,-0.17153,-0.027548,0.095536,0.059667,-0.025743,-0.033586,0.029953,1
-0.85826,-0.012018,0.2389,0.060904,-0.045721,0.012326,0.041431,0.072831,-0.011316,-0.10627,1
-0.92508,-0.1507,0.2486,-0.16582,0.098521,-0.044019,-0.035861,0.005483,0.14732,-0.065036,1
-5.1704,-3.0093,1.5574,0.13304,1.2185,-1.0973,0.054624,-0.69696,-0.5421,-0.22912,-1
-0.50812,-0.004839,0.15564,-0.002742,-0.041582,0.001408,-0.022483,0.016692,-0.019457,0.032049,-1
-0.97499,0.10925,0.11318,0.077446,-0.061758,0.026602,0.00284,0.007518,-0.006135,0.071889,1
-0.46889,0.000384,0.22229,0.030396,-0.060957,0.010047,0.047477,0.10594,0.01506,-0.01094,-1
0.63055,-1.0574,-0.50727,-0.21158,-0.27744,0.47518,-0.33852,0.21638,0.2233,0.052503,1
-0.53106,0.016634,0.15411,-0.00705,-0.061198,0.019985,-0.031607,0.030432,-0.03751,0.037073,-1
-0.65612,0.060666,0.16425,0.063958,-0.051456,0.026748,0.001415,0.016193,-0.038081,0.03366,-1
-2.9142,-0.14105,0.1257,-0.002956,-0.088302,0.090719,0.003765,0.026807,-0.08913,-0.013583,1
-1.8356,0.028381,0.23809,0.04456,-0.016557,0.029003,-0.05958,0.064177,-0.075092,0.075954,1
-3.5274,0.021151,0.010956,0.058818,-0.078919,-0.020095,0.077802,-0.029726,0.006016,0.064852,1
-0.52932,-0.012263,0.20259,0.030001,-0.015918,-0.002915,-0.004148,0.03206,-0.002743,0.010788,1
-1.6495,-0.10314,0.1987,-0.076214,0.091904,0.033756,-0.24045,0.017386,-0.12286,0.051221,1
-0.38871,0.008866,0.10869,0.005537,-0.037072,0.008119,-0.015015,0.018,0.000673,0.002503,1
-0.44102,0.009546,0.1383,0.020585,-0.036628,0.018754,-0.016246,0.020361,-0.005226,0.011216,1
-0.73466,-0.031459,0.19032,-0.049667,-0.063963,0.003512,-0.040559,0.039296,-0.014201,0.016652,1
-1.8498,0.051086,0.18147,-0.006476,-0.041344,0.075344,0.011158,-0.002741,0.015622,-0.078444,1
-2.5948,0.14903,0.12597,0.13209,-0.091405,0.1027,-0.006269,-0.043316,0.026028,-0.10807,1
-1.8726,0.017471,0.14216,-0.014441,-0.041722,0.028249,-0.034909,0.073737,-0.043296,0.11142,1
-4.3537,-0.2118,-0.17546,0.036413,-0.048412,-0.080729,0.052013,0.084189,-0.034991,0.12465,1
-0.27872,0.00503,0.090805,0.005528,-0.059095,0.007574,-0.011422,0.008592,-0.027292,0.000003,-1
-1.3217,-0.042847,0.25595,0.042209,0.034216,0.005838,-0.10473,0.006511,0.031953,-0.009646,1
-0.51293,-0.022385,0.17652,0.003002,-0.011436,0.007051,-0.045479,0.017934,0.002808,0.0458,-1
-1.4125,0.13829,0.16024,0.095815,-0.050344,0.060064,-0.02577,-0.044865,0.020551,0.066943,1
-0.52121,-0.007334,0.10629,-0.005488,-0.034264,0.01137,-0.023864,0.019,-0.010986,0.026777,-1
-0.26635,-0.004321,0.10599,-0.00675,-0.038233,-0.005912,-0.010166,0.008535,0.001248,0.014897,-1
-0.44872,-0.003274,0.10395,-0.017373,-0.034053,0.003613,-0.03878,0.019207,0.025762,0.008903,1
-1.7774,-0.095293,0.22104,-0.30252,-0.087484,0.068764,-0.15449,0.13195,-0.18114,0.037873,-1
-0.94223,-0.016362,0.20389,-0.034081,-0.052194,0.0039,-0.011032,0.04301,-0.081528,0.041456,1
-1.3799,0.032195,0.20505,0.041265,-0.042621,0.026673,0.063247,-0.02021,0.020736,0.079216,1
-0.60887,-0.012687,0.17947,-0.062117,-0.053797,0.014396,0.00153,0.012698,-0.02171,0.008287,1
-1.0659,0.057946,0.10019,0.053895,-0.052277,0.030705,-0.034544,-0.064866,-0.003066,0.045592,1
-1.3059,0.055751,0.11155,0.037038,-0.01495,-0.032227,-0.054425,-0.038855,-0.067341,0.13236,-1
-4.2578,0.025823,-0.39033,0.19699,-0.16582,-0.14626,0.20205,0.00537,0.022142,-0.011269,1
-0.95389,0.028435,0.17289,0.08405,-0.009969,0.027087,-0.029978,-0.04392,-0.036066,0.018529,1
-2.7808,0.008289,0.15028,0.064109,0.062765,-0.023475,-0.10953,0.071443,-0.12181,0.015085,1
