@relation S_TCAed_data_dim10_Safe_for_Apache_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.29642,-0.21048,0.029221,0.001919,0.033447,0.025308,0.001205,0.040175,-0.014815,0.039797,-1
-1.0118,-0.15065,0.1004,-0.096284,0.14577,0.10986,-0.097968,0.007829,-0.016703,0.115,1
-0.18571,-0.16648,0.038408,0.014626,0.052481,-0.028911,0.01042,0.010058,0.014397,-0.024806,-1
-0.84729,-0.15236,0.073494,-0.058711,0.033292,0.032506,-0.091711,0.004501,-0.001214,-0.037674,1
-0.9051,-0.21681,0.071275,-0.053215,0.045954,0.021733,-0.075946,0.022941,-0.003401,0.005892,1
-0.84288,-0.31798,0.10174,-0.031078,0.060411,0.04692,-0.063936,0.031436,-0.041474,-0.014514,1
-1.6662,-0.43271,0.053423,-0.17,0.096131,0.033841,-0.080803,0.15082,0.019258,-0.013786,1
-0.49433,-0.19992,0.050704,0.037929,0.004596,0.041635,-0.031452,-0.012313,-0.1393,-0.019774,1
-0.83913,-0.26058,0.078783,-0.04968,0.054341,0.022789,-0.053718,0.02278,-0.034781,-0.012288,1
-1.118,-0.22815,0.080839,-0.094907,0.090803,0.043362,-0.068353,0.034751,0.000346,-0.004777,1
-0.34792,-0.1517,0.022917,-0.023133,0.040234,0.002095,-0.013347,0.025986,-0.017949,0.000471,1
-0.65654,-0.17656,0.074565,-0.040893,0.051337,0.041431,-0.050861,0.006567,-0.010477,0.007238,-1
-0.64266,-0.24908,0.063633,-0.071433,0.050045,0.044257,-0.045665,0.049549,-0.007425,-0.010161,1
-0.70699,-0.1449,-0.013756,-0.012294,0.039707,-0.052404,-0.027934,0.045455,0.042099,0.094835,-1
-0.43286,-0.17145,-0.003311,-0.030811,0.043891,-0.086974,-0.042719,-0.001795,0.056651,0.051443,-1
-0.23977,-0.10301,0.020913,-0.040278,0.047848,0.011564,-0.009607,-0.00376,0.045765,0.026522,1
-0.21628,-0.07905,-0.001138,-0.035143,0.033625,-0.016917,-0.032975,0.006038,0.001417,0.008422,1
-0.50607,-0.18728,0.033632,-0.029775,0.047267,-0.007501,-0.031058,-0.001877,-0.003034,-0.009261,-1
-0.16553,-0.19344,-0.096453,-0.031256,0.16157,-0.27498,-0.19488,0.025737,-0.070436,-0.018557,-1
-0.15051,-0.081566,0.017157,-0.0016,0.024954,-0.007481,-0.011636,-0.007312,0.015604,0.00343,-1
-0.076252,-0.055424,0.012369,-0.012043,0.024271,-0.006108,0.000235,-0.00266,0.03593,0.000135,-1
-0.35454,-0.1998,0.051575,-0.027221,0.064581,0.031242,-0.052505,0.073129,0.041935,-0.008861,-1
-0.057227,-0.062584,0.00998,-0.012362,0.029815,-0.001764,-0.000068,0.013589,0.036956,0.007347,-1
-0.33361,-0.16858,-0.001812,-0.017835,0.040266,-0.043435,-0.035983,0.015498,0.017797,-0.021074,-1
-0.2196,-0.11305,-0.002135,-0.015762,0.038871,-0.019468,-0.012891,0.025989,-0.023453,0.002664,-1
-0.23873,-0.13495,0.018892,0.000229,0.034583,0.019579,-0.003774,0.008192,-0.020205,0.019616,-1
-0.44491,-0.22913,0.04029,-0.063317,0.052481,-0.011117,-0.028451,0.083136,0.029677,0.057847,-1
-0.12785,-0.16918,-0.1188,-0.024281,0.17055,-0.31839,-0.25205,0.022034,-0.12459,-0.021048,-1
-1.1279,-0.21843,0.11545,-0.062598,0.061729,0.04042,-0.068829,0.002144,-0.043905,-0.029758,1
-0.017398,-0.006641,0.000213,-0.003132,0.00238,0.001757,-0.000902,0.001389,0.000883,0.001966,-1
-0.076697,-0.060399,0.011522,-0.009365,0.0278,-0.003712,-0.001964,-0.001952,0.037275,0.003617,-1
-0.026017,-0.02714,-0.014908,-0.005261,0.024582,-0.041068,-0.035305,0.004311,-0.016863,-0.00231,-1
-0.04105,-0.023968,-0.007392,-0.00746,0.017188,-0.022966,-0.022653,0.002854,-0.008571,-0.000011,-1
-1.862,-0.26367,0.074955,-0.044839,0.094281,0.020359,-0.054337,-0.042992,-0.054884,0.12283,1
-0.28347,-0.13281,0.012293,0.004402,0.043458,-0.039525,-0.031756,-0.017876,0.02281,0.001654,-1
-0.15235,-0.12173,-0.012433,-0.01574,0.073469,-0.092739,-0.073785,-0.001868,0.010777,-0.0023,-1
-0.18335,-0.11846,0.018161,-0.00967,0.051686,-0.029355,-0.030016,-0.008155,0.042977,0.003395,-1
-0.042508,-0.014203,0.001578,-0.007476,0.005837,0.004345,-0.002447,0.001561,0.002373,0.005735,-1
-2.2942,-0.4262,0.12538,-0.22426,0.10201,0.086012,-0.15847,0.1022,-0.027272,0.10964,1
-0.28911,-0.13966,0.029978,-0.032213,0.043808,0.014525,-0.01785,0.017574,0.019704,0.011782,1
-0.55759,-0.2342,0.074429,-0.076062,0.042828,0.028199,-0.061846,0.040307,-0.012411,-0.073847,-1
-0.13381,-0.081981,0.007872,-0.007157,0.027714,-0.020441,-0.012741,0.003723,0.002393,-0.004878,-1
-0.17663,-0.089681,0.010264,-0.007256,0.034437,-0.018656,-0.021245,-0.00353,0.009528,0.004976,-1
-0.12934,-0.053239,-0.007515,-0.021423,0.031146,-0.028923,-0.034813,0.002807,-0.006961,0.006822,-1
-0.39101,-0.28457,-0.1973,-0.053534,0.24624,-0.48723,-0.34378,0.02036,-0.15168,-0.02293,1
-1.3223,-0.26928,0.14038,-0.070675,0.069009,0.078116,-0.1102,-0.034661,-0.039313,-0.054582,1
-0.42937,-0.10935,0.031607,0.003409,0.035408,0.000212,-0.028892,0.005481,0.018481,0.025073,1
-0.42233,-0.15173,0.056106,-0.047128,0.036323,0.019789,-0.033238,0.005162,0.008787,-0.055671,1
