@relation S_TCAed_data_dim10_Safe_for_Zxing_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.1259,-0.30467,-0.0902,0.011528,-0.1378,0.038085,0.053084,-0.026997,-0.005937,-0.059924,-1
-5.5721,0.091811,-0.01438,-0.14975,0.07678,0.10048,0.12944,-0.1077,0.17843,-0.149,1
-0.45912,-0.1754,0.009968,-0.028946,-0.004094,-0.00058,0.00876,-0.062176,-0.014906,0.016192,-1
-3.9239,-0.1803,0.014925,-0.13923,0.078709,0.053431,0.082083,-0.011131,0.046039,0.093586,1
-3.8322,-0.30376,-0.015073,-0.078201,0.047057,0.1173,0.028745,0.031909,0.061478,0.046477,1
-3.6263,-0.38849,-0.15932,-0.17123,-0.085409,0.029926,-0.043173,0.005096,0.074422,-0.001537,1
-7.1563,-0.081504,0.16412,-0.13261,0.2768,0.09753,0.049569,0.090929,0.016268,0.092965,1
-1.4232,-0.23343,-0.14399,-0.076825,-0.10861,-0.050565,-0.22129,-0.14171,0.15771,-0.046535,1
-4.0131,-0.40055,-0.019932,0.04745,-0.1136,0.067463,-0.00321,0.14985,0.15527,0.085259,1
-4.8231,-0.18625,0.0008,-0.22999,0.20315,0.092572,0.02477,0.023037,0.044122,0.055118,1
-1.2821,-0.33567,0.00821,-0.032483,0.072965,0.018002,0.01645,0.002477,0.041531,0.007858,1
-3.4248,-0.29694,-0.05077,-0.09626,0.002536,0.052759,0.059487,0.036303,0.036201,0.003401,-1
-2.2721,-0.30709,-0.070465,-0.14588,0.050023,-0.047304,0.037417,0.072657,0.008511,0.018855,1
-1.9567,-0.34237,0.19473,0.26513,0.14043,0.042029,0.088987,0.11685,0.13588,0.024992,-1
-1.6737,-0.45584,0.14828,0.19625,-0.075525,-0.046671,0.041144,0.093917,-0.030166,0.12827,-1
-0.3323,-0.16458,-0.027676,-0.061906,0.11035,-0.028179,-0.001638,0.010098,-0.005397,0.018265,1
-0.48781,-0.2099,0.05344,-0.033468,0.080898,-0.083464,-0.002402,0.03433,-0.004938,0.012072,1
-1.7083,-0.38441,0.003203,-0.028501,0.060699,-0.045451,-0.060869,0.030568,0.042352,0.060216,-1
-0.39924,-0.46628,0.51033,-0.31372,-0.10219,0.090075,0.02496,-0.061899,-0.052744,-0.05052,-1
-0.46427,-0.28876,-0.031701,-0.022792,0.034224,0.048537,-0.018904,-0.011905,0.0009,0.010243,-1
-0.1191,-0.15815,-0.011744,-0.033884,0.057022,0.060207,0.021197,0.016388,-0.009175,0.025067,-1
-3.0351,-0.34334,-0.012989,-0.066995,-0.028429,0.073159,0.092391,0.13561,-0.10632,-0.085439,-1
-0.23588,-0.14662,-0.006638,-0.036381,0.051894,0.054142,0.039642,0.014883,-0.021694,0.00478,-1
-1.4265,-0.48228,0.070123,0.049168,0.04621,0.087363,-0.090237,0.057851,-0.002621,0.011213,-1
-0.86425,-0.32742,0.077014,-0.007175,0.080862,-0.012176,0.025731,0.024896,0.028703,0.008516,-1
-0.50822,-0.23095,-0.059041,-0.038155,0.035487,-0.003978,-0.068958,-0.066517,0.043867,-0.031833,-1
-1.8005,-0.25076,0.007862,0.11628,-0.15527,0.027396,0.101,0.16027,0.014934,0.002182,-1
-0.37747,-0.42702,0.59618,-0.38805,-0.18594,0.016266,0.00833,-0.096856,-0.062239,-0.093017,-1
-5.6664,-0.23909,0.006941,-0.082234,0.050241,0.15488,0.078462,0.025583,0.13499,0.10017,1
-0.059993,-0.013006,0.000244,0.001822,0.006322,-0.003844,-0.003673,0.003194,-0.000228,-0.003987,-1
-0.28507,-0.19524,-0.010792,-0.016522,0.052547,0.069142,0.010631,0.020758,-0.010871,0.005002,-1
-0.090938,-0.069736,0.078115,-0.056906,-0.019174,-0.000018,0.002322,-0.010998,-0.010772,-0.018352,-1
-0.10225,-0.061021,0.045855,-0.036558,0.001252,-0.012479,0.002147,-0.002181,-0.00674,-0.008069,-1
-7.2426,0.10918,0.17453,0.077797,0.21628,0.07497,0.072565,-0.17036,0.26894,0.20983,1
-1.1076,-0.48565,0.006643,0.003783,0.019481,0.069174,-0.058369,-0.004178,-0.002893,0.024889,-1
-0.36659,-0.35665,0.12464,-0.11602,-0.001347,0.069195,-0.01452,-0.020778,-0.014775,0.001148,-1
-0.55306,-0.33552,-0.003475,-0.061779,0.032227,0.048747,-0.004513,0.00043,-0.019903,0.022233,-1
-0.089029,-0.013742,-0.002188,-0.003507,0.015002,-0.01793,-0.006137,0.002159,-0.000253,-0.004514,-1
-8.0025,-0.019658,0.031788,-0.18903,0.16083,-0.073542,0.28089,-0.18047,0.1265,0.10494,1
-1.0716,-0.36474,-0.039661,-0.054627,0.050607,0.00523,0.025552,0.029759,-0.014727,0.016265,1
-2.0944,-0.2076,-0.033372,-0.16829,0.021819,-0.1149,-0.025951,0.12183,0.055477,0.10176,-1
-0.32087,-0.23343,0.021882,-0.033309,0.054373,0.044245,0.011847,0.000077,0.015445,0.008597,-1
-0.59088,-0.28897,0.007114,-0.029996,0.03084,0.045715,-0.015076,-0.008457,0.006982,0.01267,-1
-0.22136,-0.10765,0.064176,-0.054136,0.02865,-0.056054,-0.001692,0.001743,-0.006002,0.00265,-1
-0.94645,-0.76283,0.9586,-0.33585,-0.23873,-0.013886,-0.081547,-0.063718,-0.016698,0.016067,1
-6.2829,-0.10321,-0.087064,-0.26749,0.018229,0.12431,-0.074652,0.048279,0.17912,0.047136,1
-1.5048,-0.25951,0.015103,0.058138,-0.021331,0.076524,0.089607,-0.10533,0.080771,0.040858,1
-2.1749,-0.28421,-0.032235,-0.087414,0.030933,0.061409,-0.049056,0.12817,0.030456,0.045071,1
-0.65006,-0.3001,-0.018397,-0.05651,0.070044,-0.020264,-0.004951,-0.004487,0.019369,0.015519,-1
-2.0453,-0.3999,-0.057752,-0.082769,0.009803,0.083476,0.063798,0.018444,0.023642,0.015895,1
-0.42397,-0.17329,-0.0143,-0.044096,0.068246,0.020287,0.041547,0.02006,-0.016925,-0.000821,1
-0.94265,-0.47788,-0.032099,0.066177,0.038942,0.027104,-0.21484,-0.15121,0.1554,-0.066143,-1
-1.0312,-0.37046,-0.11098,0.032281,-0.10732,-0.022816,-0.30287,-0.29848,0.134,-0.20668,-1
-2.0396,-0.073791,-0.008877,0.042264,0.000009,0.057962,0.049862,-0.056988,0.080278,-0.16875,-1
-2.2729,-0.048214,-0.088011,-0.06637,-0.1103,0.08029,0.17501,-0.21825,-0.01076,0.058415,-1
-0.47779,-0.32054,0.12314,-0.027552,0.043717,0.018555,-0.077514,-0.073001,0.065111,-0.029656,-1
