@relation S_TCAed_data_dim10_Zxing_for_Apache_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.18046,-0.14722,0.021871,0.097922,0.025173,-0.002186,0.00543,-0.040159,-0.009634,-0.000072,-1
-0.12502,-0.084132,-0.028911,0.036147,-0.013553,0.018724,0.010364,-0.030494,-0.003865,-0.011746,1
-0.29595,-0.11856,-0.05622,0.031806,-0.036252,0.020876,-0.019974,0.011182,0.023388,-0.001373,-1
-0.27572,-0.076702,-0.043669,0.047571,0.006198,-0.007338,-0.00147,-0.038082,-0.041774,-0.021887,-1
-0.81445,-0.17594,0.019613,-0.004456,0.022863,0.052418,0.058594,-0.16323,0.070215,0.035723,1
-0.24698,-0.10232,-0.058394,0.038455,-0.029393,0.02461,-0.009474,-0.026632,0.001201,-0.002561,1
-0.31882,-0.17318,-0.036913,0.028445,-0.007232,0.028223,0.015415,0.018082,0.01106,-0.000476,-1
-0.23262,-0.14248,-0.016115,0.007074,0.016032,0.016964,0.004344,0.026158,0.000473,-0.009852,-1
-0.20041,-0.1303,-0.00542,0.008318,0.020206,0.01657,0.012015,0.029753,-0.002449,-0.010089,-1
-0.26346,-0.13941,-0.077059,0.02327,-0.023967,0.040318,0.00058,-0.037393,-0.014292,-0.002688,-1
-0.24257,-0.14825,-0.051015,0.016578,-0.005586,0.030825,0.007593,-0.021083,-0.005891,-0.01061,-1
-0.22016,-0.13708,-0.05075,0.038788,-0.027,0.029115,0.012613,-0.034968,0.007267,-0.024678,-1
-0.16451,-0.11081,-0.023735,0.05658,-0.008255,0.012526,-0.001363,-0.03851,-0.005262,-0.002578,-1
-0.19851,-0.098037,-0.048876,0.011414,-0.012835,0.019338,0.003385,-0.001614,-0.006938,0.010247,1
-0.062666,-0.045745,-0.025496,0.017768,-0.015877,0.020623,0.019752,-0.027235,-0.010187,-0.008939,-1
-0.08518,-0.058982,-0.033573,0.019302,-0.018183,0.023588,0.015482,-0.030169,-0.008415,-0.010112,-1
-0.087033,-0.057248,-0.031837,0.02018,-0.018968,0.02399,0.013497,-0.025932,-0.003847,-0.007887,-1
-0.5846,-0.36567,-0.094473,-0.007947,0.049386,0.069043,0.1746,0.10768,-0.006261,0.20625,-1
-0.062987,-0.055555,-0.013524,0.033962,-0.008375,0.014889,0.017507,-0.025944,-0.00919,-0.010336,-1
-0.19525,-0.091757,-0.040252,0.044662,-0.011221,0.011893,-0.007267,-0.035148,-0.014874,-0.007038,1
-0.076547,-0.050738,-0.03016,0.020275,-0.017622,0.02146,0.015461,-0.025083,-0.006832,-0.010635,-1
-0.24399,-0.15339,-0.019341,0.040407,0.006647,0.007939,0.003243,-0.022899,-0.009669,-0.003212,-1
-0.085586,-0.056855,-0.030732,0.021587,-0.019272,0.027588,0.006861,-0.018215,0.007305,-0.006615,-1
-0.062991,-0.055554,-0.013523,0.033967,-0.00838,0.014889,0.017511,-0.025939,-0.009189,-0.010338,-1
-0.062994,-0.055552,-0.013523,0.03397,-0.008383,0.014889,0.017513,-0.025937,-0.009188,-0.010338,-1
-0.41785,-0.15487,-0.020915,0.08389,-0.0176,0.034438,-0.042425,-0.008276,0.068352,0.029408,-1
-0.10649,-0.08265,-0.045873,0.016655,-0.015062,0.033889,0.019387,-0.035796,-0.018548,-0.009479,-1
-0.38159,-0.17595,-0.025633,0.08532,-0.010722,0.014077,-0.010326,-0.032816,0.006641,0.00754,1
-0.21593,-0.037945,-0.022011,0.032205,-0.007345,0.004499,-0.042627,-0.044655,-0.001192,0.00916,1
-0.18524,-0.11637,-0.051556,0.040058,-0.016987,0.024554,0.001865,-0.043579,-0.015292,-0.015756,-1
-0.075482,-0.049651,-0.028915,0.019274,-0.017246,0.019356,0.018102,-0.026751,-0.010725,-0.012651,-1
-0.46379,-0.15455,-0.097157,0.032833,-0.037697,0.032494,-0.012085,-0.023248,-0.021061,-0.004813,-1
-0.099892,-0.066269,-0.037663,0.024247,-0.020379,0.026307,0.001673,-0.023531,0.007895,-0.011936,1
-0.75989,-0.32783,-0.1684,0.11478,-0.069732,0.12845,0.013159,-0.078628,0.048569,0.038275,1
-0.1168,-0.10644,0.015449,0.0862,0.01406,-0.000134,0.002306,-0.031066,-0.008517,-0.010165,-1
-0.61567,-0.27632,-0.16038,0.080594,-0.063116,0.10755,-0.026353,-0.077496,0.038239,0.019257,-1
-1.219,-0.37489,-0.20088,0.08828,-0.097433,0.059212,-0.079166,-0.033293,0.075534,-0.02625,-1
-1.044,-0.23995,-0.11544,0.10069,-0.062282,0.076841,-0.089763,0.041982,0.12937,0.02737,-1
-0.29234,-0.1117,-0.057979,0.047114,-0.013745,0.033072,-0.002773,-0.0331,-0.007117,-0.004319,1
-0.11043,-0.065126,-0.038519,0.021651,-0.021657,0.020691,0.004269,-0.026794,0.001303,-0.004324,1
-0.19897,-0.10324,-0.074696,0.023006,-0.028465,0.025097,-0.020364,-0.036629,-0.003638,-0.013552,-1
-0.16197,-0.10316,-0.046851,0.038099,-0.017479,0.024766,0.002809,-0.040248,-0.01637,-0.013059,-1
-0.47267,-0.18331,-0.11799,0.026702,-0.020307,0.071531,-0.004865,-0.028211,-0.024199,0.024448,-1
-0.27532,-0.16903,0.006501,0.085992,0.020072,-0.002252,-0.010686,-0.010219,0.000401,0.017314,1
-0.74591,-0.43154,-0.15125,0.087335,-0.048319,0.13306,0.080515,-0.075963,0.000917,-0.033627,-1
-0.36579,-0.16065,-0.047641,0.058339,-0.028658,0.021975,-0.044595,-0.042378,0.050725,0.072241,-1
-0.30615,-0.20287,-0.015805,0.10702,0.00166,0.034313,0.021102,-0.050755,0.01113,0.013303,-1
-0.092734,-0.057951,-0.034366,0.021723,-0.01856,0.024255,0.012367,-0.026835,-0.005393,-0.011073,-1
-0.66426,-0.24786,-0.11146,0.011927,-0.014363,0.019238,-0.009882,-0.013287,-0.030667,-0.05009,1
-0.37207,-0.1852,-0.064027,0.052883,-0.020342,0.017822,-0.004579,-0.024719,0.013363,0.02618,1
-1.0985,-0.44146,-0.166,-0.058523,0.002013,0.065263,-0.068252,-0.083693,0.01313,-0.094864,1
-0.075194,-0.051104,-0.030162,0.020361,-0.017526,0.021455,0.015807,-0.025825,-0.008254,-0.011665,-1
-0.13872,-0.12128,-0.011695,0.061051,0.003105,0.015442,0.007623,-0.036555,-0.011414,0.001019,-1
-0.11017,-0.064358,-0.037707,0.023435,-0.020441,0.020061,0.001169,-0.02534,0.007529,-0.014443,-1
-0.10387,-0.061922,-0.038271,0.020798,-0.020036,0.022581,0.012893,-0.029022,-0.010637,-0.011088,-1
-0.062645,-0.045744,-0.025494,0.017766,-0.015876,0.020622,0.019751,-0.027237,-0.010187,-0.008939,-1
-0.1146,-0.067645,-0.035938,0.021933,-0.019155,0.023966,0.007289,-0.027369,0.010378,-0.01501,1
-0.083431,-0.057207,-0.033936,0.019184,-0.017881,0.023786,0.015727,-0.030586,-0.010552,-0.008958,-1
-0.20616,-0.16547,-0.082984,0.05659,-0.048365,0.065371,0.071199,-0.086021,-0.026519,-0.04437,-1
