@relation S_TCAed_data_dim10_Zxing_for_Safe_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.66366,-0.26241,-0.087239,0.009645,0.00257,-0.075164,0.007172,0.013649,0.006063,0.003583,-1
-0.33413,-0.24513,0.006314,0.031318,0.062207,-0.046048,0.002014,0.004669,-0.0016,0.011429,1
-0.8791,-0.3283,0.035876,0.061845,0.15502,0.10256,0.023629,0.012919,-0.011304,-0.022964,-1
-1.7578,0.048756,-0.007006,0.036249,-0.078287,-0.10223,-0.11594,0.083642,0.048731,0.062074,-1
-4.7467,-0.015364,-0.061027,-0.054013,0.14099,-0.15687,-0.2016,-0.076167,0.5127,-0.097849,1
-0.72003,-0.25564,0.040559,0.058129,0.082912,-0.001684,0.003394,-0.00432,-0.004617,0.007859,1
-0.90943,-0.4338,0.035603,0.019323,0.067488,-0.016142,-0.010231,-0.06326,-0.02211,-0.006917,-1
-0.78771,-0.35075,0.062854,0.029461,0.00997,-0.021051,-0.07283,-0.067743,0.01693,-0.051797,-1
-0.61479,-0.2641,0.045846,0.039314,0.022502,-0.027773,-0.070363,-0.069502,0.01146,-0.056087,-1
-0.94169,-0.38927,0.10247,0.068121,0.020339,-0.013752,0.010348,-0.002065,0.039247,0.013772,-1
-0.77686,-0.35921,0.070153,0.027465,0.02139,-0.031137,-0.027373,-0.035596,0.003239,-0.019733,-1
-0.78151,-0.3743,0.017614,0.029289,0.087484,-0.054927,0.027201,0.03309,-0.002588,0.001251,-1
-0.50827,-0.31182,-0.003894,0.032916,0.04333,-0.033044,0.009462,0.016782,0.00518,0.02177,-1
-0.49087,-0.19987,0.067651,0.048227,0.010617,0.035867,0.022864,-0.02548,0.014999,0.028689,1
-0.15236,-0.15468,0.009216,0.022236,0.049827,-0.068428,0.011411,0.01712,0.005823,0.017109,-1
-0.21506,-0.20015,0.024185,0.025615,0.052228,-0.063561,0.000151,0.009739,0.004696,0.01779,-1
-0.23183,-0.16723,0.018028,0.02729,0.052924,-0.052277,0.006846,0.010079,0.006312,0.010551,-1
-1.7008,-0.40279,0.13341,-0.19948,-0.34212,0.22437,0.19344,-0.26312,0.18796,0.27824,-1
-0.24077,-0.20565,-0.011296,0.03749,0.046018,-0.056871,0.03412,0.02151,0.024197,0.02039,-1
-0.92025,-0.1777,0.012593,0.045856,-0.016413,-0.0428,0.001756,0.03626,-0.007341,0.040427,1
-0.25198,-0.16786,0.013262,0.03437,0.057542,-0.048156,0.026601,0.020583,0.008203,0.016453,-1
-0.87601,-0.36018,0.008595,0.003966,-0.010464,-0.025297,0.013283,0.012678,0.002112,0.001008,-1
-0.39633,-0.12465,0.012268,0.023425,0.03992,-0.044862,0.011001,0.012981,0.005245,-0.009855,-1
-0.24077,-0.20565,-0.011296,0.03749,0.046018,-0.056871,0.03412,0.02151,0.024197,0.02039,-1
-0.24077,-0.20565,-0.011296,0.03749,0.046018,-0.056871,0.03412,0.02151,0.024197,0.02039,-1
-2.3597,-0.30334,-0.10011,-0.12949,0.025633,0.006751,0.064183,0.024011,-0.031576,-0.048714,-1
-0.37223,-0.26191,0.055996,0.042552,0.031733,-0.062739,0.000862,0.00936,0.023017,0.020735,-1
-1.1668,-0.43413,-0.048844,0.008701,0.098757,0.023349,0.024415,-0.002957,-0.002543,0.028596,1
-0.80285,-0.050835,-0.041887,-0.024847,0.020802,0.004588,0.03972,0.001067,0.032964,-0.009238,1
-0.51348,-0.32483,0.041374,0.04599,0.065144,-0.047481,-0.044693,0.002203,-0.011031,0.021631,-1
-0.21503,-0.17053,0.011429,0.038431,0.062468,-0.051902,0.027591,0.022239,0.01276,0.021337,-1
-1.705,-0.2937,0.098335,0.14363,0.063287,0.008562,0.019682,-0.007832,0.029211,0.011223,-1
-0.58853,-0.24052,0.017136,0.017106,0.060044,-0.036721,0.042434,0.029652,0.008639,-0.011344,1
-3.4375,-0.467,0.054355,0.047988,0.032791,-0.11567,0.069554,-0.031033,0.058025,0.063775,1
-0.55858,-0.24156,-0.076222,0.038283,0.029104,-0.049529,0.02071,0.036,0.019587,0.015173,-1
-3.3553,-0.41243,0.099212,0.086378,-0.02025,-0.08141,0.04635,0.044887,0.098309,-0.031888,-1
-5.857,-0.34723,0.096771,0.11649,-0.005103,-0.031552,0.092361,0.085603,-0.002153,-0.10972,-1
-5.7849,-0.027751,-0.075018,-0.070073,0.079561,0.073534,-0.030381,0.005239,-0.060383,-0.089387,-1
-1.1464,-0.28881,0.032371,0.06498,0.02824,-0.023627,0.027224,-0.003196,0.005221,0.050297,1
-0.43759,-0.19598,0.022053,0.025911,0.042215,-0.031237,0.039238,0.025718,0.006537,0.007472,1
-0.91663,-0.23972,0.084373,0.052651,-0.018909,0.005095,-0.020434,0.041189,-0.003636,0.026816,-1
-0.52015,-0.33277,0.04017,0.048826,0.052697,-0.048153,-0.028197,0.012659,0.002765,0.031251,-1
-1.8506,-0.24162,0.16585,0.16537,-0.011674,-0.016185,0.035298,-0.10535,0.063861,-0.006114,-1
