@relation T_TCAed_data_dim10_Apache_for_Safe_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-3.7974,-0.26178,-0.11843,-0.077738,0.046246,0.046868,-0.16987,-0.31599,-0.05899,-0.16106,1
-0.57799,-0.25668,-0.41287,-0.065105,0.082539,0.10801,-0.063911,-0.009393,0.021695,0.014552,-1
-3.9591,0.30457,-0.016974,0.1491,0.19579,0.036752,0.003949,0.33843,-0.067877,-0.15852,1
-1.8592,-0.10307,0.068992,-0.027024,-0.017754,-0.045932,-0.039095,-0.079069,-0.086897,-0.085081,-1
-0.23321,-0.16456,-0.05162,-0.01613,0.057998,-0.038169,-0.028935,0.037455,0.00737,0.003564,-1
-0.34416,-0.32132,-0.28354,-0.055017,0.25059,-0.32086,-0.31254,0.020766,-0.10771,-0.017512,-1
-0.13193,-0.15039,-0.0617,-0.019307,0.12494,-0.19819,-0.15268,0.005356,-0.039777,-0.013743,-1
-0.41427,-0.17759,0.029622,-0.023115,0.041385,0.020336,-0.027986,0.017114,-0.016493,-0.003468,-1
-0.54674,-0.25287,0.003959,-0.045101,0.060239,-0.037613,-0.024591,0.057012,0.054446,0.019934,-1
-0.4376,-0.14827,0.036813,-0.027374,0.078297,0.034326,-0.041143,0.049453,0.026759,0.025773,-1
-0.65722,-0.30796,0.037066,0.011871,0.039156,-0.073783,0.016477,-0.002669,0.029884,-0.002073,1
-1.2374,-0.32913,0.048437,0.042523,-0.076282,-0.10915,0.019047,-0.083988,0.036891,0.07537,1
-0.43234,-0.33947,-0.022199,0.054216,0.076027,-0.12186,-0.002766,0.046632,-0.097611,-0.048071,-1
-1.0254,-0.45196,-0.75644,-0.1238,0.15432,0.20224,-0.12135,-0.013853,0.034991,0.027828,1
-0.67956,-0.46188,0.12704,-0.008389,0.20042,-0.003156,-0.009913,-0.032882,0.214,0.026817,-1
-2.7223,-0.24354,0.11434,-0.11021,-0.006321,-0.027097,-0.11782,0.15224,-0.058325,-0.01371,1
