@relation T_TCAed_data_dim10_Apache_for_Zxing_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-3.6391,-0.19136,0.08101,0.037,-0.13973,0.038703,-0.006081,-0.058633,-0.30941,0.051885,1
-0.49096,-0.20158,0.35573,0.033245,-0.19884,0.17409,-0.060674,-0.03831,-0.017564,0.010244,-1
-3.8256,0.33115,-0.064213,0.16904,0.12251,0.33985,-0.016372,-0.058712,0.10645,-0.25186,1
-1.7626,-0.049656,-0.044393,0.012374,0.023214,-0.089146,0.044119,0.022548,-0.13663,-0.004465,-1
-0.19375,-0.16675,0.067598,0.075735,0.014974,0.013278,-0.004951,-0.02095,0.003937,-0.017014,-1
-0.31651,-0.61606,0.52895,0.65415,0.21945,-0.072477,-0.11276,-0.080743,-0.064924,-0.002005,-1
-0.12333,-0.31236,0.19507,0.34725,0.1459,-0.063728,-0.035835,-0.052626,-0.037912,-0.006587,-1
-0.37692,-0.1395,-0.028027,0.014673,-0.002355,0.002306,-0.010847,0.031774,-0.018367,-0.018178,-1
-0.48718,-0.20213,-0.01453,0.058897,-0.004513,0.003891,-0.008636,-0.043559,0.01333,0.001187,-1
-0.39597,-0.11714,-0.044924,0.045382,-0.008616,0.039526,-0.038017,0.018975,0.026743,-0.013532,-1
-0.60904,-0.26992,-0.028318,0.024054,0.013864,0.004399,0.054013,-0.020647,0.007358,0.010894,1
-1.2097,-0.27078,-0.030438,-0.041563,0.028077,-0.053276,0.015841,-0.016172,0.025571,0.2213,1
-0.41927,-0.35059,0.086709,0.085084,0.097827,-0.00793,0.041792,0.008103,0.006732,-0.047988,-1
-0.88013,-0.37122,0.64791,0.061992,-0.36151,0.3217,-0.11735,-0.070137,-0.033992,0.016283,1
-0.63714,-0.41916,-0.18778,0.10542,-0.04777,0.17813,0.12949,-0.12636,-0.080331,-0.047893,-1
-2.6636,-0.061323,-0.12856,0.068024,-0.024178,-0.11644,-0.03264,-0.036981,-0.060372,-0.065457,1
-0.43917,-0.26413,0.079776,0.054375,0.048399,-0.008087,0.073303,0.039166,0.017933,-0.051894,1
-5.3397,0.16731,-0.028908,0.18923,-0.061407,0.04114,-0.068073,0.004049,0.026348,-0.18975,1
-1.1676,-0.17269,-0.056513,0.054118,-0.025404,-0.053883,0.001914,0.036363,-0.016156,-0.035408,1
-0.50472,-0.53091,-0.05209,-0.078401,0.17302,0.1748,0.10974,0.16845,-0.10606,0.081677,-1
-0.16542,-0.06103,0.11241,0.008471,-0.062524,0.052866,-0.015239,-0.013824,-0.004439,0.005371,-1
-0.13982,-0.050801,0.094029,0.006453,-0.052208,0.043484,-0.011568,-0.012842,-0.005074,0.004456,-1
-0.15491,-0.10557,0.010671,0.061179,0.015675,0.001504,0.008194,-0.017015,-0.008619,-0.013699,1
-0.18513,-0.11211,-0.000571,0.046092,0.009043,0.012187,0.015478,-0.013354,-0.009361,-0.012757,-1
-0.37709,-0.20787,-0.077598,0.058017,-0.017861,0.074596,-0.006056,-0.029084,0.001453,-0.039395,-1
-0.28415,-0.23329,0.14715,-0.071267,0.18381,0.046773,0.12688,0.35361,0.009338,0.11095,-1
-0.35586,-0.23539,0.097783,0.1997,0.079868,-0.037703,0.008212,-0.03488,-0.044486,0.000652,-1
-0.87969,-0.093476,-0.046245,-0.009464,-0.020904,-0.056957,-0.058486,-0.027946,-0.06271,-0.02461,1
-0.58784,-0.16652,-0.042567,0.019469,-0.016537,-0.00031,-0.016821,-0.014338,-0.048592,-0.001523,1
-1.0481,-0.24057,-0.003206,0.002631,-0.000836,0.020708,0.041483,-0.049983,-0.072406,-0.009221,1
-0.5915,-0.15629,-0.009727,0.038618,0.001567,-0.016896,0.036924,-0.02374,0.009676,-0.028201,1
-4.1563,0.34323,0.072307,0.08087,0.11646,0.21198,0.082886,-0.11654,0.094785,0.078329,1
-0.7727,-0.16807,0.036481,-0.006948,0.040373,-0.050445,0.076927,0.01771,-0.049667,0.00225,1
-0.84507,-0.47539,-0.071394,0.000742,0.028822,0.12575,0.079192,0.068506,-0.038652,-0.10194,-1
-3.4309,-0.20749,-0.10389,0.078817,-0.1149,-0.031739,-0.054707,0.017038,-0.082805,0.07126,-1
-0.16227,-0.1719,0.052387,0.11522,0.035203,-0.000648,-0.007559,-0.021357,0.002446,-0.016647,-1
-0.67563,-0.23231,0.012742,0.045639,-0.038153,0.074072,0.013993,-0.003606,-0.014736,-0.028032,1
-0.19851,-0.11434,-0.008076,0.031362,0.013408,0.010347,-0.013789,0.032218,0.014609,-0.00672,-1
-1.9659,-0.23171,-0.10716,0.032596,-0.042216,-0.041976,0.013433,0.010428,-0.04515,-0.11,1
-1.3333,-0.29196,0.16049,0.035797,-0.10846,0.064847,-0.033651,-0.0445,0.024358,-0.006728,1
-0.84629,-0.30601,-0.058135,0.030886,0.004214,0.051687,0.052761,-0.012844,-0.10439,-0.031718,1
-0.85446,-0.28364,0.14699,-0.10189,0.049798,-0.03245,-0.011386,0.11829,-0.0615,-0.11827,1
0.10364,-1.4921,-0.58314,-1.1128,1.0356,0.23215,-0.8125,-0.83664,-0.31799,0.1787,-1
-0.48167,-0.1889,0.002552,0.040674,0.009346,-0.020955,0.020505,-0.008323,0.032072,-0.005074,-1
-1.0154,-0.15191,-0.066733,0.054531,-0.020593,-0.000739,0.011357,0.006429,0.071264,-0.015555,1
-0.47862,-0.28579,-0.026633,0.049448,0.004064,0.057154,0.085918,0.023987,-0.009798,-0.017052,-1
-3.8627,-0.073757,0.39403,-0.19475,0.0988,-0.27432,0.02462,-0.027272,0.007307,-0.003582,1
-0.547,-0.19547,0.008755,0.05533,-0.001423,-0.029725,0.033829,-0.022634,0.035795,0.038751,-1
-0.64475,-0.20533,-0.057522,0.048806,-0.021709,0.002223,0.020299,-0.022951,0.033331,-0.030845,-1
-2.9318,-0.15665,0.000383,0.087517,-0.06369,0.024678,0.015561,-0.093302,-0.017633,0.062813,1
-1.8091,-0.29535,-0.047254,0.005435,-0.006125,-0.055142,0.071182,-0.043776,0.07393,-0.053901,1
-3.5776,0.002336,-0.042132,0.10108,-0.007002,0.07209,-0.021614,0.011057,0.066962,-0.067584,1
-0.51248,-0.25243,-0.02897,0.007052,0.015566,0.000493,0.027003,0.001561,0.01057,-0.005635,1
