@relation T_TCAed_data_dim10_Safe_for_Apache_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-2.4953,-0.004207,-0.058275,0.022973,-0.010379,0.078723,0.027188,0.023208,0.044826,-0.014832,-1
4.7,0.11507,-0.018686,0.11868,-0.067138,0.11238,0.10835,-0.098531,-0.001227,-0.011915,1
3.1215,0.037071,-0.046499,0.046073,0.003786,0.07399,-0.023146,0.01246,0.003409,0.013696,-1
2.1181,0.096144,-0.037382,0.076246,-0.036317,0.045334,0.032101,-0.082027,0.00777,-0.002308,1
-0.094609,0.066351,-0.045756,0.066165,-0.054024,0.086779,0.024394,-0.059799,0.023793,-0.00266,1
-2.4819,0.031724,-0.071085,0.092286,-0.039242,0.10545,0.048201,-0.038426,0.042988,-0.042423,1
-1.5942,0.12026,-0.10797,0.050906,-0.12641,0.17195,0.035307,-0.071225,0.14535,0.016489,1
-3.8089,0.008408,-0.058282,0.038415,0.011791,0.061982,0.042769,0.015855,0.019233,-0.13812,1
-1.5338,0.050606,-0.063654,0.075496,-0.0342,0.086152,0.021901,-0.040966,0.031237,-0.036555,1
-0.14338,0.085466,-0.043144,0.078451,-0.079372,0.12689,0.043183,-0.05722,0.034357,-0.001262,1
-0.1794,0.023751,-0.040157,0.022716,-0.020616,0.067716,0.003725,-0.005177,0.028629,-0.018419,1
1.2134,0.06636,-0.044884,0.077099,-0.029168,0.074402,0.042382,-0.034023,0.007783,-0.01021,-1
-1.8292,0.02712,-0.059796,0.057789,-0.055987,0.091505,0.044399,-0.027872,0.053168,-0.009222,1
2.7747,0.085088,-0.035143,-0.009566,-0.016,0.039972,-0.050995,-0.049341,0.031265,0.044333,-1
0.29055,0.029547,-0.041582,-0.001392,-0.029576,0.062486,-0.086626,-0.069756,-0.013858,0.057479,-1
-0.22914,0.007334,-0.019885,0.022174,-0.035403,0.059093,0.012268,-0.012804,-0.013182,0.046067,1
-0.23787,0.011956,-0.018883,-0.00076,-0.027678,0.049477,-0.017157,-0.0362,0.005905,0.001303,1
-1.0375,0.024139,-0.044466,0.031343,-0.03043,0.077537,-0.006605,-0.026815,-0.000148,-0.003465,-1
-1.2821,-0.008649,-0.053063,-0.094133,-0.059938,0.25868,-0.27607,-0.23708,0.041876,-0.071328,-1
-0.57183,0.001411,-0.018689,0.016105,-0.008861,0.038155,-0.007037,-0.011795,-0.009361,0.015642,-1
0.13382,0.002834,-0.012463,0.013379,-0.012186,0.033599,-0.00513,-0.002577,-0.009114,0.035461,-1
-2.3283,-0.013173,-0.039141,0.046674,-0.043189,0.091387,0.031318,-0.048862,0.067077,0.040057,-1
-0.052528,-0.002352,-0.013495,0.010916,-0.014332,0.038713,-0.000895,-0.003429,0.006413,0.036379,-1
-1.7608,0.005932,-0.044947,-0.005289,-0.023789,0.077125,-0.043549,-0.040288,0.015487,0.01617,-1
-0.59106,0.008504,-0.029883,-0.003372,-0.018856,0.068497,-0.017936,-0.008307,0.02992,-0.023887,-1
-1.367,0.00184,-0.034987,0.015431,-0.011323,0.065068,0.021271,0.012609,0.012749,-0.019614,-1
-3.549,-0.024121,-0.041947,0.03479,-0.064948,0.069523,-0.012747,-0.049967,0.072836,0.030074,-1
-1.6566,-0.012324,-0.04837,-0.11741,-0.059708,0.27745,-0.32125,-0.29718,0.049686,-0.12486,-1
4.4653,0.14568,-0.058334,0.12415,-0.034718,0.089817,0.044245,-0.044503,0.007012,-0.044384,1
-0.077916,0.000241,-0.001422,0.00012,-0.002526,0.003251,0.001733,-0.00073,0.001184,0.000896,-1
-0.12351,-0.000693,-0.012999,0.012044,-0.0124,0.037269,-0.002963,-0.004608,-0.008438,0.036823,-1
-0.24596,-0.00141,-0.007487,-0.014765,-0.009523,0.039527,-0.041477,-0.040975,0.008067,-0.01692,-1
-0.1539,0.000838,-0.006228,-0.007211,-0.008551,0.026768,-0.023239,-0.025987,0.00479,-0.008616,-1
4.2054,0.2136,-0.067346,0.078949,-0.041536,0.15292,0.027421,-0.022225,-0.038279,-0.048574,1
-0.90852,0.009738,-0.033535,0.010485,-0.010244,0.072321,-0.039044,-0.034441,-0.01927,0.022589,-1
-0.6261,-0.00348,-0.028365,-0.01154,-0.029408,0.10837,-0.093043,-0.092159,-0.0024,0.010437,-1
-0.23482,0.004203,-0.027504,0.018987,-0.018473,0.072344,-0.028789,-0.036914,-0.014646,0.042429,-1
-0.11293,0.001151,-0.00268,0.001545,-0.006046,0.007041,0.004298,-0.002311,0.000883,0.002497,-1
-1.3437,0.17137,-0.086763,0.1168,-0.15809,0.15268,0.083623,-0.14417,0.10362,-0.026241,1
-0.71394,0.008577,-0.032117,0.028785,-0.030414,0.066752,0.015596,-0.012367,0.014341,0.019259,1
-1.4156,0.020091,-0.053795,0.072594,-0.054206,0.062356,0.026527,-0.059509,0.04423,-0.015851,-1
-0.19785,0.005111,-0.020972,0.007744,-0.010929,0.045976,-0.019466,-0.013324,0.003542,0.002034,-1
-0.53563,0.003926,-0.021013,0.009672,-0.014158,0.052582,-0.018167,-0.02284,-0.004593,0.009497,-1
-0.28341,0.004858,-0.012372,-0.00722,-0.020311,0.045981,-0.029317,-0.04006,0.004293,-0.006825,-1
-2.9092,-0.003731,-0.082121,-0.19541,-0.095731,0.40554,-0.49123,-0.41899,0.055273,-0.15214,1
1.2445,0.12038,-0.057486,0.13569,-0.058634,0.11452,0.080985,-0.069547,-0.023183,-0.039694,1
1.4785,0.052012,-0.029536,0.034045,-0.000836,0.04645,0.001193,-0.025194,0.002258,0.018116,1
-0.27945,0.031767,-0.039818,0.056064,-0.030765,0.062633,0.019639,-0.023523,0.007137,0.006115,1
-0.74599,0.007232,-0.027927,0.017808,-0.018923,0.056127,0.005934,-0.009371,0.011449,-0.008023,-1
0.65884,0.0316,-0.035679,0.055313,-0.021894,0.071258,0.026146,-0.023442,0.011979,0.013594,1
-0.058378,-0.00113,-0.015102,0.016983,-0.02248,0.048282,0.007793,-0.009682,0.007591,0.040724,1
-1.7097,-0.002107,-0.042103,0.025536,0.004687,0.046623,-0.029256,-0.016114,-0.006655,-0.064644,-1
-4.9489,-0.015005,-0.092133,-0.017126,0.022491,0.16334,0.05469,0.10012,0.065484,-0.1451,-1
-0.36475,0.001903,-0.00998,0.026987,-0.047356,0.077157,0.05377,-0.046461,0.028235,0.027521,-1
6.8865,0.13649,-0.0576,0.096815,0.023091,0.058803,0.024944,0.021355,-0.047642,-0.00533,-1
-1.4927,-0.000811,-0.039001,-0.026212,-0.018458,0.10106,-0.058507,-0.030922,0.029347,-0.054437,-1
