@relation T_TCAed_data_dim10_Safe_for_Zxing_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-1.1264,-0.30492,0.089953,-0.011726,-0.13788,-0.038216,0.053468,-0.026476,0.006065,-0.059071,-1
-5.5733,0.09194,0.014445,0.14982,0.076809,-0.10018,0.12983,-0.10715,-0.17856,-0.15021,1
-0.45975,-0.17568,-0.01,0.028992,-0.004138,0.000723,0.008578,-0.062556,0.014571,0.015355,-1
-3.925,-0.18055,-0.014977,0.1393,0.078682,-0.053211,0.082213,-0.010866,-0.045861,0.093798,1
-3.8337,-0.30418,0.014933,0.078261,0.047151,-0.11715,0.028864,0.032152,-0.061318,0.046702,1
-3.6277,-0.38913,0.15912,0.17105,-0.08548,-0.029975,-0.042842,0.005419,-0.074277,-0.001079,1
-7.1575,-0.081172,-0.16418,0.13287,0.27675,-0.097032,0.049488,0.091119,-0.015958,0.093374,1
-1.4235,-0.23369,0.1438,0.076546,-0.10864,0.050063,-0.22029,-0.14136,-0.15778,-0.045867,1
-4.0146,-0.40091,0.019654,-0.047532,-0.1134,-0.067411,-0.003385,0.1501,-0.15512,0.085911,1
-4.8245,-0.18661,-0.000771,0.23022,0.20313,-0.092227,0.024882,0.023228,-0.043976,0.055212,1
-1.2828,-0.33597,-0.008445,0.032473,0.072956,-0.017893,0.016629,0.002732,-0.041351,0.007936,1
-3.4259,-0.29721,0.050574,0.096203,0.002489,-0.052592,0.059629,0.036706,-0.036033,0.003811,-1
-2.2729,-0.30736,0.070278,0.14583,0.049793,0.047542,0.037349,0.072915,-0.008321,0.019393,1
-1.9576,-0.34243,-0.19501,-0.26491,0.14085,-0.041764,0.08875,0.11716,-0.13567,0.02514,-1
-1.6748,-0.45604,-0.14868,-0.19634,-0.075384,0.046614,0.040775,0.093822,0.030351,0.12869,-1
-0.33257,-0.16478,0.027616,0.061987,0.11028,0.028359,-0.001717,0.010038,0.005314,0.018109,1
-0.48812,-0.20997,-0.053573,0.033505,0.080777,0.083644,-0.002618,0.03421,0.004912,0.012015,1
-1.7092,-0.38478,-0.003451,0.028483,0.060661,0.045504,-0.060923,0.030464,-0.042295,0.060185,-1
-0.39979,-0.46618,-0.51059,0.31375,-0.10232,-0.090084,0.025174,-0.061823,0.052672,-0.05082,-1
-0.46486,-0.28914,0.031509,0.022756,0.034263,-0.048557,-0.018664,-0.011752,-0.000758,0.010361,-1
-0.1194,-0.15838,0.011682,0.033951,0.057061,-0.060085,0.021226,0.016469,0.009206,0.025144,-1
-3.036,-0.34333,0.012627,0.066803,-0.02859,-0.072872,0.09236,0.13612,0.10679,-0.084637,-1
-0.23616,-0.1468,0.00657,0.036432,0.051905,-0.054,0.039684,0.015022,0.021763,0.004906,-1
-1.4273,-0.48252,-0.070499,-0.049185,0.046305,-0.087321,-0.090148,0.057828,0.002692,0.011569,-1
-0.86475,-0.32754,-0.07729,0.00716,0.080843,0.012296,0.025859,0.02519,-0.028457,0.008722,-1
-0.50847,-0.23118,0.058891,0.038106,0.035455,0.0039,-0.068508,-0.066321,-0.043916,-0.03158,-1
-1.8015,-0.25095,-0.008131,-0.11645,-0.15513,-0.027392,0.1006,0.16053,-0.014595,0.002294,-1
-0.37789,-0.42676,-0.59643,0.38799,-0.18622,-0.016385,0.008551,-0.096857,0.06211,-0.093394,-1
-5.6682,-0.23951,-0.006983,0.08238,0.050397,-0.15462,0.078494,0.025816,-0.13488,0.10015,1
-0.060003,-0.012999,-0.000257,-0.001823,0.006315,0.003853,-0.003681,0.003188,0.000222,-0.003993,-1
