@relation T_TCAed_data_dim10_Zxing_for_Apache_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.19117,-0.012628,0.11918,-0.020981,-0.096766,-0.011379,-0.003941,0.00306,-0.046217,-0.008926,-1
-0.12323,0.017275,0.064656,0.032742,-0.036807,0.015064,0.016879,0.009846,-0.037022,-0.003534,1
-0.28704,0.031467,0.090494,0.062721,-0.034718,0.037795,0.018881,-0.016249,0.016923,0.023707,-1
-0.27795,0.023996,0.055838,0.045021,-0.052072,0.006078,-0.010115,-0.002128,-0.040064,-0.041542,-1
-0.93785,-0.31572,0.1449,-0.040153,0.000407,0.002131,0.026301,0.07722,-0.16688,0.084717,1
-0.23856,0.034054,0.0765,0.064637,-0.040846,0.030591,0.022492,-0.008641,-0.027324,0.002097,1
-0.31726,0.000844,0.13454,0.040638,-0.035375,0.015402,0.023051,0.025642,0.020889,0.011164,-1
-0.24985,-0.031835,0.11289,0.015368,-0.01366,-0.007281,0.012292,0.015288,0.034745,0.000817,-1
-0.21752,-0.037777,0.10415,0.004308,-0.014184,-0.011301,0.011946,0.023308,0.037035,-0.002553,-1
-0.26448,0.02205,0.10506,0.083562,-0.028689,0.024807,0.036455,0.004635,-0.038485,-0.013077,-1
-0.24955,0.01011,0.11508,0.054993,-0.021637,0.007593,0.027536,0.011736,-0.022799,-0.005242,-1
-0.23057,0.015692,0.10684,0.05561,-0.040028,0.028107,0.02542,0.013339,-0.042572,0.007931,-1
-0.16926,0.005865,0.086541,0.026932,-0.057025,0.014218,0.010038,-0.002284,-0.042184,-0.00422,-1
-0.19111,0.011599,0.073259,0.052864,-0.017283,0.017667,0.015699,0.009149,0.000997,-0.006609,1
-0.062738,0.004123,0.033866,0.027995,-0.018545,0.016211,0.017919,0.020971,-0.033958,-0.010073,-1
-0.085445,0.009246,0.043934,0.036757,-0.020448,0.018037,0.0209,0.016602,-0.036305,-0.008033,-1
-0.086565,0.01079,0.042792,0.035083,-0.020969,0.018296,0.021532,0.014684,-0.031475,-0.003502,-1
-0.42229,0.073619,0.27526,0.1159,-0.025862,-0.022997,0.059172,0.20733,0.090301,-0.012057,-1
-0.063527,0.001442,0.042596,0.015645,-0.033937,0.011199,0.012498,0.01793,-0.032576,-0.009194,-1
-0.19434,0.021108,0.070248,0.044335,-0.045908,0.015323,0.010011,-0.008457,-0.037215,-0.014183,1
-0.074215,0.01027,0.037504,0.033352,-0.021112,0.017578,0.019062,0.016424,-0.031099,-0.00675,-1
-0.25894,-0.014027,0.12239,0.021007,-0.04353,0.002475,0.00457,0.005235,-0.023948,-0.009041,-1
-0.084877,0.016685,0.043152,0.034401,-0.021543,0.016441,0.025934,0.00803,-0.022252,0.007727,-1
-0.063527,0.001442,0.042596,0.015645,-0.033937,0.011199,0.012498,0.01793,-0.032576,-0.009194,-1
-0.063527,0.001442,0.042596,0.015645,-0.033937,0.011199,0.012498,0.01793,-0.032576,-0.009194,-1
-0.4106,0.035817,0.12405,0.027502,-0.080575,0.015158,0.035177,-0.043899,-0.003917,0.070399,-1
-0.11007,0.004664,0.062187,0.049658,-0.019211,0.014911,0.030091,0.022375,-0.041684,-0.018138,-1
-0.38032,0.021778,0.13793,0.030479,-0.087247,0.020785,0.011533,-0.010091,-0.034179,0.007953,1
-0.18418,0.021576,0.02547,0.027116,-0.033556,0.008361,0.006592,-0.048519,-0.040563,0.000792,1
-0.18656,0.021494,0.088729,0.0566,-0.042441,0.019579,0.021751,0.002048,-0.047888,-0.014337,-1
-0.075065,0.005304,0.036775,0.031753,-0.020248,0.018134,0.016569,0.019182,-0.033145,-0.01069,-1
-0.45822,0.027279,0.11592,0.1053,-0.039112,0.042345,0.027469,-0.006757,-0.018893,-0.020595,-1
-0.1,0.015954,0.049919,0.041645,-0.024635,0.018434,0.024444,0.002163,-0.027033,0.008587,1
-0.7297,0.092828,0.24566,0.18782,-0.12306,0.066148,0.12139,0.023961,-0.088292,0.053017,1
-0.12674,-0.00783,0.085945,-0.014421,-0.084072,-0.003575,-0.001687,0.000288,-0.03563,-0.008139,-1
-0.57986,0.092448,0.20671,0.17889,-0.086729,0.054162,0.10314,-0.02309,-0.080589,0.042204,-1
-1.2168,0.13193,0.28526,0.2197,-0.094813,0.093117,0.057213,-0.081583,-0.026451,0.07888,-1
