@relation T_TCAed_data_dim10_Zxing_for_Safe_flag_0

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {1,-1}

@data
-0.66309,-0.26221,0.087113,-0.009571,0.002494,0.075267,0.00723,0.01371,-0.006176,0.003674,-1
-0.33355,-0.24479,-0.00643,-0.031261,0.062164,0.046178,0.002025,0.004703,0.001581,0.011693,1
-0.87855,-0.32801,-0.036067,-0.061799,0.15519,-0.10225,0.023707,0.012853,0.011296,-0.022868,-1
-1.7573,0.04889,0.007101,-0.036239,-0.078389,0.10203,-0.11574,0.084042,-0.048694,0.06206,-1
-4.7455,-0.015257,0.061086,0.054216,0.14085,0.15668,-0.20167,-0.075181,-0.51289,-0.097656,1
-0.71934,-0.25524,-0.040665,-0.058079,0.082933,0.001846,0.00342,-0.004269,0.004583,0.008148,1
-0.90876,-0.43343,-0.035933,-0.019398,0.0675,0.016142,-0.01072,-0.063616,0.022199,-0.007138,-1
-0.78724,-0.3504,-0.063114,-0.029584,0.010049,0.020863,-0.0734,-0.068016,-0.0168,-0.05231,-1
-0.61454,-0.26387,-0.04602,-0.039374,0.022572,0.027645,-0.070889,-0.069729,-0.01145,-0.056584,-1
-0.94068,-0.38862,-0.10264,-0.068147,0.020427,0.013853,0.010379,-0.002008,-0.039219,0.013792,-1
-0.77594,-0.35865,-0.070324,-0.027474,0.021398,0.031194,-0.027451,-0.035492,-0.003325,-0.019418,-1
-0.78075,-0.3739,-0.017838,-0.029244,0.087437,0.055142,0.027157,0.032918,0.002655,0.001245,-1
-0.50758,-0.31144,0.003732,-0.032881,0.043299,0.033175,0.009499,0.016793,-0.005183,0.02185,-1
-0.49041,-0.19956,-0.067744,-0.048261,0.010694,-0.035783,0.022839,-0.025493,-0.015047,0.02863,1
-0.15209,-0.15448,-0.00929,-0.022178,0.049776,0.068527,0.011361,0.017036,-0.005803,0.017037,-1
-0.21464,-0.19985,-0.024276,-0.025563,0.052175,0.063658,0.000106,0.00971,-0.004695,0.017807,-1
-0.2315,-0.167,-0.018106,-0.027239,0.052892,0.05238,0.006806,0.010028,-0.006313,0.010553,-1
-1.6991,-0.40228,-0.1338,0.19902,-0.34195,-0.22448,0.19386,-0.26233,-0.18873,0.2797,-1
-0.24043,-0.20544,0.011161,-0.037474,0.046013,0.056946,0.034029,0.021316,-0.02403,0.020189,-1
-0.91964,-0.1774,-0.012664,-0.045851,-0.016457,0.042854,0.001849,0.036299,0.007356,0.040463,1
-0.25165,-0.16763,-0.013334,-0.03431,0.05752,0.048298,0.026598,0.020497,-0.00817,0.016393,-1
-0.87526,-0.35981,-0.008809,-0.003988,-0.010459,0.025382,0.013285,0.012626,-0.002127,0.000872,-1
-0.3961,-0.12453,-0.012338,-0.02339,0.039905,0.044956,0.010962,0.012897,-0.005253,-0.009858,-1
-0.24043,-0.20544,0.011161,-0.037474,0.046013,0.056946,0.034029,0.021316,-0.02403,0.020189,-1
-0.24043,-0.20544,0.011161,-0.037474,0.046013,0.056946,0.034029,0.021316,-0.02403,0.020189,-1
-2.359,-0.30339,0.099789,0.12945,0.025585,-0.006669,0.064147,0.023709,0.031719,-0.048839,-1
-0.37161,-0.26146,-0.056092,-0.042508,0.03172,0.062848,0.000868,0.009398,-0.023047,0.020689,-1
-1.1659,-0.43372,0.048574,-0.008659,0.098791,-0.023179,0.024471,-0.002935,0.0026,0.028817,1
-0.80267,-0.050893,0.041826,0.024864,0.020801,-0.004534,0.039766,0.001039,-0.032958,-0.009129,1
-0.51256,-0.32427,-0.04148,-0.045907,0.065076,0.047649,-0.04458,0.002488,0.010862,0.022138,-1
-0.2147,-0.1703,-0.011501,-0.038366,0.062447,0.05205,0.027586,0.02215,-0.012715,0.021245,-1
-1.7041,-0.29318,-0.098431,-0.14361,0.06346,-0.00838,0.019729,-0.007784,-0.029213,0.011375,-1
-0.58799,-0.24026,-0.017276,-0.01707,0.060033,0.036914,0.042461,0.029524,-0.008572,-0.011369,1
-3.436,-0.46641,-0.054597,-0.047933,0.032681,0.11584,0.069398,-0.031177,-0.058204,0.06379,1
-0.55814,-0.2414,0.076078,-0.038241,0.029089,0.049641,0.020739,0.035928,-0.01952,0.015023,-1
-3.3539,-0.41191,-0.099468,-0.08645,-0.020226,0.081524,0.046327,0.044715,-0.098253,-0.031838,-1
-5.8553,-0.34693,-0.097004,-0.11655,-0.005029,0.031854,0.092454,0.085194,0.002224,-0.10958,-1
-5.7839,-0.028041,0.074933,0.070135,0.079542,-0.073408,-0.03024,0.005359,0.060183,-0.088727,-1
-1.1456,-0.28833,-0.032485,-0.064955,0.028262,0.023719,0.02722,-0.003223,-0.005156,0.050181,1
-0.43717,-0.19574,-0.022156,-0.02588,0.042203,0.03139,0.039268,0.025612,-0.006497,0.007442,1
-0.91578,-0.23924,-0.084464,-0.052681,-0.018906,-0.005006,-0.020214,0.041384,0.003585,0.027062,-1
-0.51933,-0.33225,-0.040317,-0.048787,0.05266,0.048269,-0.028167,0.012782,-0.002798,0.031419,-1
-1.8495,-0.2409,-0.16581,-0.16536,-0.011503,0.016317,0.035246,-0.10515,-0.064112,-0.005764,-1
-0.90616,-0.29744,0.050074,0.007148,-0.035573,-0.040899,-0.011811,-0.006278,0.010737,0.061443,1
-3.0109,-0.964,-0.061492,-0.043041,0.18551,0.27354,0.00066,-0.024348,-0.023847,-0.019376,-1
-2.2817,-0.31389,0.032489,0.069334,-0.064545,-0.072913,0.10294,0.11241,-0.029631,0.014736,-1
-1.394,-0.44489,0.0921,0.054772,0.029505,0.080604,0.026996,0.025365,-0.001405,0.042535,-1
-0.38149,-0.19479,-0.017621,-0.036835,0.06258,0.042709,0.026012,0.022531,-0.013811,0.012389,-1
-3.784,-0.2904,-0.11,-0.09997,-0.16967,0.12729,0.001338,0.099767,0.035019,-0.009574,1
-1.4949,-0.43039,-0.030501,0.035212,-0.039223,-0.021382,0.066028,0.0271,-0.021396,0.062545,1
