repository_name,Training Set,Test Set,Model,Loop Size,accuracy_mean,accuracy_std,AUC_mean,AUC_std,F-measure_mean,F-measure_std,MCC_mean,MCC_std
Relink,Safe,Zxing,LR,1,0.679,0,0.544,0,0.281,0,0.111,0
Relink,Safe,Zxing,TCA_NoN,1,0.574,0,0.555,0,0.414,0,0.101,0
Relink,Safe,Zxing,TCA_N1,1,0.501,0,0.553,0,0.446,0,0.098,0
Relink,Safe,Zxing,TCA_N2,1,0.659,0,0.62,0,0.477,0,0.229,0
Relink,Safe,Zxing,TCA_N3,1,0.411,0,0.488,0,0.405,0,-0.023,0
Relink,Safe,Zxing,TCA_N4,1,0.657,0,0.584,0,0.412,0,0.17,0
Relink,Safe,Zxing,TCA+_N2,1,0.659,0,0.62,0,0.477,0,0.229,0
Relink,Zxing,Safe,LR,1,0.679,0,0.687,0,0.64,0,0.366,0
Relink,Zxing,Safe,TCA_NoN,1,0.661,0,0.721,0,0.698,0,0.487,0
Relink,Zxing,Safe,TCA_N1,1,0.625,0,0.603,0,0.512,0,0.208,0
Relink,Zxing,Safe,TCA_N2,1,0.696,0,0.678,0,0.605,0,0.359,0
Relink,Zxing,Safe,TCA_N3,1,0.696,0,0.718,0,0.679,0,0.428,0
Relink,Zxing,Safe,TCA_N4,1,0.625,0,0.635,0,0.588,0,0.264,0
Relink,Zxing,Safe,TCA+_N3,1,0.696,0,0.718,0,0.679,0,0.428,0
Relink,Safe,Apache,LR,1,0.655,0,0.655,0,0.63,0,0.314,0
Relink,Safe,Apache,TCA_NoN,1,0.665,0,0.666,0,0.645,0,0.334,0
Relink,Safe,Apache,TCA_N1,1,0.691,0,0.69,0,0.712,0,0.384,0
Relink,Safe,Apache,TCA_N2,1,0.696,0,0.697,0,0.667,0,0.401,0
Relink,Safe,Apache,TCA_N3,1,0.474,0,0.477,0,0.271,0,-0.055,0
Relink,Safe,Apache,TCA_N4,1,0.68,0,0.68,0,0.68,0,0.361,0
Relink,Safe,Apache,TCA+_N1,1,0.691,0,0.69,0,0.712,0,0.384,0
Relink,Apache,Safe,LR,1,0.393,0,0.5,0,0.564,0,0.0,0
Relink,Apache,Safe,TCA_NoN,1,0.625,0,0.683,0,0.667,0,0.404,0
Relink,Apache,Safe,TCA_N1,1,0.714,0,0.749,0,0.714,0,0.497,0
Relink,Apache,Safe,TCA_N2,1,0.75,0,0.738,0,0.682,0,0.476,0
Relink,Apache,Safe,TCA_N3,1,0.661,0,0.705,0,0.678,0,0.422,0
Relink,Apache,Safe,TCA_N4,1,0.75,0,0.722,0,0.65,0,0.464,0
Relink,Apache,Safe,TCA+_N1,1,0.714,0,0.749,0,0.714,0,0.497,0
Relink,Zxing,Apache,LR,1,0.675,0,0.674,0,0.72,0,0.365,0
Relink,Zxing,Apache,TCA_NoN,1,0.608,0,0.605,0,0.705,0,0.276,0
Relink,Zxing,Apache,TCA_N1,1,0.68,0,0.681,0,0.677,0,0.361,0
Relink,Zxing,Apache,TCA_N2,1,0.68,0,0.681,0,0.663,0,0.364,0
Relink,Zxing,Apache,TCA_N3,1,0.546,0,0.542,0,0.681,0,0.153,0
Relink,Zxing,Apache,TCA_N4,1,0.541,0,0.538,0,0.648,0,0.095,0
Relink,Zxing,Apache,TCA+_N3,1,0.546,0,0.542,0,0.681,0,0.153,0
Relink,Apache,Zxing,LR,1,0.296,0,0.5,0,0.456,0,0.0,0
Relink,Apache,Zxing,TCA_NoN,1,0.366,0,0.533,0,0.467,0,0.097,0
Relink,Apache,Zxing,TCA_N1,1,0.549,0,0.601,0,0.489,0,0.187,0
Relink,Apache,Zxing,TCA_N2,1,0.519,0,0.533,0,0.411,0,0.06,0
Relink,Apache,Zxing,TCA_N3,1,0.398,0,0.541,0,0.467,0,0.1,0
Relink,Apache,Zxing,TCA_N4,1,0.672,0,0.57,0,0.367,0,0.154,0
Relink,Apache,Zxing,TCA+_N1,1,0.549,0,0.601,0,0.489,0,0.187,0
